Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Boak, Travis	2	4	5	2	5	4	2	6	1	2	-					4	2	3	3	6	4	7	62
Broadbent, Matthew																3	-					2	5
Brogan, Dean	5		3	6	3	4	-	1	3	1	4	2	1	6	3	2		5	2	1	6	6	64
Burgoyne, Peter	7	2	3			8	1	6	6	2	6	3	8	5	-					3		4	64
Burgoyne, Shaun	2	3	7														5	3	4	9	1	1	35
Carlile, Alipate	-	-	-	-	-	-	-	1	-	-	-		-	-	-	-	-	1	-	-	1	-	3
Carr, Josh	3	1	-	4	1				3		1	5	1	1	1					-			21
Cassisi, Domenic	2	3	2		4	4	8	6	4	5	6	5	2	4	8	6	5	4	3	1	8	5	95
Chaplin, Troy	-	1	2	-	1	-	3	2	-	1	1	-	2	1			2	-	1	-	-	-	17
Cornes, Chad	-	1	3	1	2	-	3	2	3	2					2	-	1	1	1	-	-	1	23
Cornes, Kane	2	3	2	2	1	4	1	-	2	2	3	3	3	2	1	2	4	-	2	6	5	1	51
Davenport, Jason							2	-					1	2	-	4	2	2	-			-	13
Ebert, Brett	-	1	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-			-	-	-	3
Gray, Robbie	2	-	1	4	5	3	7	4	7	4		1	1	1	1	2	3	2	3	2		4	57
Hartlett, Hamish				-	1	3		-	1	3								-	1	-	1	2	12
Krakouer, Nathan	1	-	-	1	3	-	2	-		-			1	1	-	-	1	2	1	-	2	-	15
Lade, Brendon	-	2	-	-	2	-	2	2	1	2	-	1	3	5	-	2	2	2	2	1	1	1	31
Logan, Tom				-	-	1	2	1	1	1	3	-	1	1	1			-	4		2		18
Lower, Nick					1						2		1			1	-						5
Meyer, Danny												3	-	-									3
Motlop, Daniel	-	-	3	-	-	-	-	-	-			-									2		5
Motlop, Marlon									1		2	1											4
Pearce, Danyle	-	1	-	1	1	1	-	3	2	2	2	2	3	1	3	1	2	2	2	-	3	1	33
Pettigrew, Michael	-	-	-	-	-	-	-	1	-	1	1	1	-		1								5
Rodan, David	3	3		7	7	7	-	2		3	7	6	6	12	4	8	6	2	4	7	4		98
Salopek, Steven	1	-	-	1	2	1	1		1	-	1	2		-	-	-	2			1			13
Salter, Nick																-		1	1		-	-	2
Stewart, Paul														2	-	-	1			-	-	-	3
Surjan, Jacob	-	-	1	2	-	1	-	-	-	2	1	-	1	-	-	-	1	-	2		3	1	15
Thomas, Matt			2	2		1	6	2	1	4								3	3	4	4	2	34
Thompson, Wade			-	1																			1
Thurstans, Toby		1									-	-	-	1	-	-	1	-	1		-		4
Tredrea, Warren	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-		3
Westhoff, Justin	-	3									1	-	2	-	-	1	2	-	-	-		-	9
Westhoff, Matthew										-	-	-											
Totals	30	30	34	34	40	42	40	40	37	37	41	35	37	45	26	36	42	33	40	42	47	38	826
Opponent	ES	WC	ME	HW	SK	AD	NM	RI	SY	CW	FR	WB	GE	BL	ME	WC	AD	HW	FR	CA	BL	NM	
