Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Brown, Mitch	1	-	-	-	-	1		-	2	-	-	-	-	-	-	1	1	1	1	-			8
Butler, Sam	1				1	1	1	3	3				2	3	2	-	1	-	-	1	1	-	20
Cockie, Adam						2	2	2	1					4	3	3							17
Cox, Dean	7	1	3	3	7	4	4	6	2	2	6	2			2								49
Davis, Ryan		1	1																		2		4
Ebert, Brad	1	-	1						2	2	1	1	2	2	1	2	2	4	1	2	3	3	30
Embley, Andrew	-	-	-	1	2	1	-	6	1	2	2		1	2	-	2	1	5	1	6	-	2	35
Fletcher, Chad	6	2	2											4								1	15
Glass, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1
Hansen, Ashley	-	-	-	-	-	-									-	-	-						
Houlihan, Tim																2	3	1	3	3	2	1	15
Hunter, Adam		-	-	-	2	1	-			-	2												5
Hurn, Shannon	-	1	1	1	1	2	-	-	-	-	1	-	2	-	-	-	1	1	-	-	-	2	13
Jones, Brett		1	-	1	-	1	-	-	2					-									5
Kennedy, Josh							-	-	-	-	-	-	1	-	2	1	-	-	-	-	-	-	4
Kerr, Daniel	3	7	4	7	3	4	4		4	9		1	3										49
LeCras, Mark	-	-	-	2	-	-	3	-		2	-	-	-	-	-	1	2	2	-	1	4	2	19
Lynch, Quinten	1	5	3	1	3	2	3	1	3	1	4	-	3	2	3	1	5	6	4	5	6	3	65
Mackenzie, Eric	-	-	1	1	-	-		1	-	-	-	1	-		-	-		1				-	5
Maister, Beau																			1	-	-		1
Masten, Chris	-	-	1	1		-	-	3	1	2	-	1	2	2	2	2	-	3	1	-			21
McGinnity, Patrick															-	2	-	2	1	1		1	7
McKinley, Ben		-	-	-	2	-	-	-	-	-	-		-	-				1	-	-	2	-	5
McNamara, Jamie							2	3		1	2	2										1	11
Naitanui, Nic												1	-	-		4	3	-	2	2	3	4	19
Nicoski, Mark	1	2	-	2	-	1	-	1	1	-	-	1			-								9
Priddis, Matt	12	7	7	6	9	3		4	5		5	8	6	3	7	2	4	6	3	10	4	-	111
Rosa, Matt	1	1	1	1	-	5	1	-	2	2	1	2	1	3	1	5	3	2	4	-	-	2	38
Schofield, Will				1	-		2																3
Seaby, Mark	1							1	3							3	2						10
Selwood, Adam		8	2	4	2	6	7	2	3	3	3	2	2	2	5	1	2	1	3	4	4	8	74
Selwood, Scott							-	5	1	1	1	2	5	2			-	1	-	1	1	1	21
Spangher, Matthew	-						-				-	-	-	1	1	-	1				2	2	7
Staker, Brent	2			6	-	1															-	-	9
Stenglein, Tyson	2	2	2	-	1					2	1	-	1	4	-								15
Swift, Tom										-	-	-	-				-	2	6	2	2	6	18
Wilson, Callum																		-	1	-	1		2
Wirrpanda, David	-			-	1	-	-	-	1	1		1	-	-	-	1	1	2	-	-	-		8
Totals	39	38	29	38	34	35	29	38	37	30	29	25	31	34	29	33	32	41	32	38	37	40	748
Opponent	BL	PA	SK	WB	HW	FR	ME	SY	CW	CA	GE	RI	HW	ME	SK	PA	FR	ES	WB	NM	AD	RI	
