Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Brown, Mitch	-	1	1	-	-	-		-	-	-	1	1	-	-	1	-	-	-	1	-			6
Butler, Sam	-				-	-	-	-	-				-	1	-	1	-	-	-	-	3	-	5
Cockie, Adam						-	-	-	-					-	-	1							1
Cox, Dean	-	4	2	-	2	1	1	1	2	1	-	-			-								14
Davis, Ryan		-	1																		-		1
Ebert, Brad	-	2	-						-	1	1	-	-	-	-	-	-	-	2	-	-	-	6
Embley, Andrew	-	-	-	-	-	-	1	-	-	-	-		-	-	-	-	1	-	-	-	-	-	2
Fletcher, Chad	-	-	-											-								-	
Glass, Darren	1	-	1	-	2	1	1	-	3	-	-	2	-	1	-	-	1	3	1	1	2	-	20
Hansen, Ashley	2	2	1	1	-	-									1	3	3						13
Houlihan, Tim																-	-	-	-	-	-	-	
Hunter, Adam		1	1	1	1	-	-			-	-												4
Hurn, Shannon	1	-	-	1	-	-	-	2	-	1	1	-	-	-	-	-	1	-	-	1	-	-	8
Jones, Brett		-	-	-	1	-	2	-	-					-									3
Kennedy, Josh							2	1	2	1	1	1	1	3	2	1	-	-	3	1	1	3	23
Kerr, Daniel	-	-	-	1	1	-	-		1	-		-	-										3
LeCras, Mark	2	1	1	1	-	-	-	-		2	-	1	2	-	1	1	-	-	-	-	1	2	15
Lynch, Quinten	-	-	1	1	-	-	1	2	-	2	1	-	-	2	1	1	1	-	1	1	2	2	19
Mackenzie, Eric	-	-	-	-	-	-		1	1	-	-	1	-		-	1		-				1	5
Maister, Beau																			2	1	1		4
Masten, Chris	-	-	-	-		-	-	1	-	-	-	-	-	-	-	-	-	-	-	-			1
McGinnity, Patrick															-	-	-	1	-	1		-	2
McKinley, Ben		1	1	-	-	2	-	1	-	-	1		1	-				1	-	1	1	1	11
McNamara, Jamie							-	1		-	-	-										2	3
Naitanui, Nic												2	-	-		-	-	1	1	1	-	-	5
Nicoski, Mark	-	-	-	-	-	1	-	-	-	-	-	-			-								1
Priddis, Matt	-	-	-	-	-	-		-	-		-	-	-	-	-	-	-	-	-	-	-	-	
Rosa, Matt	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	-	1	-	1	-	1	1	6
Schofield, Will				-	-		-																
Seaby, Mark	-							-	-							-	-						
Selwood, Adam		1	-	1	-	-	1	-	2	-	-	1	-	1	-	-	1	-	-	1	-	-	9
Selwood, Scott							1	-	-	1	-	-	-	-			1	-	-	-	-	-	3
Spangher, Matthew	-						-				-	-	-	-	1	-	1				1	3	6
Staker, Brent	-			-	-	-															2	-	2
Stenglein, Tyson	-	-	2	-	1					-	-	-	-	-	1								4
Swift, Tom										-	-	-	-				-	-	-	-	-	-	
Wilson, Callum																		1	-	2	-		3
Wirrpanda, David	1			-	1	-	-	-	1	-		1	-	-	1	-	-	1	2	1	-		9
Totals	7	13	12	7	9	5	11	10	12	9	6	10	4	9	9	9	11	8	14	12	15	15	217
Opponent	BL	PA	SK	WB	HW	FR	ME	SY	CW	CA	GE	RI	HW	ME	SK	PA	FR	ES	WB	NM	AD	RI	
