Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Atkinson, Jarrod						-	-	-	-	-	1		4										5
Bellchambers, Tom												2	-	6	4	2							14
Carlisle, Jake																				1	2	-	3
Colyer, Travis			1	5	4			1							5	2	2	-	2	2		-	24
Crameri, Stewart																				1	6	1	8
Davey, Alwyn	2	4				1	2	1	2	1	1	2	4	4	-	4	2	1	1				32
Dempsey, Courtenay	4	2	2	3	2	1	3	3	2	1	6	1			4	2	2	2	1	1	-	6	48
Dyson, Ricky	4	-	1	1	-	3						-			1					2			12
Fletcher, Dustin	2	3	-	2	2	2	-	4	2	2		1	2			4	1	1	-				28
Gumbleton, Scott	-	1	2	-	2	1	-	1	1	2	2	2	1	1		-	2	-					18
Hardingham, Kyle																	1	1	1	1	-	3	7
Hille, David	2	4	1	3	4	2	1	3	-	2	1							1	2	-	1	2	29
Hocking, Heath	1	2	1	1	2	1	2	3	-	1	2	3	3	3	-	5	1	4	2	5	2	2	46
Hooker, Cale	2	2	1	5	1	2	2	1					6	2	-	1	2	2	4	2	-	-	35
Houli, Bachar			2	3													-	-	4				9
Howlett, Ben	2	2					3	2	2	1	4				2	6	4	4	5	3	4	5	49
Hurley, Michael				1	2	-	1	1	1	-	3	1	4	2	6	3	-	2	-	2	3	1	33
Jetta, Leroy								1	-	1	3	2	2	1	3		-				2	3	18
Lonergan, Sam			1	3		3	1		2	-	2	1	-	2	1	3		1	1	3		1	25
Lovett-Murray, Nathan			7	4	8	5	3			2	3	5	2	1	2	2							44
Marigliani, Marcus																					1	1	2
McVeigh, Mark		1			1	1	2	3	1	4	1	2	1	1	-	1	2	2	-	7	2		32
Melksham, Jake			5	3	-		1	1	-		1	3	2	1		4				3	1	2	27
Monfries, Angus	1	1			2	2	2	1	2	1	2				2	1	2	-	-	2	3	3	27
Myers, David		3						2	2	4	3	5									-	4	23
Neagle, Jay	4														1	-	2	1	1	-	1		10
Pears, Tayte	3	2	4	6	-				4	4	-	2	3										28
Prismall, Brent	1	6				2	5	-	2	1	4		3	5			-	2	5		1	2	39
Quinn, Michael														5							2		7
Reimers, Kyle	-		-	3	2									1	3	3	2	2	1	3	2	6	28
Ryder, Patrick	2	-	1	3	1	1	1	3	3	-	1	4	2	5	2	4	-	-	1	1		4	39
Slattery, Henry	2	1	-	-	1	2	1					2	3	2						2	-	2	18
Slattery, Tyson														2									2
Stanton, Brent	1	3	3		4	1	4	2	2	5		2	1	1	2	3	4	2	3	4	3	3	53
Watson, Jobe	5	2	1	3	5	-	1	1	1	4	2	4	2	1	-	3	6	3	1	-	1		46
Welsh, Andrew	2	3	3	8	3	3					1	-	1	1	1								26
Williams, Mark	1	1	2	-																			4
Winderlich, Jason	2	1	3	2	4	-	5	5	3	1	3	1	2	4	1	1	5		3			-	46
Zaharakis, David	-	2	2	3	1	2	-	3	3	2	-	-	-	1	-	4	1	1	2	2			29
Totals	43	46	43	62	51	35	40	42	35	39	46	45	48	52	40	58	41	32	40	47	37	51	973
Opponent	GE	FR	CA	WC	CW	HW	PA	SK	RI	WB	SY	GE	HW	AD	ME	WC	NM	SK	CA	CW	BL	WB	
