Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Atkinson, Jarrod						14	13	12	8	12	14		16										89
Bellchambers, Tom												13	9	8	9	6							45
Carlisle, Jake																				8	14	8	30
Colyer, Travis			19	19	14			13							19	27	18	19	20	19		15	202
Crameri, Stewart																				17	19	17	53
Davey, Alwyn	10	12				13	14	16	18	11	12	15	14	14	11	14	15	14	4				207
Dempsey, Courtenay	16	24	22	12	14	18	19	18	18	18	16	22			14	12	24	21	23	15	20	13	359
Dyson, Ricky	14	22	28	16	16	9						9			17					15			146
Fletcher, Dustin	16	15	20	20	29	25	14	22	12	15		14	18			16	20	24	11				291
Gumbleton, Scott	3	11	10	8	18	10	14	12	8	8	8	15	7	8		12	14	7					173
Hardingham, Kyle																	11	7	9	5	9	19	60
Hille, David	17	14	15	21	22	23	15	15	26	14	2							11	16	17	15	19	262
Hocking, Heath	17	21	16	19	22	15	19	23	18	20	19	9	17	20	21	14	17	30	11	12	11	22	393
Hooker, Cale	17	18	16	16	17	11	20	7					16	16	11	14	12	18	8	11	25	2	255
Houli, Bachar			25	19													14	24	18				100
Howlett, Ben	16	18					20	13	21	12	12				21	22	20	27	18	20	17	25	282
Hurley, Michael				9	8	15	14	11	21	17	18	15	15	17	21	16	17	30	21	19	11	13	308
Jetta, Leroy								10	21	25	13	11	14	15	13		11				26	31	190
Lonergan, Sam			12	15		18	21		23	12	12	14	12	12	14	17		22	16	13		8	241
Lovett-Murray, Nathan			31	22	26	32	24			12	23	20	23	18	31	24							286
Marigliani, Marcus																					13	12	25
McVeigh, Mark		15			12	18	20	8	12	15	20	17	20	17	19	12	18	16	7	12	11		269
Melksham, Jake			18	17	9		21	14	10		10	13	22	18		14				15	14	13	208
Monfries, Angus	16	16			21	15	25	16	16	16	11				11	16	15	14	10	15	10	21	264
Myers, David		15						19	18	21	6	10									15	29	133
Neagle, Jay	9														13	8	9	12	11	7	9		78
Pears, Tayte	16	19	22	11	23				9	19	15	14	15										163
Prismall, Brent	22	26				28	23	16	27	22	25		27	22			18	20	19		16	23	334
Quinn, Michael														8							11		19
Reimers, Kyle	14		17	13	18									15	14	20	23	20	9	16	7	20	206
Ryder, Patrick	11	6	12	12	7	11	14	16	19	14	12	12	11	13	10	11	8	12	16	11		14	252
Slattery, Henry	11	9	12	12	12	15	4					8	13	6						12	10	16	140
Slattery, Tyson														15									15
Stanton, Brent	33	24	27		34	30	27	11	16	32		15	16	26	17	21	22	36	23	25	21	21	477
Watson, Jobe	18	28	26	34	32	28	31	25	28	25	25	28	33	22	32	22	38	30	20	30	17		572
Welsh, Andrew	22	17	16	21	13	20					24	13	11	20	8								185
Williams, Mark	8	9	8	6																			31
Winderlich, Jason	17	15	17	19	11	28	24	17	26	27	24	17	35	25	30	24	27		18			17	418
Zaharakis, David	19	12	15	15	15	15	16	8	15	13	14	14	17	22	17	20	26	20	16	10			319
Totals	342	366	404	356	393	411	412	322	390	380	335	318	381	357	373	362	397	434	324	324	321	378	8080
Opponent	GE	FR	CA	WC	CW	HW	PA	SK	RI	WB	SY	GE	HW	AD	ME	WC	NM	SK	CA	CW	BL	WB	
