Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Ballantyne, Hayden	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	1	-	1				1			5
Barlow, Michael	-	1	-	-	1	1	-	1	-		1	-	-	-											5
Bollenhagen, Justin																		-	-		-				
Bradley, Kepler							-		1	2	3	3	1	1	3	-			-	2	-				16
Broughton, Greg	-	-	2	-	-	-	1	1								-	-	-	-	1	-	-	1	-	6
Clarke, Zac												-								-	-				
Crichton, Jesse																	-	-	-	-	1		-		1
Crowley, Ryan	-	-	1	-	1	1	3	1	1	-	-	-	-	1	-	-							-	-	9
Dodd, Steven			-								1										-				1
Duffield, Paul	1	-	-	-	-	1	1	-	-	2	-	-	-	-	1	-	-	1	-	-	1	-	1	-	9
Fyfe, Nat					3	-	2	-	2	-	1	1	-	-		1	1	2	1	-		2	2	2	20
Grover, Antoni									1	2	1	-	-	1			1	1	2	-	-	1	1	-	11
Hasleby, Paul	-	2	-	-	-	-	2	1	-	1		-	1	3	2	-	1	-	-	-		2			15
Hayden, Roger	1	1	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	1	-	1		1	-	-	7
Headland, Des	1	-	-	-																				-	1
Hill, Stephen	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	2	-	1	-	-		2	1	1	8
Hinkley, Clayton																					-				
Ibbotson, Garrick	-	-						-	1	-	-	1	1	-	1	1	-	-	1	1	-	2	-	-	9
Johnson, Michael	-	-	1	-	-	1	1	-						1	-	1	4	-	-	-	2	1	1	2	15
Mayne, Chris	1	1	-	-	-	-	-	1	-	-	-											1	1	2	7
McPharlin, Luke	2	1	2	2	2	-	-	-								2	2	1	4	-	1	1	1	2	23
McPhee, Adam	1	1	-	1	-	-	-	-	1	1	-	-	1	-	7	-	1	-	1	1		1	1	1	19
Morabito, Anthony	-	-	1	-	1	2	2	-	1	-	-	1	-	-	-	-	1	1	1	-		-	-	-	11
Mundy, David	-	1	-	-	1	-	-	-	-	-	-	1	2	-	-	1		-	1	1		1	-	-	9
Murphy, Ryan																					-				
Palmer, Rhys						1	-	-	-	-	-		-	-	-	-	-		-		-				1
Pavlich, Matthew	-	1	2	2	-	3	-	-	1	2	2	-	1	-	-	1	2	1	-	-		1	1	3	23
Pearce, Clancee				-	-					-					-		-				-				
Roberton, Dylan						-	-						1	1	-	-	-		-	-	-	1	1	1	5
Ruffles, Tim															-						-				
Sandilands, Aaron	-	3	2	5	3	1	5	3	1	2	-	2	3	3	3	1	1	1				1	1	1	42
Schammer, Byron												-								-	-				
Silvagni, Alex	1	2	-	-	-	1		2	-			1	-	-	1	1							2	1	12
Suban, Nick	1	-	-						-	-	-	-			-		-	-	-	-	1	-	-	-	2
Tarrant, Chris	-	1		1	-	-	-	-	-	2	2	-	1					-							7
Walters, Michael																				1	-	-	1	-	2
de Boer, Matthew			-	-	1	-	-	-		-	-		-	-	-	1	-	1	-	-	-	-	-	-	3
van Berlo, Jay	1	-	-	-	-				-	-	1	-	-	1	-	-	-	-	1		1	-			5
Totals	10	15	11	11	14	13	17	10	10	15	13	10	13	12	18	13	14	12	12	8	7	19	16	16	309
Opponent	AD	ES	GE	SK	RI	WC	BL	CW	SY	NM	AD	SK	CA	PA	RI	ME	WB	WC	NM	SY	HW	CA	HW	GE	
