Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Ballantyne, Hayden	1	3	2	1	3	-	2	2	-	2	-	2	2	1	-	4	1	6				1			33
Barlow, Michael	2	1	1	-	-	1	1	-	-		3	1	4	1											15
Bollenhagen, Justin																		2	1		-				3
Bradley, Kepler							-		2	4	-	1	1	-	3	-			1	2	-				14
Broughton, Greg	-	-	-	-	-	-	-	-								-	-	-	-	1	-	-	1	-	2
Clarke, Zac												-								-	-				
Crichton, Jesse																	1	1	-	-	-		-		2
Crowley, Ryan	1	-	-	-	1	-	-	2	2	-	-	-	2	5	-	1							1	-	15
Dodd, Steven			-								-										-				
Duffield, Paul	-	1	1	-	1	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	1	6
Fyfe, Nat					1	2	1	-	-	3	1	1	1	-		1	1	-	1	-		-	-	1	14
Grover, Antoni									-	-	-	-	-	1			-	-	-	-	-	-	-	-	1
Hasleby, Paul	-	1	-	-	1	-	2	2	2	1		1	1	2	-	1	1	3	2	2		-			22
Hayden, Roger	-	-	1	-	-	2	-	-	-	-	-	-	-	-	-	-	-	1	-	-		-	-	-	4
Headland, Des	3	2	2	-																				-	7
Hill, Stephen	-	-	2	2	1	-	-	2	-	1	2	-	-	2	2	-	-	2	-	-		2	1	-	19
Hinkley, Clayton																					-				
Ibbotson, Garrick	1	1						1	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	5
Johnson, Michael	1	1	-	-	-	3	2	-						-	1	-	1	2	1	1	2	2	-	-	17
Mayne, Chris	2	1	-	1	-	2	1	-	1	2	1											2	2	1	16
McPharlin, Luke	-	-	-	-	-	-	-	-								-	-	-	-	-	-	-	-	-	
McPhee, Adam	-	-	2	1	-	-	-	-	2	-	-	-	-	-	1	-	1	-	-	1		-	1	-	9
Morabito, Anthony	1	-	2	-	-	-	1	-	1	-	-	2	1	1	1	-	-	-	-	1		1	1	-	13
Mundy, David	1	1	-	2	-	-	-	-	-	-	-	-	1	1	-	2		1	2	-		-	1	-	12
Murphy, Ryan																					2				2
Palmer, Rhys						1	1	-	-	-	-		-	-	-	1	1		-		-				4
Pavlich, Matthew	3	2	5	5	4	5	3	2	3	4	3	1	-	1	3	-	4	4	-	-		2	3	4	61
Pearce, Clancee				2	-					-					-		-				-				2
Roberton, Dylan						-	-						-	1	-	-	-		-	-	1	-	-	-	2
Ruffles, Tim															-						-				
Sandilands, Aaron	-	1	-	-	2	1	1	2	1	1	1	-	1	1	-	-	-	-				-	1	-	13
Schammer, Byron												-								1	-				1
Silvagni, Alex	1	1	-	-	-	-		1	-			-	-	-	-	-							1	-	4
Suban, Nick	-	-	-						-	1	-	-			-		-	1	-	1	-	-	-	-	3
Tarrant, Chris	-	1		-	-	-	-	-	-	-	-	-	-					-							1
Walters, Michael																				2	-	2	1	3	8
de Boer, Matthew			-	-	1	-	-	1		-	-		-	-	-	-	-	-	2	1	-	1	-	-	6
van Berlo, Jay	-	-	-	-	-				-	1	1	-	-	-	-	-	-	1	-		-	-			3
Totals	17	17	18	14	15	17	15	15	14	21	12	10	14	17	11	11	12	24	10	13	5	13	14	10	339
Opponent	AD	ES	GE	SK	RI	WC	BL	CW	SY	NM	AD	SK	CA	PA	RI	ME	WB	WC	NM	SY	HW	CA	HW	GE	
