Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Ballantyne, Hayden	5	7	2	3	3	3	1	1	4	5	4	2	4	2	2	3	4	3				4			62
Barlow, Michael	4	3	-	2	2	8	4	14	10		6	7	2	4											66
Bollenhagen, Justin																		3	3		3				9
Bradley, Kepler							2		3	-	1	-	-	-	3	2			1	2	1				15
Broughton, Greg	4	3	2	-	3	3	4	4								1	4	7	6	4	4	2	4	2	57
Clarke, Zac												-								6	6				12
Crichton, Jesse																	1	3	3	4	3		3		17
Crowley, Ryan	3	6	5	11	7	7	3	2	4	1	6	7	2	1	2	2							1	5	75
Dodd, Steven			1								2										2				5
Duffield, Paul	5	1	1	1	4	4	4	4	7	2	9	2	2	3	6	6	3	5	6	4	4	6	1	4	94
Fyfe, Nat					2	5	1	3	5	3	3	3	3	2		1	2	7	-	5		3	1	5	54
Grover, Antoni									5	3	1	3	3	-			2	1	1	2	3	1	2	3	30
Hasleby, Paul	2	6	-	4	6	6	4	1	1	3		1	1	-	4	4	4	6	2	-		2			57
Hayden, Roger	5	2	3	5	-	6	2	4	4	2	2	5	2	1	1	-	2	1	3	2		3	3	3	61
Headland, Des	2	1	1	2																				2	8
Hill, Stephen	2	2	5	5	2	3	3	3	1	3	3	6	3	4	1	4	3	-	1	3		2	-	2	61
Hinkley, Clayton																					3				3
Ibbotson, Garrick	1	-						3	2	5	3	1	1	-	-	3	2	4	2	3	2	1	3	2	38
Johnson, Michael	-	2	3	-	-	2	4	-						2	3	2	1	1	3	2	2	3	1	2	33
Mayne, Chris	2	4	4	1	4	5	5	2	7	4	4											2	-	1	45
McPharlin, Luke	3	-	2	2	3	4	4	-								1	-	2	1	-	-	2	4	1	29
McPhee, Adam	1	3	3	4	3	5	5	5	11	7	4	7	12	1	3	5	5	3	2	4		5	1	8	107
Morabito, Anthony	2	3	9	2	2	4	2	5	5	2	2	1	5	3	9	1	3	1	1	4		-	6	3	75
Mundy, David	-	3	4	3	5	10	1	3	7	5	10	4	5	5	5	4		4	8	7		4	3	5	105
Murphy, Ryan																					5				5
Palmer, Rhys						2	4	4	5	3	4		5	2	6	9	3		2		3				52
Pavlich, Matthew	3	1	2	2	3	5	5	3	1	2	6	3	4	2	3	6	2	2	3	5		6	5	3	77
Pearce, Clancee				5	3					1					2		5				4				20
Roberton, Dylan						3	2						2	1	-	6	4		1	2	3	3	3	4	34
Ruffles, Tim															-						-				
Sandilands, Aaron	2	1	2	1	-	4	3	1	1	1	3	3	2	1	2	2	2	1				1	-	1	34
Schammer, Byron												1								2	3				6
Silvagni, Alex	-	6	8	2	4	7		1	4			3	3	3	6	3							2	-	52
Suban, Nick	5	4	4						3	5	1	3			3		8	3	5	4	7	5	2	5	67
Tarrant, Chris	5	1		3	1	6	4	1	3	2	2	1	2					-							31
Walters, Michael																				-	4	1	4	3	12
de Boer, Matthew			1	7	1	4	3	3		1	1		7	4	4	5	2	6	5	2	5	5	8	1	75
van Berlo, Jay	1	2	4	3	4				4	2	3	3	2	2	4	2	4	2	4		5	3			54
Totals	57	61	66	68	62	106	70	67	97	62	80	66	72	43	69	72	66	65	63	67	72	64	57	65	1637
Opponent	AD	ES	GE	SK	RI	WC	BL	CW	SY	NM	AD	SK	CA	PA	RI	ME	WB	WC	NM	SY	HW	CA	HW	GE	
