Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Ablett, Gary	-	2	2	-	4		1	-	-	-	1	-	2	-	1	1	2	2	-	-	1	2	1	-	-	22
Bartel, Jimmy	2	4	1	4	2	2	3	-	3	1	1	2	4	2	2	-	-		2	3	-	2	1	-	-	41
Blake, Mark	-	1	-	-	-	-	1	2	2	1	-	-	1	4	1	-	2				-	-	-			15
Byrnes, Shannon	-	1	1	-	-	-	-	1	-	3	1	-	-	-	-	-		1	1	1	1		-	-	-	11
Chapman, Paul	-	-	1	1	-	3	2	1	2	2	4	2		2	2	2	-	1	-	-	4	1	-	2	1	33
Corey, Joel	-	2	2	3										2		1	4	3	1		1	-	3	-	1	23
Djerrkura, Nathan			-																							
Duncan, Mitch	1	1	2	1		-		-						-	-											5
Enright, Corey	1	-	1	2	-	-	-	-	-	-	-	1	-	1	-	-	1	-	1	-	-		-	1	1	10
Gamble, Ryan			-										-													
Hawkins, Tom	-	1	1	2	-	-	3	1	2	1								2	1	-	1	-	-	1	-	16
Hogan, Simon					-	-	1	1		-	-	-		1	-	-						2				5
Hunt, Josh	-	1	-	1	-	-	1	-	-	1	1	-	1	-	1	-	1	-	1	-	2		-	-	-	11
Hunt, Taylor											-	-	1	1						-	1	-				3
Johnson, Steve	2	3	-	1	1	1	2	2	1	-	2	1	-				1	1	2	-	1	2	1	1	-	25
Kelly, James	1	2	-	1	-	2	2		-	-	-	1		2	1	-	3	3	-	-	1	-	-	-	-	19
Laidler, Jeremy																				2						2
Ling, Cameron	-	2	-	1	-	1	-	-	1	-		-	-		1	-	-	-	1			-	1	-	1	9
Lonergan, Tom	1	1	1	1	1	-	-	2	-	3	1	-	-	-	1	3	1	-	-			1		-	2	19
Mackie, Andrew	-	-	3	-	-	2	-	1	1	-	1	-	-	2	2	1	-	1	-	-		1	-			15
Menzel, Daniel																				-	1	2				3
Milburn, Darren	1			1	-	1	1	-	3	-	2	-	1	1	1		2	2	1	2	-	-	1	1	2	23
Mooney, Cameron	-	1		1	-	1	-	1	-	3	-		-			1	-	-	-	1	1	1	2	1	-	14
Motlop, Steven		-																								
Ottens, Brad	1	3		1	2	2									1	2	1	2	-	-		4	2	1	1	23
Podsiadly, James			1	3	1	3	1		-	2	-	1	1	3	-	4	1		1	-	1			2	-	25
Rooke, Max					2																					2
Scarlett, Matthew	1	-					1	-	-				-	-	2	-	1	1	-	-	-	-	1	1	-	8
Selwood, Joel	-	-	1	1	-	4	4	2	1	2	1	2	4	3	3	4	2	4	6	3	1		1	2	2	53
Simpson, Dawson			1								-															1
Stokes, Mathew								-	1	1	-	2	-	-	1	-	2	-	1	-	-	1	1	1	1	12
Taylor, Harry	1	1	-	1	1	-	1	-	1	1	-	-	-		-	1	1	-	-		-	-	-	1	2	12
Varcoe, Travis						-	1	-	2	2	1	1	-	-	3	-	2	-	-	-	1	1	1	1	-	16
West, Trent												1	2	-				-								3
Wojcinski, David	1	1	-	-	-	-	2	-	-	-	1	-	2	1	2	-	-	-		-	1	1	-	-	-	12
Totals	13	27	18	26	14	22	27	14	20	23	17	14	19	25	25	20	27	23	19	12	19	21	16	16	14	491
Opponent	ES	HW	FR	PA	CA	RI	SY	BL	CW	ME	WC	ES	SK	NM	HW	AD	BL	SY	CW	WB	CA	WC	SK	FR	CW	
