Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	Tot
Adcock, Jed	1	-	1	1	-	1	1	-	1	4	-			-	2	3	1	-	2	2	-	1	21
Austin, Matt								-	-	-	-												
Banfield, Todd	1	1	-	-	-	-	1	-	-	-	-	1			-	-	-	-	-	-	-		4
Beams, Claye	1	-	-		2	-																	3
Bewick, Rohan	-	1	-	-			-	-	-	-		-	1	-	1								3
Black, Simon	-	3	2	-	2	4	3	3	2	-	2	2	1	-	1	-	1	1	-	1	2	-	30
Brown, Jonathan	1							1	4	4	2	1	3	-	1	-							17
Buchanan, Amon	-	-															-	3				1	4
Clark, Mitch	2	1	1	1	1	2	1	1	3	2	-	1				1	-	-	3	1			21
Collier, Tom				1	-	1			-	-	-	1											3
Cornelius, Aaron			-	1													-	-	1	2	1	1	6
Drummond, Josh						-	2					-							1	1	1	-	5
Dyson, Josh																		-					
Golby, Mitch											1	-	1	1					-	2	2	-	7
Green, Josh								1	1	-	-	-											2
Hanley, Pearce	1	1	-	1	1	1	2	1	-	2	1	-	1	2	1	1	3	1	1	-	-	2	23
Harwood, Ryan							-					-	-	-	1	1						-	2
Hawksley, James															-	-	1	-	-			1	2
Karnezis, Patrick												-	-	-	1	1	-	2	-	1	-	-	5
Lester, Ryan	-	-	-																				
Leuenberger, Matthew	1	1	4	-	2	2	3	1	2	2	-	2	2	-	-	2	-	2	-	-	2	1	29
Maguire, Matt					1	1	1	1			-	2	5	1	4	1	2		-	1	2	2	24
McCauley, Broc		-		2	2																		4
McGrath, Ashley	-	1	1	1	1	1	1		-	-	1	3	2	-	2	-	1	-	1	1	1	2	20
McKeever, Niall													-	1	1	1	1	-	1	1	-	4	10
Merrett, Daniel	2	1	1	1	2	1	3	1	2	-													14
OBrien, Jesse	1	1	-	-	1	-	-	1	-	-			-	1									5
Patfull, Joel	-	2	2	-	-	1	1	-	2	1	2	-	-	-	-	2	4	-					17
Polec, Jared			2	-	-																		2
Polkinghorne, James	-	2	1	-	-	2	1	3	1	1	1	2	4	1	1	1	1	1	-	1	-	3	27
Power, Luke		-	1	-	3	-	1	1	-	1	1	-	-	1	1	1	1	-	1	2	1		16
Raines, Andrew	3	1	1	2	3	1							-	2	-	1	4	1	1	2	-	1	23
Redden, Jack	-	2	-	3	-	3	2	-	1	1	2	2	1	2	2	3	-	1	1	2	1	-	29
Retzlaff, Bryce						-	-	1	-	-	-		-	-	2						-	-	3
Rich, Daniel	-	1	3	2	-	1	-	-	2	3	1	4	1							-	1	1	20
Rockliff, Tom	2	-	1	1	-	1	1	-			-	1	-	-	1	2	2	1	1	-	1	1	16
Sheldon, Sam							1	-	2	-	-	2	1	3	1	2	2	1	1	-	-	-	16
Staker, Brent	-															1	-	1	1	-	-		3
Stiller, Cheynee	2	-	-	-	-	4	-	-	1	-	1		1	-	-	-	1	1	-	-	-	-	11
Totals	18	19	21	17	21	27	25	16	24	21	15	24	24	15	23	24	25	16	16	20	15	21	447
Opponent	FR	WB	ME	SK	RI	GC	ES	NM	AD	SY	CA	RI	FR	PA	HW	GE	NM	AD	GC	CW	WC	SY	
