Player	R1	R2	R3	R4	R5	R6	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	QF	PF	GF	Tot
Ball, Luke	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	2	-	-	-	-		-	-	-	-	4
Beams, Dayne	-	-	-	-	-			-	-	-							-	1	-	-	-	-	-	-		1
Blair, Jarryd	-	-	1	-	-	-	-	-	-		-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	4
Brown, Leigh	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Buckley, Simon	-	-				-	-	-	-		-		-	-		-	-	-		-						
Cloke, Travis	-	-	-	-	1	-	-	-	-	2	2	3	3	-	-	-	-	-	-	2	-	-	-	-	-	13
Davis, Leon			-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	2		-		-	-	-	4
Dawes, Chris	-	-	-	-	-	-	-	-	-	-	-	-	-								-	-	-	-	-	
Dick, Brad					-	-	-																			
Didak, Alan	-	-	-	-	-	-	-	-	-	-	-	-						-	-	-	-	-	-	-	-	
Fasolo, Alex											-		-	-	-	-	-	-	-	-	-	-	-		-	
Goldsack, Tyson							-	-		-	-	-				-	-	-	-	-	-	-	-			
Johnson, Ben	1	-	-	-	-	-									-	1	-	-	-		-	-	-	-	-	2
Jolly, Darren	-	-	-		-								-	-	-		-	-	-	-	-	-	-	-	-	
Keeffe, Lachlan														-	-	-	-			-						
Krakouer, Andrew	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	1	-	-		1	-	-	-	-	2
Lumumba, Heritier	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	1
Macaffer, Brent	-	-														-	-									
Maxwell, Nick			-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-				-	-	-	
McCarthy, John								-	-	-	-	-			-	-				-						
Pendlebury, Scott	3	2	2	-	3	-	-	2	1	3	-	-	-	-	-	3	2	-	-	-	3	-	-	-	-	24
Reid, Ben	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-		-	-	1
Rounds, Luke													-	-	-			-	-							
Shaw, Heath	-	-	3	-	-	-	-	-	-	-	-	-	-	-									-	-	-	3
Sidebottom, Steele	-	-	-	-	-	3	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	4
Sinclair, Ben																	-			-	-	-				
Swan, Dane	2	3	-	3	-	2	3	-	-	-		2	2	3	1	-	3	2	3	3	2	-	-	-	-	34
Tarrant, Chris	-	-	-	-	-		-	-	-	-	1	-	-	-	-	-	-	-	-	-		-	-	-	-	1
Thomas, Dale	-	-	-	2	-	-	-	3	3	-		-	-	-	2	-		-	-	-	-			-	-	10
Toovey, Alan	-	-	-	-	-	-	-		-	-	-	-	-	-	-					-	-	-	-	-	-	
Wellingham, Sharrod	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-				-			-	-	-	-	3
Wood, Cameron				-		-	-	-	-	-	-	-				-		-			-	-				
Young, Tom																				-	-					
Totals	6	6	6	5	4	5	3	5	6	5	6	5	6	6	3	6	6	6	5	5	6	0	0	0	0	111
Opponent	PA	NM	CA	RI	ES	WB	GE	AD	WC	SK	ME	SY	HW	NM	CA	GC	ES	PA	SK	BL	FR	GE	WC	HW	GE	
