Player	R1	R2	R3	R4	R5	R6	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	QF	PF	GF	Tot
Ball, Luke	2	6	6	2	5	3	5	5	5	2	5	4	2	4	9	6	2	8	3	3		4	3	9	4	107
Beams, Dayne	5	10	7	8	5			3	5	1							2	9	8	3	7	7	2	-		82
Blair, Jarryd	4	2	3	5	3	2	4	1	1		1	3	2	4	1	3	2	3	1	1	2	2	3	3	-	56
Brown, Leigh	3	2	3	6	4	5	1			2	4	2	1	7	2	7	4	7	7	5	6	3	3	-	2	86
Buckley, Simon	1	1				4	8	6	7		2		6	4		5	5	1		6						56
Cloke, Travis	5	6	10	10	10	2	3	4	6	11	7	8	12	9	9	10	5	8	6	14	10	5	4	11	7	192
Davis, Leon			1	3	7	2	1	4	3	5	7	1	4	1	6	6	6	3	8		4		8	5	4	89
Dawes, Chris	6	7	8	6	4	4	2	3	4	5	8	6	1								2	3	2	5	5	81
Dick, Brad					-	1	2																			3
Didak, Alan	3	4	3	8	1	2	3	1	3	4	4	1						-	4	7	3	6	4	1	1	63
Fasolo, Alex											1		3	3	1	8	3	4	3	5	4	7	1		-	43
Goldsack, Tyson							3	4		2	1	2				4	4	5	5	3	9	5	2			49
Johnson, Ben	6	6	4	3	2	-									6	5	4	2	6		-	2	2	5	4	57
Jolly, Darren	3	-	4		2								4	2	4		3	5	6	4	3	-	3	6	2	51
Keeffe, Lachlan														5	5	4	3			2						19
Krakouer, Andrew	5	3	-	1		3	1	5	3	2	4	3	3	3	6	4	7	5	4		5	7	4	2	1	81
Lumumba, Heritier	4	7	4	6	5	1	2	4	8	3	5	3	3	1	4	4	3		7	4	8	6	9	5	4	110
Macaffer, Brent	1	5														6	2									14
Maxwell, Nick			2	4	3	2		7	3	6	4	6	4	6	1	7	2	2	1				6	5	2	73
McCarthy, John								5	3	1	7	2			-	-				-						18
Pendlebury, Scott	6	7	3	6	10	2	3	5	7	6	1	4	4	2	4	5	2	1	5	3	7	2	5	2	4	106
Reid, Ben	4	6	6	4	10	6	6	9	7	6	9	8	11	6	9	8	4	5	10	6	11	5		3	2	161
Rounds, Luke													-	2	1			3	1							7
Shaw, Heath	7	5	8	3	9	6	8	6	6	12	3	4	5	6									10	11	7	116
Sidebottom, Steele	3	5	5	9	2	11	9	5	3	4	3	2	3	3	5	5	11	7	5	2	7	8	4	4	3	128
Sinclair, Ben																	1			2	3	2				8
Swan, Dane	3	8	8	3	4	3	8	4	3	2		8	7	6	4	8	10	5	9	5	5	4	6	5	1	129
Tarrant, Chris	5	5	3	2	3		1	4	3	7	3	4	1	4	3	2	6	3	1	1		3	3	2	2	71
Thomas, Dale	5	7	6	11	4	5	4	8	5	8		4	6	6	10	4		5	10	6	4			3	6	127
Toovey, Alan	-	4	2	-	2	-	2		1	3	-	3	4	5	5					3	2	2	-	-	2	40
Wellingham, Sharrod	3	2	3	3	2	2	4	4	2	4	5	4	4	1	9				2			2	4	1	2	63
Wood, Cameron				3		3	4	2	2	1	7	2				3		2			5	4				38
Young, Tom																				4	2					6
Totals	84	108	99	106	97	69	84	99	90	97	91	84	90	90	104	114	91	93	112	89	109	89	88	88	65	2330
Opponent	PA	NM	CA	RI	ES	WB	GE	AD	WC	SK	ME	SY	HW	NM	CA	GC	ES	PA	SK	BL	FR	GE	WC	HW	GE	
