Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	Tot
Bellchambers, Tom		-	2	1	1	4	-	1	1	-		1	2					2			3			18
Browne, Alex										1	2													3
Carlisle, Jake																	-	3	5	2	2	4	3	19
Colyer, Travis								1		1	9			-	-	1	5	-				1	-	18
Crameri, Stewart	1	2	5	3	7	1	2	2	2	3	3	3		3	2	3	-	1	3	1	1			48
Davey, Alwyn		4	3						2				4	1	6	8	3	5	6	4	5	6	6	63
Dempsey, Courtenay	1	6	2	1																				10
Dyson, Ricky															4	5	2	2	2	2				17
Fletcher, Dustin	4	1	-	5	-		4	1	-	2	-	1	3	-	4	2			-	3	1		1	32
Hardingham, Kyle	4	1	1	3	3	1	3	1	2	2	2	2		-	2	2	1	2	1	6	1	1	-	41
Heppell, Dyson	2	2	2	6	5	1	4	3	2	1	-	5	2	-	3	1	4	6	2	4	2	3	3	63
Hibberd, Michael						1		1	6	1	1	1	-	1	1									13
Hille, David	2				3	-	1	-	2	1	1		2	1	1	3	2	1	1	2	1	2	1	27
Hocking, Heath	7	4	7	12	7	1	5	8				1	10	13	7	7			9	8	12		5	123
Hooker, Cale	1	1	1	1	2	4	2	1	3	2	1	1										-		20
Howlett, Ben	5	3	8	3	10	7	7	10	4	5	5	5	1	9	8	2	12	5	4	8	11	10	11	153
Hurley, Michael	2	-	-	1	2	-	4				1	1	-	2	-	3	3		-	-		2	3	24
Jetta, Leroy	4	4	6	1	8	4	5	7	5	-	4	3	3	2	5	3	3	4	3	6	3	3	2	88
Lonergan, Sam	2	2	4	3	3	4	4	2	7	2		3	3											39
Lovett-Murray, Nathan	3	1	5	4	3	3	2	4	5	4	4										4	6	8	56
McVeigh, Mark	5	5	1	3	6	5	2	-	9	3	5	4	1	4	6	1	2	3	5	3	1	-	1	75
Melksham, Jake	2	3	1	3	2	-	7	1	4	4	7	7	2	7	3	7	2	4	-	3	2	4	3	78
Monfries, Angus	3		3	1	5	6	1	1	3	5	5	7	6	6	6	2	4	4	4	3	9	4	2	90
Myers, David	2	3						1	2	3	3	5	4				1	2	1		1	2	1	31
Pears, Tayte												3	3	4	3	7	1			2		-	1	24
Prismall, Brent				5								3	3	5	1	4	3	-						24
Reimers, Kyle					1	6	-	3	1					3	6	-	1	5	3	4	2	2	3	40
Ross, Michael																		1	-					1
Ryder, Patrick	3	3	-	5	3	2	4	3	2	3	3	1	1	4	6	2	-	5	2	4	5	1	4	66
Slattery, Henry					6	1	3		7	4	8					4	1							34
Stanton, Brent	3	6	5	8	7	3	2		4	3		2	2	7	13	6	4	14	6	3	5	9	4	116
Watson, Jobe	1	5	3	3	5	3	6	2			6	-	1					3	8	6	1	9	3	65
Welsh, Andrew											3		3	-						5	1	7		19
Winderlich, Jason	3	2	3	-																				8
Zaharakis, David	6	3	4	5	2	1	3	6	3	1	4	6	5	4	2	6	6	3	2	3	5	8	-	88
Totals	66	61	66	77	91	58	71	59	76	51	77	65	61	76	89	79	60	75	67	82	78	84	65	1634
Opponent	WB	SY	SK	CA	CW	GC	WC	BL	RI	ME	FR	NM	HW	GE	RI	AD	CA	CW	SY	WB	WC	PA	CA	
