Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R17	R18	R19	R20	R21	R22	R23	R24	Tot
Anthony, John							1										1				-	4	6
Ballantyne, Hayden	2	5	4	6	1	2		2	4	1	5			2	5	4	4	4	4	4			59
Barlow, Michael												4			-	5	8	8	5	4	-	3	37
Bollenhagen, Justin																						-	
Bradley, Kepler	-	2	1	-	-	-	1	1	2	2	1		3					1			2	-	16
Broughton, Greg	2	1	1	-		-	4	2	5	5	7	4	7	11	5	8	5	3	2	2	3	7	84
Bucovaz, Ben												1										2	3
Clarke, Zac										2	7	2	5	7	6	10	5	5	4	5	2	8	68
Crichton, Jesse					2		3	3	1	1	3	3											16
Crowley, Ryan	-	-	-	3	1		3	9	4	3	5	5	5	1		1	4		3	5	2	3	57
Duffield, Paul	1	1	4	2	4	5	4	8	10	3	9	4	3	3	5	-	6	6	3		2	3	86
Faulks, Peter																			1		2		3
Fyfe, Nat	2	1	6	7	5	3	6	4	2	3	4	5	2	4	4	4	4	4	5	5	5		85
Griffin, Jonathon									2	7	3	2		4	5	1							24
Grover, Antoni	4	2	2	4	2	1	7	3	6	5	4	-		2	1	-	4	3	2	-		1	53
Hayden, Roger													3	4	7								14
Hill, Stephen	-	2	3	3	4	1	6	2	1	6	1	2	-	2	3	2	5	1	2	4	-	3	53
Hinkley, Clayton											4	1	5					2	1	6	4	2	25
Ibbotson, Garrick				1	2	1	5	3	4	2	5	2	1	2	2	2	2	7	1	2	-		44
Johnson, Michael	1	3	2	4	3	-	6	1	2	5	1	2	3	4	3	4	3	1	2	-	-	2	52
Lower, Nick	6	3	6		4	4	1	5	8	7	3	5	5	1	8	5	4	7	1		4		87
Mayne, Chris	9	3	7	6	6	3	7	4	3	2	4	1	3	2	5	2	2	4	6	7	5	1	92
McPharlin, Luke	2	-	1	4	2	1	6	1	2	3	-	-	-	-	2	5		1	2	2	1		35
McPhee, Adam	4	1	2	4	2	1	2								6	5	2	1		3			33
Mellington, Josh													2	1									3
Mundy, David	4	3	5	9	7	6	6	4	10	6	-									8			68
Mzungu, Tendai								-	2	2	4	3		6	3	5	3	5	11	2	4	2	52
Palmer, Rhys	3	1	6	4	7	1		6	3	1			3	6	6		2			4	4		57
Pavlich, Matthew	5	2	6	5	6	4	7	-	3	5	6	6	3	1	8	2	4	5	4	4			86
Pearce, Clancee						3	12	4		6	3	3	7				4	6	4		1	5	58
Pitt, Jayden	1		3	1	-	-	1													2		2	10
Roberton, Dylan	-	-	-	4	3	-		3	1				3	5	3	-	4	-					26
Sandilands, Aaron	2	1	1	3	-	2	5	2					2						3	3	-	-	24
Schammer, Byron																					2	5	7
Sibosado, Casey																						1	1
Silvagni, Alex													2	3	6	2	5	2	3	2		1	26
Suban, Nick	4	6	5	-												3		2	4	6	1	2	33
Walters, Michael	3	3	2																				8
de Boer, Matthew		4	1	4	5	6	9	9	8	4	9	3	7	5	4	5	1						84
van Berlo, Jay	4	2		5	3	4	3		6			2											29
Totals	59	46	68	79	69	48	105	76	89	81	88	60	74	76	97	75	82	78	73	80	44	57	1604
Opponent	BL	GE	AD	NM	WB	RI	WC	PA	SK	HW	ES	ME	BL	GC	SY	WC	HW	SK	CA	NM	CW	WB	
