Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R23	R24	QF	PF	GF	Tot
Bartel, Jimmy	-	-	1	-	-	2	-	1	-	-	1	-		-	-	-	-	-	-	-	-	1	-	-	-	6
Brown, Mitch													-	2												2
Byrnes, Shannon													1				-			-	1	-				2
Chapman, Paul		-	2	1	-	-	1	-	3		-	-	2	-	1	1	1	-	-	-	1	-	1	-	-	14
Christensen, Allen		-	-	-		-	-	1					-	1	-	1	1	1	3	1	-	-	2	-	-	11
Corey, Joel	-	-	-	-	-	1	-	-	-	-	-	-	1		-	1	1	-	-	-				1	-	5
Cowan, Josh									1	-							-									1
Duncan, Mitch	-	-	-		-	1	-	1		1	-	2	1	1	1		1	-	-	-		-	1	-	-	10
Enright, Corey	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	
Gillies, Tom													-	-												
Guthrie, Cameron	-	-																								
Hawkins, Tom	-	-	1		1	-	-	1	-				1			3	2	-	1		1	2	-	1	3	17
Hogan, Simon																-										
Hunt, Josh	-	-	-	-		-	-	-	-	-	-	-		1	-	-	-		-	-	-	-	-	-	-	1
Hunt, Taylor	-	-	-	-	-			-	1	-	-	-	-		-	1										2
Johnson, Steve	1	3	2	1	4		2	1	3	2	2	-	-	2	1	-		1	1	1	1	1	4	2	2	37
Kelly, James	-	1	1	-	2	-	-	1	-	-	-	1		-	-	-	-	1	-	1	-	2	1	1	-	12
Ling, Cameron		1	1	-	3		-		-	-	-	-	-	-	1	-		1	-	-	-	1	1	-	-	9
Lonergan, Tom	-			-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	
Mackie, Andrew	-	-		-	-	-	-	-	-	-	-	-	-	-		1	1	-	-		-	-	-	1	-	3
Menzel, Daniel	-	2	1	1	-	-	2		-	2	-	1	2	-	1					-	1	2	-			15
Milburn, Darren	-	-	-	-	-	-		-	-		-	-					-	-	-			-				
Mooney, Cameron	1		-	-		-			-									3	3	1						8
Motlop, Steven													1	1	1	-										3
Ottens, Brad	1	1	2	-	-	1	-	-		-	-	-		-	-			-		1	2	-	1	-	-	9
Podsiadly, James		-	2	4	2	4	2	-	2	1	1	2	1	3	1	1	-		1	3	2	2	-	3	1	38
Scarlett, Matthew	-		-	-	-	-	-	-	-	-	-	1	-	-	-		-	-	-		-	-	-	-	-	1
Selwood, Joel	-		2	-	-	-	2	3	-	1	2					-	-	-	-	-	2	-	-	-	-	12
Simpson, Dawson													-													
Stokes, Mathew	-	-	1		-	1	2	-	1	-	1	1		-	-	1	1	-	1	1	2		-	1	2	16
Taylor, Harry	1	-	-	-	-	-	-	-		-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	2
Varcoe, Travis	1	-	2	3	-	1	-	1	-	-	-	-	-		-	2	-	1	2	-	-	1	1	2	-	17
Vardy, Nathan								1	-	2	-	-		1	-	1				1						6
West, Trent																-	-	-	-		-	1	-	1	-	2
Wojcinski, David	1	1		2	1	-	1	-	-	-		-	-	-	1		-	-	-	1	-	1	-	-	-	9
Totals	6	9	18	12	13	11	12	11	11	9	7	8	10	13	8	13	8	8	12	11	13	14	12	13	8	270
Opponent	SK	FR	PA	SY	HW	NM	CW	CA	GC	WB	HW	SK	AD	ES	WC	BL	RI	ME	GC	AD	SY	CW	HW	WC	CW	
