Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R23	R24	QF	PF	GF	Tot
Bartel, Jimmy	6	4	4	4	5	1	-	1	2	3	1	-		4	2	3	1	2	3	2	3	-	4	-	2	57
Brown, Mitch													-	-												
Byrnes, Shannon													-				1			1	-	1				3
Chapman, Paul		1	2	4	2	4	5	3	1		5	3	3	5	1	1	1	7	3	1	5	5	5	-	5	72
Christensen, Allen		1	-	2		1	1	4					7	3	6	2	5	1	5	-	-	-	7	5	4	54
Corey, Joel	1	4	2	-	1	3	6	1	6	5	5	8	6		9	5	3	10	3	4				1	5	88
Cowan, Josh									-	3							-									3
Duncan, Mitch	3	1	1		-	-	2	2		-	1	2	2	2	-		-	1	2	-		-	1	-	-	20
Enright, Corey	-	-	-	4	1	3	-	-		3	-	-	-	-	3	-	-	2		-	-	1	-	1	-	18
Gillies, Tom													-	-												
Guthrie, Cameron	-	1																								1
Hawkins, Tom	2	1	1		-	1	2	1	-				1			1	2	-	-		1	-	1	-	-	14
Hogan, Simon																2										2
Hunt, Josh	-	-	1	1		1	-	-	-	-	1	1		1	-	-	-		-	-	-	-	-	-	2	8
Hunt, Taylor	1	1	-	2	1			-	1	-	2	1	1		1	-										11
Johnson, Steve	5	3	2	4	4		2	2	1	3	2	4	1	2	-	3		5	2	-	2	3	3	1	2	56
Kelly, James	7	3	5	3	4	3	3	11	1	1	4	4		2	7	2	4	3	5	2	7	9	5	5	5	105
Ling, Cameron		2	5	3	2		1		10	1	4	3	4	5	3	3		1	2	2	4	3	2	5	4	69
Lonergan, Tom	-			-	1	-	-		-	-	-	-	-	-	-	-	1	-	-	-	-		-	-	-	2
Mackie, Andrew	-	-		-	-	1	-	-	-	-	1	1	1	-		2	-	1	-		1	1	-	-	1	10
Menzel, Daniel	1	-	-	1	1	-	1		-	-	1	-	1	-	-					-	1	-	-			7
Milburn, Darren	-	1	1	-	2	1		2	-		-	1					1	1	-			-				10
Mooney, Cameron	-		-	-		1			-									1	1	-						3
Motlop, Steven													-	1	-	-										1
Ottens, Brad	2	4	5	3	2	1	4	2		1	1	3		4	2			2		1	2	7	1	3	4	54
Podsiadly, James		-	-	-	-	1	-	-	1	-	-	-	-	-	-	-	-		1	-	-	-	-	-	-	3
Scarlett, Matthew	1		-	-	-	-	-	1	-	-	1	-	-	-	-		-	-	-		-	-	-	-	1	4
Selwood, Joel	1		6	6	6	4	7	3	9	6	1					9	4	6	6	6	1	6	6	8	8	109
Simpson, Dawson													2													2
Stokes, Mathew	3	-	2		4	4	-	1	4	3	1	2		4	1	5	-	3	3	-	2		1	2	3	48
Taylor, Harry	-	-	-	-	1	1	-	1		-	-	-	-	-	-	2	-	-	-	-	-	-	2	-	-	7
Varcoe, Travis	-	1	-	2	1	1	1	-	1	-	1	2	2		-	-	-	-	-	-	1	-	-	1	3	17
Vardy, Nathan								-	1	1	1	-		1	1	-				1						6
West, Trent																1	2	4	3		1	1	2	2	1	17
Wojcinski, David	-	1		5	1	-	-	-	1	3		1	-	-	3		-	1	1	-	3	1	1	-	-	22
Totals	33	29	37	44	39	32	35	35	39	33	33	36	31	34	39	41	25	51	40	20	34	38	41	34	50	903
Opponent	SK	FR	PA	SY	HW	NM	CW	CA	GC	WB	HW	SK	AD	ES	WC	BL	RI	ME	GC	AD	SY	CW	HW	WC	CW	
