Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R23	R24	QF	PF	GF	Tot
Bartel, Jimmy	2	2	2	3	2	3	1	1	3	-	4	-		1	3	3	3	4	2	2	1	2	2	10	1	57
Brown, Mitch													1	-												1
Byrnes, Shannon													2				-			-	-	1				3
Chapman, Paul		1	1	2	2	-	2	-	1		-	1	1	1	-	1	1	3	-	2	-	2	2	3	2	28
Christensen, Allen		-	1	1		1	-	1					2	1	3	2	2	2	-	-	-	2	4	-	-	22
Corey, Joel	2	1	2	3	4	1	3	3	1	2	4	1	1		2	4	3	1	-	2				1	3	44
Cowan, Josh									1	1							-									2
Duncan, Mitch	3	-	2		2	4	1	1		-	-	1	-	2	-		-	3	1	3		3	1	-	1	28
Enright, Corey	3	7	3	1	4	5	4	5		2	1	3	11	7	6	2	-	6		3	11	4	2	5	1	96
Gillies, Tom													2	1												3
Guthrie, Cameron	1	1																								2
Hawkins, Tom	1	2	-		2	2	2	3	3				5			-	1	2	5		4	3	-	2	1	38
Hogan, Simon																-										
Hunt, Josh	2	3	1	4		1	2	2	5	3	1	2		2	6	3	1		2	4	3	4	2	-	1	54
Hunt, Taylor	2	3	3	2	-			1	2	1	3	1	2		-	1										21
Johnson, Steve	4	-	4	7	2		1	-	2	-	2	1	2	2	1	1		1	1	1	-	-	2	1	1	36
Kelly, James	4	-	-	2	1	-	-	1	-	3	2	1		2	2	2	-	1	1	5	-	4	3	5	1	40
Ling, Cameron		2	1	1	-		-		3	2	1	1	1	2	2	2		1	2	2	2	1	3	2	-	31
Lonergan, Tom	3			4	4	10	3		5	5	6	6	5	3	7	6	2	5	-	4	8		3	8	2	99
Mackie, Andrew	6	3		3	5	5	6	2	3	2	2	1	4	3		2	1	3	3		4	3	7	3	4	75
Menzel, Daniel	1	-	5	-	3	3	-		3	1	1	-	4	2	1					1	2	1	-			28
Milburn, Darren	-	5	4	2	3	3		7	5		1	2					9	4	3			6				54
Mooney, Cameron	2		2	3		5			2									2	-	2						18
Motlop, Steven													1	1	2	-										4
Ottens, Brad	4	6	2	3	3	-	3	5		3	2	3		3	2			1		-	2	2	-	3	3	50
Podsiadly, James		1	3	2	-	3	2	1	1	-	1	2	-	9	3	2	-		1	1	1	1	-	2	1	37
Scarlett, Matthew	3		3	4	3	4	1	5	6	3	2	1	4	2	6		11	4	1		2	3	4	5	6	83
Selwood, Joel	1		2	1	2	1	1	3	4	3	1					4	3	-	6	1	1	2	1	1	1	39
Simpson, Dawson													1													1
Stokes, Mathew	-	1	-		1	-	-	1	1	1	2	1		3	1	3	1	1	1	1	1		3	2	3	28
Taylor, Harry	10	7	-	7	5	6	10	7		4	5	4	5	7	11	3	6	2	8	8	3	7	5	6	8	144
Varcoe, Travis	1	2	4	1	2	1	2	2	2	1	1	2	1		2	-	-	2	-	1	2	1	1	-	3	34
Vardy, Nathan								1	4	1	2	3		-	4	3				-						18
West, Trent																4	6	3	6		5	5	4	2	2	37
Wojcinski, David	-	1		-	2	2	1	1	2	1		2	1	3	5		1	7	2	3	3	2	2	1	3	45
Totals	55	48	45	56	52	60	45	53	59	39	44	39	56	57	69	48	51	58	45	46	55	59	51	62	48	1300
Opponent	SK	FR	PA	SY	HW	NM	CW	CA	GC	WB	HW	SK	AD	ES	WC	BL	RI	ME	GC	AD	SY	CW	HW	WC	CW	
