Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R18	R19	R20	R21	R22	R23	R24	QF	SF	PF	Tot
Bailey, Max								1	2	6		2	-	3	3	9	1	2	2	2	5		1	2	1	42
Bateman, Chance	1	-	2	2	1	3	3	1	1				2	-					-	-		3	-	1	-	20
Birchall, Grant	1	2	-	-	1	-	-	-	-	1	1	1	1	-	-	-	2	1	-	-	-		3	-	1	15
Breust, Luke							-	-	-	-	1	1	2	2	-	1	-	2	-	1	-	1	2			13
Bruce, Cameron	2	-	-	2	1														3	2	-	5				15
Burgoyne, Shaun	3	2	4	5	1	4	2	2	3	5	3	-	-	3	-	-	1	1	2	1	2		3	3	4	54
Cheney, Kyle										1			1	-	-	-	-	-				-				2
Ellis, Xavier			1	-	-	1									1	3	2					4				12
Franklin, Lance	-	-	3	-	-	1	1	-	-		-	-		1	1	2	3	2	1	-	-		-	-	-	15
Gibson, Josh	-	-	1	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	2	-	-	1	1	-	7
Gilham, Stephen	-	1	1	-	-	-	-																			2
Guerra, Brent			1	-	-	2	1	1	-	-	1		1	1	-	-	-	3	1	1	-	-	-	-	1	14
Hale, David	1	2	2	-	2		1					1	1	-	1	-	1	2	1	6	1	-	-	2	-	24
Hodge, Luke		1	2	2	1	3	4	5	3	4	-	5	-	7	6	3		3	2	5	6		7	7	4	80
Johnson, Paul																						3				3
Ladson, Rick	3	1	5	-	4	1						1					-	1				-				16
Lewis, Jordan	2	2	4	1	1	1	3	4	-	4	3	3	4			7	2	5	4	2	7		3	7	7	76
Lisle, Jordan										-		-	-	-								-				
Milne, Riley															2											2
Mitchell, Sam	5	6		8	4	2	6	4	6	6	6	3	9	3	7	9	9	6	6	5		5	4	5	7	131
Murphy, Tom						-	1	-	-	-	-	-		1	-	-	-	1	-	1	-	-	-	1	-	5
Osborne, Michael	-	1	3				1	-	2	2	2	-	1	1	1	-	1	3			1	-	-	4	-	23
Puopolo, Paul						-	2	2	1	2	2	2	1	-	2	-	1	1	1	-	1	1	-	1	-	20
Renouf, Brent	4	-	4	1	1	2					2															14
Rioli, Cyril	5	2		-	2			-	-	2	2	-	1			1	2	-	-	4	-		1	2	-	24
Roughead, Jarryd	1	3	1	1	2	3	3	4	2	6	2															28
Savage, Shane	3	2	3	-	-	1	1	2	2		3	3	-	1	5	-					1	5				32
Schoenmakers, Ryan								-	-	-	1								-	-	-	-	1	-	-	2
Sewell, Brad	4	8	3	5	10	1	5	5	3	5	6	2	5			6	6	5	3	2	7		3	2	4	100
Shiels, Liam	2	4	3	3	2	4	4	3	3	2	3	1	4	4	4	4	7	4	9	1	-	3	3	2	2	81
Smith, Isaac						-	2					-	-	1	1	-	2	3	3	2	1	-	1	1	1	18
Stratton, Ben	-	1	1																			-		-	1	3
Suckling, Matt	-	2	-	1	-		1	-	-	-	-	1	1	1	-		1	1	-	-	1	1	1	1	1	14
Whitecross, Brendan	-					1	1	2	-	1	1	-	-	1	1	2	1	2	-	-	1	5	1	2	-	22
Young, Clinton	-	-	-	3	1	-				1	-			1	-											6
Totals	37	40	44	34	34	30	42	36	28	48	39	26	35	31	36	47	42	48	38	37	34	36	35	44	34	935
Opponent	AD	ME	RI	WC	GE	PA	SK	SY	WB	FR	GE	GC	ES	CW	BL	ME	FR	NM	PA	CA	WB	GC	GE	SY	CW	
