Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R18	R19	R20	R21	R22	R23	R24	QF	SF	PF	Tot
Bailey, Max								-	4	2		1	1	1	3	6	1	3	2	1	-		1	1	1	28
Bateman, Chance	2	2	1	1	-	-	-	-	-				-	1					-	-		1	-	-	2	10
Birchall, Grant	-	-	-	-	-	-	-	1	-	-	1	1	1	-	-	-	1	1	1	-	-		-	2	-	9
Breust, Luke							1	-	1	1	-	1	-	1	-	1	3	1	-	-	1	1	1			13
Bruce, Cameron	1	1	-	-	1														2	-	-	-				5
Burgoyne, Shaun	1	-	-	-	1	1	1	3	1	-	-	-	-	1	-	1	-	1	1	-	1		-	1	1	15
Cheney, Kyle										1			-	1	1	-	-	-				-				3
Ellis, Xavier			1	1	1	2									-	-	2					2				9
Franklin, Lance	5	6	2	4	-	1	4	3	4		2	2		2	1	-	3	3	-	1	-		2	5	3	53
Gibson, Josh	-	-	-	1	2	-	4	-	2	-	1	2	1	1	2	2	1	2	-	1	-	-	-	1	2	25
Gilham, Stephen	1	2	2	-	-	3	-																			8
Guerra, Brent			1	1	1	-	-	1	-	-	3		-	1	3	1	-	-	-	1	-	-	-	-	2	15
Hale, David	3	-	5	-	2		1					1	2	1	2	-	2	2	4	3	1	-	1	-	3	33
Hodge, Luke		-	-	1	2	2	1	1	2	2	5	2	2	1	3	1		1	2	-	1		1	-	1	31
Johnson, Paul																						4				4
Ladson, Rick	-	-	2	1	2	1						-					1	1				2				10
Lewis, Jordan	1	-	-	-	1	2	4	2	2	1	1	-	2			1	3	1	-	2	-		4	1	2	30
Lisle, Jordan										-		1	1	1								1				4
Milne, Riley															-											
Mitchell, Sam	1	-		-	2	3	3	1	2	1	3	2	1	-	-	2	5	-	-	2		3	1	1	1	34
Murphy, Tom						1	-	1	-	-	-	-		2	-	-	1	1	-	1	1	-	2	-	-	10
Osborne, Michael	-	-	2				-	-	-	1	-	-	3	1	-	-	2	1			1	2	1	1	-	15
Puopolo, Paul						2	-	1	1	-	-	-	-	-	2	1	-	1	-	2	-	-	-	2	1	13
Renouf, Brent	5	1	-	1	3	3					3															16
Rioli, Cyril	1	1		1	-			-	-	-	-	-	-			-	-	1	-	1	-		1	-	1	7
Roughead, Jarryd	1	5	1	1	1	2	3	1	2	1	2															20
Savage, Shane	1	-	1	1	-	-	-	-	-		-	-	1	1	1	1					1	-				8
Schoenmakers, Ryan								2	-	-	-								2	3	3	-	2	1	1	14
Sewell, Brad	1	-	4	-	1	2	-	-	1	1	1	-	-			2	1	1	-	1	2		1	-	1	20
Shiels, Liam	-	1	3	-	-	-	1	-	-	-	2	2	2	-	3	1	4	-	1	3	2	1	2	2	1	31
Smith, Isaac						-	-					-	-	1	1	1	1	2	1	2	1	1	-	2	-	13
Stratton, Ben	1	1	1																			1		-	2	6
Suckling, Matt	1	-	1	1	-		-	2	1	1	-	1	1	2	-		1	1	2	1	1	1	1	-	-	19
Whitecross, Brendan	-					1	-	1	-	2	1	-	1	-	-	-	-	1	-	-	-	1	-	1	3	12
Young, Clinton	-	-	1	-	-	1				-	-			-	-											2
Totals	26	20	28	15	20	27	23	20	23	14	25	16	19	19	22	21	32	25	18	25	16	21	21	21	28	545
Opponent	AD	ME	RI	WC	GE	PA	SK	SY	WB	FR	GE	GC	ES	CW	BL	ME	FR	NM	PA	CA	WB	GC	GE	SY	CW	
