Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	Tot
Astbury, David	5	3	2	2							1												13
Batchelor, Jake	7	2	3	4		2	6	3	4	5	3		6	3	3	4	1		3				59
Browne, Andrew									5	6	4	9	8	6		3							41
Conca, Reece	5	5	6	4	6	5	7	6	7	5	4	6	5		7	3	3	-					84
Connors, Daniel	3	5	10																				18
Cotchin, Trent	12	8	9	16	14	14	11	11	15	9	15	13	8	14	7	7	21	5	9	9	16	18	261
Dea, Matt																		3	9	4		2	18
Deledio, Brett	4	13	7	9	8	8	9	12	10	9	10	3	7	7	5	7	12	5	8	5	8	9	175
Edwards, Shane	6	6	2	6	3	7	9	1			2	5	6	4	8	7	7	6	6	8	10	9	118
Farmer, Mitch									6	10	6	3	6	3				2	4	3	3	4	50
Foley, Nathan	3	7	18	6	8	16	7	8	5	14	10	11	11	8	9	6	12	10	4	12	15	13	213
Gourdis, David													7										7
Graham, Angus	7	5	4	3	4	7	5	4									5	4	7	6	6	4	71
Griffiths, Ben														2	6	2	2						12
Grigg, Shaun	6	7	9	6	7	8	2	6	4	11	7	4	5	4	9	5		4	6	4	4	9	127
Grimes, Dylan			6	2	7	4	7	1	7														34
Helbig, Brad	3	4	3	1				3	2	4				1	2	3							26
Hislop, Tom											2	4	6	2	2								16
Houli, Bachar	3	3	7	3	3	9	6	8	4	9	2	4	10	3	4	7	3	8	6	6	6	8	122
Jackson, Daniel	12	13	14	7	6		6	10	6	12	10	11	4	11	7	6	4	6	8	5	9	5	172
King, Jake		4	6	3	5	6	7	3	7	2	4	5		7	9	4	3	6	7	5	8		101
Martin, Dustin	6	7	8	10	12	13	3	10	8	11	12	10	7	3	6	4	9	14	9	11	11	10	194
McGuane, Luke	4	9			2	4	5	9	3	4		2	8		5	10	7	5					77
Miller, Brad				4	4	4	2	4		1	3	2	6					6	3	8	5	5	57
Morton, Mitch	5	7	5														4	7	2	5	1	1	37
Nahas, Robin	3	6	11	2	11	9	8	8	4	5	3	9	9	8	5	9	7	7	7	6	5	7	149
Nason, Ben					1	9	2	3															15
Newman, Chris	6	11	3	5	5	5	5	1	8	6	5	5	11	5	9	11	2						103
OReilly, Jamie																					4		4
Post, Jayden									5			2		4	3				4	4	4	5	31
Rance, Alex	8				6	5	5	3	11	3	9	1	3	8	4	6	4	9	11	4	4	8	112
Riewoldt, Jack	8	-	6	6	16	8	5	7	9	6	8	6	7	3	5	9	4	10	11	10	9	6	159
Thursfield, Will				6										2	6	3	6	2	4	1	2	-	32
Tuck, Shane					6	4			6	10							14	13	13	19	5	13	103
Vickery, Ty	6	8	8	1	2	9	5	5	6	7	8	4	8	5	9	4	5	6	8	7	6	8	135
Webberley, Jeromey												1	-							1	1	1	4
White, Matt	5	4	6	5	1	7	5			5	5					4	2					7	56
Totals	127	137	153	111	137	163	127	126	142	154	133	120	148	113	130	124	137	138	149	143	142	152	3006
Opponent	CA	SK	HW	CW	NM	BL	FR	WB	ES	PA	SY	BL	ME	CA	ES	GC	GE	WC	SY	ME	AD	NM	
