Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	Tot
Astbury, David	1	-	-	-							-												1
Batchelor, Jake	1	2	2	-		-	-	2	-	-	-		-	-	-	-	-		1				8
Browne, Andrew									4	2	1	2	2	2		-							13
Conca, Reece	1	2	1	2	1	3	1	1	-	3	1	2	2		1	-	2	3					26
Connors, Daniel	-	1	4																				5
Cotchin, Trent	-	1	1	-	1	2	2	1	3	1	-	3	1	3	1	-	1	-	-	1	3	-	25
Dea, Matt																		-	-	-		-	
Deledio, Brett	-	-	-	-	-	2	1	-	1	-	-	-	2	-	1	1	-	-	-	-	-	-	8
Edwards, Shane	-	-	-	1	-	1	1	-			1	1	-	-	-	1	1	-	-	1	2	-	10
Farmer, Mitch									-	-	-	-	1	-				4	-	1	1	-	7
Foley, Nathan	1	2	4	2	-	1	1	1	-	1	2	1	-	1	4	1	-	1	1	1	1	1	27
Gourdis, David													-										
Graham, Angus	2	1	2	4	4	2	3	1									3	5	3	-	1	1	32
Griffiths, Ben														-	1	1	1						3
Grigg, Shaun	1	1	1	1	2	1	-	-	2	1	1	1	-	1	1	-		-	-	-	-	-	14
Grimes, Dylan			2	-	3	1	2	1	1														10
Helbig, Brad	1	-	-	-				-	-	-				1	-	-							2
Hislop, Tom											-	-	2	3	-								5
Houli, Bachar	-	-	-	-	-	1	-	1	1	1	-	-	3	-	2	1	-	-	-	2	-	1	13
Jackson, Daniel	3	1	-	4	3		1	2	2	3	1	3	2	-	1	1	2	1	2	5	2	4	43
King, Jake		1	2	3	1	-	2	1	1	3	2	2		-	-	2	-	1	1	2	1		25
Martin, Dustin	2	1	-	1	1	-	-	1	3	1	1	-	-	1	1	1	2	3	2	1	3	1	26
McGuane, Luke	2	5			1	2	1	-	-	1		1	2		1	1	1	2					20
Miller, Brad				1	1	-	-	1		2	2	2	-					2	-	2	1	1	15
Morton, Mitch	2	3	1														1	-	-	-	-	-	7
Nahas, Robin	-	2	-	1	2	-	1	-	-	2	1	2	-	1	-	-	2	2	1	2	-	1	20
Nason, Ben					-	-	-	-															
Newman, Chris	-	2	1	-	1	-	2	3	2	-	-	-	1	1	1	-	-						14
OReilly, Jamie																					1		1
Post, Jayden									1			-		-	3				-	-	-	2	6
Rance, Alex	1				3	-	1	2	-	4	2	3	1	-	4	1	1	1	-	1	1	-	26
Riewoldt, Jack	-	-	-	1	1	-	1	-	1	2	5	4	1	1	-	-	-	-	1	1	-	3	22
Thursfield, Will				1										1	-	4	1	2	-	-	1	3	13
Tuck, Shane					1	-			1	-							-	2	1	-	-	3	8
Vickery, Ty	2	-	-	1	1	1	2	1	-	2	2	2	-	1	-	2	2	1	-	-	-	-	20
Webberley, Jeromey												-	-							-	-	2	2
White, Matt	1	1	3	-	-	1	2			-	-					4	-					-	12
Totals	21	26	24	23	27	18	24	19	23	29	22	29	20	17	22	21	20	30	13	20	18	23	489
Opponent	CA	SK	HW	CW	NM	BL	FR	WB	ES	PA	SY	BL	ME	CA	ES	GC	GE	WC	SY	ME	AD	NM	
