Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	Tot
Astbury, David	-	1	-	-							-												1
Batchelor, Jake	-	-	1	-		2	3	2	1	-	1		4	1	3	1	-		1				20
Browne, Andrew									-	1	1	2	-	-		-							4
Conca, Reece	-	1	-	4	3	3	2	2	4	1	2	2	1		1	-	1	-					27
Connors, Daniel	-	4	2																				6
Cotchin, Trent	5	2	5	8	4	3	5	5	9	2	5	5	3	1	7	3	6	6	6	7	5	6	108
Dea, Matt																		-	-	-		-	
Deledio, Brett	1	4	3	4	1	7	5	5	3	5	2	11	7	3	2	4	2	3	2	1	3	7	85
Edwards, Shane	2	2	-	4	2	4	3	-			3	2	4	3	2	2	2	2	1	5	4	1	48
Farmer, Mitch									1	4	3	2	1	1				-	2	1	1	4	20
Foley, Nathan	1	2	2	1	6	6	2	5	2	5	2	4	4	6	1	3	3	-	5	4	1	2	67
Gourdis, David													-										
Graham, Angus	3	-	3	2	2	2	3	3									1	-	2	1	-	2	24
Griffiths, Ben														-	1	3	3						7
Grigg, Shaun	3	7	6	4	2	3	4	5	1	1	1	4	2	4	4	5		1	4	1	3	2	67
Grimes, Dylan			-	-	-	1	-	-	1														2
Helbig, Brad	4	-	-	2				3	1	4				-	1	-							15
Hislop, Tom											-	1	1	-	1								3
Houli, Bachar	4	2	2	1	2	2	7	1	1	2	6	6	2	1	2	2	2	2	4	1	3	5	60
Jackson, Daniel	3	6	6	4	11		2	6	-	7	4	4	1	6	4	5	2	3	1	2	6	3	86
King, Jake		5	3	2	2	5	3	4	2	5	4	6		1	2	3	2	1	4	3	7		64
Martin, Dustin	4	3	7	2	2	10	3	1	6	3	6	5	2	-	1	4	4	2	4	7	6	11	93
McGuane, Luke	-	2			-	-	-	-	-	-		-	-		1	-	-	1					4
Miller, Brad				1	3	1	-	4		1	1	1	4					3	3	2	-	3	27
Morton, Mitch	3	1	4														2	-	-	4	3	3	20
Nahas, Robin	1	2	5	1	5	2	3	6	3	3	1	2	4	8	-	3	-	2	3	2	5	1	62
Nason, Ben					2	3	2	1															8
Newman, Chris	1	3	2	2	1	2	3	2	3	1	1	-	3	2	1	3	-						30
OReilly, Jamie																					1		1
Post, Jayden									1			-		-	3				2	-	-	-	6
Rance, Alex	-				-	1	-	-	-	2	2	-	-	-	-	-	-	-	1	1	-	1	8
Riewoldt, Jack	-	-	1	-	-	1	-	1	1	2	2	2	3	2	2	6	2	2	3	2	1	1	34
Thursfield, Will				-										-	1	-	-	-	2	1	-	-	4
Tuck, Shane					2	2			3	1							2	6	5	4	2	2	29
Vickery, Ty	-	1	-	-	2	2	1	1	4	3	1	1	-	1	2	1	-	1	1	4	-	2	28
Webberley, Jeromey												-	1							1	1	-	3
White, Matt	2	3	1	3	3	5	3			3	2					2	1					5	33
Totals	37	51	53	45	55	67	54	57	47	56	50	60	47	40	42	50	35	35	56	54	52	61	1104
Opponent	CA	SK	HW	CW	NM	BL	FR	WB	ES	PA	SY	BL	ME	CA	ES	GC	GE	WC	SY	ME	AD	NM	
