Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	Tot
Archer, Daniel		-																						
Armitage, David	-	1	-	-	-	-	-	-	1	1	1	3	-	-	1	-	-	1	-	2	1		-	12
Baker, Steven	-	-		-	-	-	-			-	1	-								-				1
Blake, Jason	-	1			-	-		-	-									-	-	-	1	-	-	2
Clarke, Raphael	1	-	-			-					-	-	-	-	1	-	-	-	-	-	-	-	-	2
Cripps, Jamie					2	1	2	2																7
Dal Santo, Nick	-	-	1	1	1	-	-	-	-	-	2	-	-	2	-	1	1	2	1	-	1	-	1	14
Dawson, Zac	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-		-		-	1	-	1
Dempster, Sean	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	2
Fisher, Sam	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	2
Gamble, Ryan	1	1	-								1	1	1	4	2	-	-	-						11
Gardiner, Michael																						-		
Geary, Jarryn																-	-	-	-	-	-	-	-	
Gilbert, Sam	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	1	-	3
Goddard, Brendon	1	1	-	1	-	1	-	-	-	1	1	-	1	1	-	-	-	1	-	1	-	1	2	13
Gram, Jason	-	-	1	2	-	1	-				-	-	-	-	-	-	-	1	-	-	-	-	-	5
Gwilt, James	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-									
Hayes, Lenny	1	-																						1
Johnson, Will					-																			
Jones, Clinton	-	-	-	-	1	-	-	1	2	1	-	1	-	-	-	-	-	-	-	-	-	-	-	6
Koschitzke, Justin				-		2	-	-				1			2	1	1	2	-		3	2	1	15
Ledger, Tom										-	1													1
Lynch, Tom									-				2	-			1			1				4
McEvoy, Ben	1	1	-	-	-	-	-		-	-	1	-	-	-	-	-	-	1	-	-	-	-	-	4
McQualter, Andrew	-			-	-	-	-																	
Milne, Stephen	-	4	2	2	3	4	-	3	1	1	2	-	3	3	3	8	3	4	1	1	4	3	1	56
Montagna, Leigh	-	-	1	-	-	-		2	2	-		-	-	1	1	1	-	-	3	-	1	1	-	13
Peake, Brett	-	-	-					1	3	1	-	2	-	-	1	-	2	-	-	-	-	-	-	10
Polo, Dean							1	1	-	-			1	-	-	-	1	-	1	1	-	-	-	6
Ray, Farren	-	1	-	1			-	1	-	-	-	2	-	-	-	-	-	1	-	1	-	-	-	7
Riewoldt, Nick	1	3	3	1	-	-	3	3	-	-	2	-	3	4	-	3		-	2	2	5	-	1	36
Schneider, Adam			-	3	1	2	1	1	4	-	-	-	1	1	-	5	-	2	2	-	3	2	2	30
Simpkin, Tom										-	-													
Siposs, Arryn						1	2	1	1	-														5
Smith, Alistair			-	-	-																			
Stanley, Rhys			1	-																				1
Steven, Jack			2	2	1	-	-	-	1	1	-	1	-	1	1	-	1	-	-	-	-	2	-	13
Winmar, Nick								-	-															
Totals	6	13	12	13	9	12	10	16	15	7	12	11	12	17	13	19	10	16	10	10	19	13	8	283
Opponent	GE	RI	ES	BL	AD	CA	HW	ME	FR	CW	WB	GE	NM	PA	WC	AD	GC	FR	CW	SY	NM	CA	SY	
