Player	R1	R2	R3	R4	R6	R7	R8	R9	R10	R11	R12	R13	R14	R16	R17	R18	R19	R20	R21	R22	R23	R24	QF	SF	PF	Tot
Brown, Mitch	-	-	-	-														-	-							
Butler, Sam			-	-	-	-	-	-			-	-	-									-	-	-	-	
Cox, Dean	3	2	1	-	3	-	1	-	-	-	1	-	-	-	-	2	3	-	-	1	-	1	-	-	-	18
Dalziell, Bradd				-																						
Darling, Jack	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	1
Ebert, Brad	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	1	-	-	-	-	-			1
Embley, Andrew	-	3	-	-	-	-		1	-	-	-	-	-	2	-	-	-	-	2	-	-	3	-	-	-	11
Gaff, Andrew	-	-	-	-	-		-								-	-	-	-	3	-	1	-	-	-	-	4
Glass, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	
Hams, Ashton	-																		-	-	-					
Hurn, Shannon	-	-	-	-	-	-	-	-	-	1	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	4
Kennedy, Josh	-	-	-	1	-	-	-	3	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	4
Kerr, Daniel		-	-	-	-	2		-	-		-	-	-	-				3	-	3				-	-	8
LeCras, Mark	-				-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Lycett, Scott																	-									
Lynch, Quinten	-	-	-	-	-	-	2	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	2
Mackenzie, Eric			-	-	-								-	-	-	-	-		-	-	-	-	-	-	-	
Masten, Chris	-						-	-	-	-	-							-		-	3	-	-	-	-	3
McGinnity, Patrick		-	-		-		-	-	-	-	-	-		-		-	-	-	-		-	-	-	-	-	
Naitanui, Nic		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	
Nicoski, Mark	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Priddis, Matt	-	-	-	-	2	1	3	-	-	3	-	2	3	3	1	-	1	-	-	-	-	-	-	-	-	19
Rosa, Matt	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-								3
Schofield, Will	-	-	-	-		-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-		-	-	-	1
Selwood, Adam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Selwood, Scott	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Sheppard, Brad	-	-				-	-		-	-																
Shuey, Luke	1	-	-	-	-	-	-	2	-	-	-	-	-	-	-	3	-	2	-	2	-	2	-	-	-	12
Smith, Ashley					-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
Stevens, Koby														-	-											
Strijk, Andrew										-																
Swift, Tom										-		-	-	-			-									
Waters, Beau	-	-													-	-	-			-	-	-	-	-	-	
Weedon, Gerrick						-																				
Totals	4	5	1	1	6	3	6	6	0	4	6	5	4	5	1	5	4	6	5	6	4	6	0	0	0	93
Opponent	NM	PA	SY	HW	ME	ES	FR	WB	CW	GC	AD	PA	CA	GE	SK	FR	WB	RI	ME	ES	BL	AD	CW	CA	GE	
