Player	R1	R2	R3	R4	R6	R7	R8	R9	R10	R11	R12	R13	R14	R16	R17	R18	R19	R20	R21	R22	R23	R24	QF	SF	PF	Tot
Brown, Mitch	8	16	5	10														9	14							62
Butler, Sam			12	24	21	13	19	18			18	14	22									18	17	13	19	228
Cox, Dean	29	21	20	13	23	15	13	23	20	26	14	14	21	13	22	22	27	11	17	16	8	15	12	19	12	446
Dalziell, Bradd				5																						5
Darling, Jack	11	10	14	24	14	10	17	22	13	13	9	9	14	9	5	9	12	10	14			15	8	12	10	284
Ebert, Brad	22	13	10	13	24	7	13	15	8		7	9	9	20	17	14	14	21	14	9	14	14	12			299
Embley, Andrew	28	32	20	24	17	16		34	24	18	29	17	17	32	12	19	20	16	25	19	7	33	15	28	16	518
Gaff, Andrew	14	11	12	14	5		5								21	18	31	29	33	15	25	11	20	15	23	302
Glass, Darren	5	9	10	16	13	14	5	8	10	19	11	13	15	14	15	11	11	9		8	11	10	13	11	5	266
Hams, Ashton	15																		8	11	15					49
Hurn, Shannon	16	18	14	17	18	14	16	23	21	30	22	25	10	24	9	17	22	12	22	18	15	16	16	15	22	452
Kennedy, Josh	14	14	10	12	11	11	10	21	8	12	13	14	12	9	10	15			8	19	8	8	11	10	10	270
Kerr, Daniel		25	13	20	27	28		26	24		27	27	20	24				34	17	25				27	30	394
LeCras, Mark	12				12	10	22	29	16	28	17	19	10	12	18	22	14	22	12	15	15	19	13	12	9	358
Lycett, Scott																	11									11
Lynch, Quinten	20	7	11	14	13	12	22	22	16	18	17	17	22		11	11	15	23	15	15	25	22	16	13	10	387
Mackenzie, Eric			11	16	13								13	8	16	14	10		6	10	9	11	13	8	4	162
Masten, Chris	5						12	15	5	19	10							12		2	31	27	22	13	17	190
McGinnity, Patrick		12	18		9		13	15	10	12	8	17		17		8	5	13	15		17	13	6	4	7	219
Naitanui, Nic		14	14	11	11	24	12	19	9	12	13	11	8	13	13	14		14	10	10	15	13	15	6	18	299
Nicoski, Mark	21	7	17	10	15	16	16	8	11	16	17	13	7	15	15	10	18	14	10	8	9	15	12	14	5	319
Priddis, Matt	28	29	27	26	33	27	27	25	32	31	20	28	30	29	27	14	31	21	26	27	25	23	24	27	25	662
Rosa, Matt	19	25	20	25	26	22	24	29	19	21	31	25	8	19	22	21	30	15								401
Schofield, Will	11	13	12	9		8	8	10	14	14	5	12	16	13	17	13	10	14	18	9	9		7	10	11	263
Selwood, Adam	17	8	24	15	19	13	16	19	27	15	25	15	12	18	19	14	14	14	16	20	14	28	18	17	13	430
Selwood, Scott	21	16	18	21	20	15	21	20	19	16	20	20	11	18	15	18	18	20	15	23	21	22	21	21	18	468
Sheppard, Brad	12	15				12	10		14	11																74
Shuey, Luke	20	27	12	19	20	14	16	27	15	18	22	22	21	12	24	26	17	30	16	23	20	25	18	17	21	502
Smith, Ashley					25	11	18	16	18	20	15	15	21	18	8	15	14	14	13	14	2	4				261
Stevens, Koby														5	2											7
Strijk, Andrew										3																3
Swift, Tom										8		23	20	14			18									83
Waters, Beau	21	25													16	23	9			12	14	15	15	10	38	198
Weedon, Gerrick						3																				3
Totals	369	367	324	358	389	315	335	444	353	380	370	379	339	356	334	348	371	377	344	328	329	377	324	322	343	8875
Opponent	NM	PA	SY	HW	ME	ES	FR	WB	CW	GC	AD	PA	CA	GE	SK	FR	WB	RI	ME	ES	BL	AD	CW	CA	GE	
