Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Adcock, Jed	11	8	2	10	7	11		8	11	13	11	8	6	4	2	7	8	10	7	8	3	5	160
Banfield, Todd	2	4	2	8	6	5	3								5	5	1	2	2				45
Beams, Claye	13	4	3											3					4	6	6	8	47
Bewick, Rohan	6	5						11	5	4	-	5	3	6	7	1	7		5	2	4	4	75
Black, Simon	13	15		15	10	18	11	12	6			15	12		21	20	14	11	10	14	15	15	247
Brown, Jonathan			-	8	6	10	7	8	5	5	4	3	5	5	6	6	9	5	5	6	3	2	108
Buchanan, Amon																						12	12
Cornelius, Aaron				1	5	5			2	3	2				5	5							28
Crisp, Jack				7	4	6								6	7	8	7	4		4	4		57
Drummond, Josh			4	5	1		6	7	5	6	9	4	6	5	3	2		1			1		65
Golby, Mitch	8	7	7	14	6	6	8	8	9	5	9	11	8										106
Green, Josh								10	1	-	-	3	8	3				5	9	3	3	8	53
Hanley, Pearce	6	2	4	7	8	13	9	11	4	2	3	8	4	12	4	7	10	5	7	11	6	4	147
Harwood, Ryan			7	5		8	8				5	7	12	9	5	5	3	11	5	9	7	6	112
Hawksley, James							9										7				9	5	30
Hudson, Ben	12	2		10	6	12				14	7	4	12	12	14	18	8	9	9	9	5	10	173
Karnezis, Patrick					2	2	1	2						4	3			4					18
Lester, Ryan	3	4	2	11	5	8		9	4	9	7	6	4	5		8	6		7	9	2	11	120
Leuenberger, Matthew	6	5	-																				11
Lisle, Jordan																		5	7	6	7	4	29
Longer, Billy			-			1	4	7	4														16
Maguire, Matt	3	7	3	5	4	6	3	4	5	2	2	-			8	5	2			-			59
McGrath, Ashley	3	8	5	10	5	5	6	12	8	4		2	1										69
McKeever, Niall	5	5					11			7	3	9	9	8			4						61
Merrett, Daniel	5	4	3	4	5	3	1	6	3	4	3	3	8	5	6	12	2	4	6	6	1	6	100
OBrien, Jesse		-	4																				4
Patfull, Joel	10	4	6	8	4	5	2	8	5	3	2	6	6	9	3	6	2	6	3	6	4	5	113
Polec, Jared	10	4	3	8	5	4	4	1		5	3		2			2							51
Polkinghorne, James	5	6	7			6	2	5	5	4	5	7	6	5	5	9	5	5	8	4	2	5	106
Raines, Andrew			4	6	2		7	9	6	11	9	13	12	13	7	7	3	6	4	9	3	7	138
Redden, Jack	11	13	11	23	5	15	14	17	9	10	11	18	18	13	8	7	13	13	14	16	15	12	286
Rich, Daniel	11	10	7	7	10	15	4	8	5	7	5	7	9	5	13			9	8	8	10	7	165
Rockliff, Tom	7	9	12	19	14	14	11	16	13	18	16	21	13	13	2	10	9	12	10	5	4	8	256
Sheldon, Sam	1			10	4																		15
Stiller, Cheynee	8	6												3									17
Wrigley, Stephen																	3	2	5				10
Yeo, Elliot									9						6	10	7	4	5	8		9	58
Zorko, Dayne							6	7	6	8	6	12	8	16	11	10	4	11	7	14	8	12	146
Totals	159	132	96	201	124	178	137	186	130	144	122	172	172	164	151	170	134	144	147	163	122	165	3313
Opponent	ME	CA	FR	GC	GE	ES	CW	GW	NM	WC	HW	WB	ME	SY	SK	GC	WC	RI	CA	AD	PA	WB	
