Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Addison, Dylan	-	-	-	-	-	-	-	-		-	-	-	-					4	1	2	-	-	7
Austin, Mark				-	-	-	-	-	-	-	-	-		-		-							
Boyd, Matthew	-	1	1	-	-	1	1	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-	6
Campbell, Tom												-	2	-				-	-		-	-	2
Cooney, Adam	-	-	-	1	1	-			-	-	2	3	-							-	1	1	9
Cordy, Ayce			-	1	1		2	1		1	5	1		-	-	1				-			13
Cross, Daniel	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-						2
Dahlhaus, Luke	1	-	-	-	-	-	-	-	-	-	2	-	1	-	1	-	-						5
Dickson, Tory	1	-					2	-	3	-	4	2	1	1	4		1	-	-	1	-	1	21
Djerrkura, Nathan		-	-	-	1	1								-	-	-		-	1	-	1	1	5
Giansiracusa, Daniel	2	3	-	-		1	2	1	2	-	1	-				1	1	1	2	1	-		18
Gilbee, Lindsay														-	-	-	-						
Grant, Jarrad	1	1	1	1	2		1	-								1	-	1	1		-	-	10
Griffen, Ryan		-	1	-	-	1	-	-	1	-	-	-	1	-	-	-	-	1		-	-	-	5
Hargrave, Ryan	1	-	-	-		1	-	-	-	-			-		-				-				2
Higgins, Shaun	1	1	1	-	2	1	2	1	1	-	1	2	-	-	2	2				-	1	2	20
Hooper, Andrew																			-				
Howard, Christian	-										-	-	-	-	-	-	-	-			2	-	2
Johannisen, Jason																		-	-	-			
Jones, Liam	2	3	1	1	2	-		-	2		1	-	-				-						12
Jong, Lin																			-	-	-	-	
Lake, Brian	-	-	-		-	-	-	1	-	-	-	-	-	-	-	-	-	-	4	2		-	7
Liberatore, Tom	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-					
Markovic, Lukas	-	-	-										-	-	-					-	-	-	
Minson, Will	-	-	-	-	-	-	-	-	-	-	-		3	2	-	-	-	-	-	-	-	-	5
Murphy, Robert	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	
Pearce, Daniel									-	-						-	-	-					
Picken, Liam	-	1	-	-	1	-	-	1	-	-	-	-	-	-	-	1	-	-	-	1	-	-	5
Roberts, Fletcher																			-	-			
Roughead, Jordan	-	1	1	-	-	-	-		1	1	1	2	-				-	-	-	-	-	-	7
Sherman, Justin				-	1	1	-	-	-				1	1	-				-				4
Skinner, Zephaniah								-	-									-	2	1	1	-	4
Smith, Clay	-	-	-				-	-			-	-	-	-	-		-	1	1	-	-	-	2
Talia, Michael																		-	-		-	-	
Tutt, Jason														-	-	-	1	-					1
Veszpremi, Patrick				-	-	-	-		1	2						-	-						3
Wallis, Mitch	1			-	1	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	2
Williams, Tom															2	1	2						5
Wood, Easton	-	-	-	-	-	-				-	-	-	-	-						-	-	-	
Totals	10	11	6	4	12	7	10	5	11	5	17	10	10	6	9	7	5	8	12	8	6	5	184
Opponent	WC	AD	SK	ME	GW	CW	NM	GC	GE	SY	PA	BL	ES	FR	HW	CA	SK	NM	RI	SY	GE	BL	
