Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	SF	PF	Tot
Ball, Luke	8	9	5																							22
Beams, Dayne		11	7	14	14	19	15	10	20	20	17	16	13	11	16	16	14	16	13	22	13	22	13	14	15	361
Blair, Jarryd	10	10	8	9	9		15	12	14	15	16	12	13	14	8	15	12	8	12	10	5		8	4	16	255
Brown, Nathan					5	6	1			5	8	7	3		7	4	8	2	1	4	5	4	3	7	7	87
Buckley, Simon				8	4	10	7	4	9	8	12	10	8	3	2		4									89
Clarke, Martin	3	8	8	5	4	12	12	8	4	7	7	6		5	3		6		8	4						110
Cloke, Travis	3	2	3	3	1	2	2	2	2	4	5	2	2	3	3	3	8	4	4	4	3	-	3	2	1	71
Dawes, Chris	3	8	6	8	8	5		7	6	8	5	6	4	6	5	3	9	5	3	2	4		14	3	6	134
Didak, Alan							7	4	5	8	-								6	4	4	3	5	5		51
Elliott, Jamie									-	3	3	3	5	3	3	6	6	8	9	3		1		-	2	55
Fasolo, Alex	3	4	6	8	6	4		5	3	8	3	5	8	13	8	6	3	5	8	6	4	5	4	4	6	135
Goldsack, Tyson	5	6	7	6	3	3	4	7	5	3	5	6	4	5	5	3	7	3			3	3		5	4	102
Johnson, Ben				5	6	3															6	9	3	9	4	45
Jolly, Darren	9	3	5	7	5			8	3		7	11	12	6	5	4		12	7	2		11	2	3	2	124
Keeffe, Lachlan	3	5	2	2	5	3	3	4	4																	31
Krakouer, Andrew																						2	2	3	4	11
Lumumba, Heritier	8	8	7	13	8	2	19	7	9	5	4	6	5	3	5	9		4	1	1	6	7	2	2	5	146
Maxwell, Nick			5	8	6	10	7	6	7	6	3	10	4	7	4	7	8	8	4	5		5	3			123
Mooney, Caolan													2			4	2			1						9
Paine, Jackson	3	4		1									9	2								1				20
Pendlebury, Scott	19	12	5	16	16	20	13	14	13	9					18	19	17	16	15	6	17	16	16	13	13	303
Reid, Ben	4	6	1			7	6	3				8	4	3	8	6	11	3	6	7	3	3	6	4	4	103
Rounds, Luke	3																									3
Seedsman, Paul	4	6		6	1		12									5	13	3	7	1	1					59
Shaw, Heath	3	1	3			6	5	8	7			6	2	7	7	7	8	2	2	4	-	9	6	7	5	105
Sidebottom, Steele	9	10	6	5	9	18	19	16	12	13	15	10	14	11	4	15		15	3	10	10	10	14	6	4	258
Sinclair, Ben	2	4	2	5	3	5	6	7	9	6	4			2	7		7	2	5	1	2		1		2	82
Swan, Dane	10	13	12	18	14	14	12	12			19	17	22	13	17	18	14	14			11	10	10	9	4	283
Tarrant, Chris		-									2				2	3	7		4	5	4	4	1	4	4	40
Thomas, Dale	7	6	8					8	11	14	9	12	5	8	5	6		9	2	10	8	11	12	6	5	162
Toovey, Alan	4	6	5	5	2	4	6	5	7			5	3	3	5	8	8	6	3		4	6	5	3	3	106
Ugle, Kirk					3	2				6																11
Wellingham, Sharrod			6	9	7	7	10	11	8	8	2	6	11	5				8	14	6	11	9	4	5	4	151
Williams, Marley									3	5	5	-	5	3												21
Wood, Cameron			7			4	6			12							7				2					38
Yagmoor, Peter	-						2																			2
Young, Tom				3						8	5	1				8	12	5								42
Totals	123	142	124	164	139	166	189	168	161	181	156	165	158	136	147	175	191	158	137	118	126	151	137	118	120	3750
Opponent	HW	RI	CA	PA	ES	WB	BL	GE	AD	GC	ME	WC	FR	CA	GE	HW	GW	SK	SY	NM	WC	ES	HW	WC	SY	
