Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Baguley, Mark															-	-	-	-	-		-	-	
Bellchambers, Tom			-	-	-	1	-	-	1	1	-				-	1	1	-	1	-	-		6
Browne, Alex																	-	1	-	-	-	-	1
Carlisle, Jake		-	-		1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-			2
Colyer, Travis						-	-		-	-								-	2				2
Crameri, Stewart	1	2	2	-	-	-	1	3	2	2	-	1	-			1			1	-	1	-	17
Davey, Alwyn			1	-	-	-	1	-	-	-	-			1	2	1	1	-	-	-	-		7
DellOlio, Cory				3	-							-	-		-	1	-					2	6
Dempsey, Courtenay	1	-	-			-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	3
Dyson, Ricky			-	-	-	-	2	2	1	-	-			-	1	-							6
Fletcher, Dustin	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-		-	-			
Gumbleton, Scott															-	-	-	-	-		-		
Hardingham, Kyle	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	1	-	-	1
Heppell, Dyson	-	-	-	1	-	-	-	1			1	-	1	-	3	1	-	1	-	-	-	-	9
Hibberd, Michael	-	1	1	1	-							1	-	-	-				-	-	-	-	4
Hille, David	-	-										-	1	-	1	1	-					-	3
Hocking, Heath	-		-	-	3	1	-	-	-	-	-	1	1	-			-	-	-	1	-		7
Hooker, Cale	-			-	-	-	-	-	1		-	-	-	-	-	-		-		-	-	-	1
Howlett, Ben	2	1	-	2	-	-	1	-	-	-	2	-	2	-	2	-	-	-				-	12
Hurley, Michael	1	2	1	-				1	-	-	-	-	2	1				-	-	-	1	-	9
Jetta, Leroy	-	1	2	2	2	2	2	-		-	-	2	2	1	-	-	1	1	2	1	-	-	21
Kavanagh, Elliott																	-						
Lee, Brendan																			-	1			1
Lonergan, Sam		1		1	-	-	-	-	-	-	-		1	-				1	-	-			4
Lovett-Murray, Nathan	-	1				-	-	-	1	-	1	-	-	2	-	1	-	1	-		-		7
McVeigh, Mark	-	-							-														
Melksham, Jake	1	-	-	-	-	1	2	-	-	-	-	1	-	-	1	-	1	1	-	-	-	-	8
Merrett, Jackson																						-	
Monfries, Angus	1	2	-	1	1	-	1	1	-	-	-	-				-	1		-	-	-	1	9
Myers, David	1	-									-	1	-	1	1	-						-	4
OBrien, Nick																					1	1	2
Pears, Tayte	-	-	-	-	-				-	-								1			-	-	1
Reimers, Kyle			-									1	1	1	1								4
Ryder, Patrick	-	-	1	1	-	1	1	1	-	2	-	-	-	-						-			7
Slattery, Henry									-									-					
Stanton, Brent	-	1	1	-	-	1	-	-	-	-	1	-	-	-	1	-	1			-	-	-	6
Watson, Jobe	-	1	1	1	2	3	-	1	3	-	1	2	-	-	-	1	-	4	2	-	-	1	23
Winderlich, Jason																	2	-					2
Zaharakis, David	2	1	-	-	-	1	1	-	-	-										-	1	1	7
Totals	10	14	10	13	9	11	12	10	11	5	6	10	12	7	13	8	8	11	8	4	4	6	202
Opponent	NM	PA	GC	CA	CW	BL	WC	RI	GW	ME	SY	FR	WB	SK	PA	GE	HW	AD	NM	CA	RI	CW	
