Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	Tot
Bartel, Jimmy	6	9	13	12	7	8		7	10	13	10	8	10	7			11	4	9	15	11	7	13	190
Brown, Mitch		-				3								4										7
Byrnes, Shannon		3	5			11	3																	22
Chapman, Paul	5	7	2	2	8	7	10	9	9	12	6	7		6	7	7	7	4		8	4	3	6	136
Christensen, Allen	5	15	6	11	14	12	12					4	10	14	6		11	9	8		9	9	8	163
Corey, Joel	9	10	11	8	10	24	12	17	13		10	12	12	11	11	15	8			9	12	13	12	239
Duncan, Mitch	4	3	7	5	6	16	4	5	1	2	11	5	5		4	11	3	5	6	12	9	6	8	138
Enright, Corey	3	8	8	11	5	18	10	10	4		3	13	4	11	11	5	11	6	5	8	11	3	11	179
Gillies, Tom			6	6		8	4			9														33
Guthrie, Cameron	9	3	5	12	5	2	4	4	2	5	3		7	3	8	4	6		4		11			97
Hawkins, Tom	2	6	6	5	-	3	4	4	8		-	4	7	2	1	3	5	3	-	4	2	6	5	80
Horlin-Smith, George			3	6									8											17
Hunt, Josh				2	1	6	8	4	7	8	4	4		5	6	8	5	1		10	8	7	3	97
Hunt, Taylor	6	2	8	9	8		10	11	11	9	8	7	8	9	8	9	10	3	14	7		5	8	170
Johnson, Steve	4	6	3	6	4	17	9	7	11	6	8	6	5		16	9	-	9	15	9	6	10		166
Kelly, James	13	10	9			10	10	15		11	11	7	14	12	20	13	10	12		15	12	6	3	213
Lonergan, Tom	5	5	6	6	3		6	3	2	4	7	7	7	6	3	2	7	4	4	2	11	4	3	107
Mackie, Andrew	5	5	2	4	-	8	6	4	9	3	6	8	2	11	5	1	3	5	11	3	8	3	8	120
McCarthy, Lincoln										3														3
Motlop, Steven	6	2	1	7	5	11	5	3	8		3	4	5	5	3	6	5	1	2	6	11	1	4	104
Murdoch, Jordan													6	6		3			6	7	5	2	-	35
Podsiadly, James	5	3	1	3	4	3	6	2	-	3		3	2					5	4	6	4	2	6	62
Scarlett, Matthew	2				5	6			5	8	9	4	6	1	6	2		3	2	4		8	4	75
Schroder, Jordan										7														7
Selwood, Joel	16	13	14	14	9		20	17	6	10	11	7	8	15	12	8	8	16	5	11		11	15	246
Sheringham, Jackson															3	6	12	4	3					28
Simpkin, Jonathan									4										3	5			1	13
Simpson, Dawson												2		2										4
Smedts, Billie	5	6			-	3	4	2		5			10	8	3	5	8	12			1			72
Stephenson, Orren	2		7					6	4	1	-							6	8					34
Stokes, Mathew	5	2		8	1			7	4	8	18	4	3	14	5	12	10	11	7	13	9	10	10	161
Stringer, Jesse				3	8	10	7	4	11	5	4													52
Taylor, Harry	5	4	8	14	7	16	9	6	4	4	5	8	5		1	8	11	4	4	8	9	6	6	152
Varcoe, Travis																					1			1
Vardy, Nathan																						1	1	2
Walker, Josh															4	2	7	-	-	4	4			21
West, Trent	4	4	6	5	6	4	7	9	3	10	6	3	5	4	5	5	3			6	3	10	4	112
Wojcinski, David											3	8		8					3					22
Totals	126	126	137	159	116	206	170	156	136	146	146	135	149	164	148	144	161	127	123	172	161	133	139	3380
Opponent	FR	HW	NM	RI	BL	ME	AD	CW	WB	GW	CA	SY	PA	GC	CW	ES	AD	HW	WC	SK	WB	SY	FR	
