Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	Tot
Bartel, Jimmy	4	2	-	-	-	1		1	-	1	-	-	1	-			1	-	1	-	2	2	1	17
Brown, Mitch		-				1								1										2
Byrnes, Shannon		-	-			-	-																	
Chapman, Paul	-	-	-	-	-	3	1	1	1	2	-	-		4	1	2	1	4		3	1	4	-	28
Christensen, Allen	-	-	2	-	-	1	-					-	1	1	-		2	-	-		-	-	1	8
Corey, Joel	-	-	1	-	-	1	-	-	-		-	-	-	-	-	-	-			-	2	-	-	4
Duncan, Mitch	-	-	-	1	1	1	2	1	-	-	1	1	2		-	1	2	2	-	-	-	1	3	19
Enright, Corey	-	-	-	-	-	-	-	-	-		-	-	-	-	1	2	-	-	-	-	-	-	-	3
Gillies, Tom			-	-		-	-			-														
Guthrie, Cameron	-	-	1	-	-	-	-	-	-	-	-		-	-	-	-	-		-		-			1
Hawkins, Tom	4	8	4	2	3	4	2	4	2		2	3	4	5	5	6	7	5	1	4	3	5	1	84
Horlin-Smith, George			1	-									1											2
Hunt, Josh				1	-	-	-	-	-	-	-	1		-	-	1	-	-		1	1	-	-	5
Hunt, Taylor	1	-	-	-	1		1	-	-	-	-	-	-	1	-	-	-	1	-	-		-	-	5
Johnson, Steve	-	2	1	3	-	4	1	-	1	5	1	-	3		1	1	-	1	1	1	3	1		30
Kelly, James	-	-	-			-	-	1		-	-	-	-	-	-	-	-	-		1	-	-	-	2
Lonergan, Tom	-	-	-	-	-		-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	1	1	4
Mackie, Andrew	1	-	-	-	1	-	1	-	-	-	-	-	-	2	-	2	1	1	-	-	-	-	1	10
McCarthy, Lincoln										-														
Motlop, Steven	1	-	-	-	-	-	1	1	-		2	-	1	-	1	-	-	-	-	-	-	-	-	7
Murdoch, Jordan													-	-		-			-	2	-	-	-	2
Podsiadly, James	1	4	6	1	-	1	1	2	-	2		1	1					1	2	1	2	1	-	27
Scarlett, Matthew	-				-	-			-	-	-	-	-	-	-	-		-	-	-		-	-	
Schroder, Jordan										-														
Selwood, Joel	-	1	-	-	-		-	1	1	-	-	1	-	1	2	1	-	-	-	-		1	-	9
Sheringham, Jackson															-	-	2	-	-					2
Simpkin, Jonathan									-										-	-			-	
Simpson, Dawson												-		-										
Smedts, Billie	-	-			-	-	-	-		1			-	2	1	2	2	1			-			9
Stephenson, Orren	-		-					-	-	-	-							-	-					
Stokes, Mathew	2	-		-	-			-	3	-	-	2	1	1	1	1	1	-	-	2	1	-	-	15
Stringer, Jesse				-	-	1	-	-	-	1	-													2
Taylor, Harry	-	-	-	-	-	-	-	-	-	8	-	-	3		-	2	-	-	-	-	1	-	1	15
Varcoe, Travis																					-			
Vardy, Nathan																						2	1	3
Walker, Josh															2	3	-	-	-	-	1			6
West, Trent	-	-	-	1	-	-	-	1	-	-	1	-	-	-	3	-	-			1	1	-	-	8
Wojcinski, David											-	-		-					1					1
Totals	14	17	16	9	6	18	10	13	8	20	7	9	19	19	18	24	19	16	6	16	18	18	10	330
Opponent	FR	HW	NM	RI	BL	ME	AD	CW	WB	GW	CA	SY	PA	GC	CW	ES	AD	HW	WC	SK	WB	SY	FR	
