Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Adams, Taylor					-	-	-	-	-	-	-	-		-	-		-	-		-	-	-	
Aylett, Kurt																-							
Brogan, Dean			15	17		5					29	10	28		22			8				8	142
Bruce, Josh					-											-	-						
Bugg, Tomas	-	-	-	-	-	-	-		-	-	-	-	-	-		-	-	-	-		-		
Buntine, Matt								-										-	-	-	-	-	
Cameron, Jeremy	-	-	-		-		-	-	-	-	-	-	-	-	-		-	-	1				1
Clifton, Steve															-	-			-	-		-	
Coniglio, Stephen	-	-	-		1	-	-	-	-	-				-	-			-					1
Cooyou, Rhys																					-		
Cornes, Chad	-	2	1	-			-	1	-	-	-		1	-	-			-	-	-		-	5
Darley, Sam								-	-	-	-	-			-				-	-	-		
Davis, Phil	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	3
Edwards, Shaun				-	-						-	-	-	-	-		-		-	-			
Folau, Israel	7	4	1	-	7		4	-							13	11	10		1	3		4	65
Frost, Sam																1	-	-					1
Giles, Jonathan	26	26	11	24	31	18	13	16	17	23		16	21	22		10	29	26	38	25	27	23	442
Golds, Tim																			-	-			
Greene, Toby	-	-	-		-	-	-	-		-	-	-	-	-	-	-	1	-		-	-	-	1
Hampton, Curtly	-	-	-	-	-	-			-				-	1	-	-	-	-	-	-	-	-	1
Haynes, Nick										-				-	-	-	-			-	-	-	
Hombsch, Jack	-	1	-	-	-	-						-							-			-	1
Hoskin-Elliott, Will	-	-						-								-	1	-	-	-	-	-	1
Kennedy, Adam	-	-	-	-		-	-		-				-	-	-			-	-	-	-	-	
McDonald, James	-			-	-	-			-	-	-	-	-	-						1	-	-	1
Miles, Anthony				-												-	-	-	-	-	1		1
Mohr, Tim	-	1	-	-		-	-	-	-	-	-	-	-	-									1
OhAilpin, Setanta						-																	
Palmer, Rhys	1	-	-	-		-	-	-			-	1	-	-	1	-	1					2	6
Patton, Jonathon											-	-	1	-	-		-	-					1
Phillips, Andrew							9	12	7	7	13			13					8	14	8		91
Power, Luke		-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	
Reid, Sam					-	-		-	-	-													
Schulz, Sam											-												
Scully, Tom		-	-	-	-	-	-	-	-	-	-	-	-		1	-	-	-	-	-		-	1
Shiel, Dylan	-	-	-	-	-	-	-		-	-	-	-	-										
Smith, Devon	-	-	-	-	-	-	-		-	-	-	-	-	-	-		-	-	-	-	-	-	
Sumner, Liam						-	-																
Tomlinson, Adam	-		-	-	-			-					-	-					-		-		
Townsend, Jacob	-	2	-	-	-		-		-	-						-	-	-					2
Treloar, Adam			-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
Tyson, Dom	-	-				-	-	1	-	-										-	-	-	1
Ugle, Gerald																-							
Ward, Callan	3	2	-	-	-	1	2	1	-	1	1	1	1	-	2	3	1	2			3	2	26
Whiley, Mark											-	-				-							
Wilson, Nathan	-	-						-				-	-	-	-	-					-		
Totals	37	38	28	41	39	24	28	31	24	31	46	28	52	36	39	25	43	36	48	43	39	39	795
Opponent	SY	NM	WC	AD	WB	CA	GC	BL	ES	GE	RI	ME	SY	HW	AD	FR	CW	PA	GC	ME	SK	NM	
