Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	Tot
Adams, Leigh	2	-	2	1	3	-	-	-	3	-	-	1	-	1	-	1	2		-					16
Anthony, Liam	1	-	3	3	-	-	1					-	2	1	-	-	-	-	2	-	-	-	-	13
Atley, Shaun	1	2	1	1	1	1	-	-	1	1	1	-	-	1	-	1	-	1	1	1	1	2	-	18
Bastinac, Ryan	3	-	-	-	-	1	-	1	-	-	-	1	-	-	-	-	-	1	-	-	-	1	-	8
Black, Aaron									-	-	-													
Campbell, Matt	1	-	-	-									-	-	-	-	1	2	-	-	-	2	1	7
Cunnington, Ben	1	3	-	1	-	-	-	-	-	-	1	-				-	1	-	-	-	1	2	1	11
Delaney, Cameron		1					-	-	-	-														1
Delaney, Luke			-	-	-	1	-	1	1	3			-	-						-	1	-		7
Edwards, Aaron	1	1	1	-	1	2	-		1	1														8
Firrito, Michael	-	1	3	-	2	1	-	-	-	-	-	-	4	2	-	1	-	1	-	-	-	-	-	15
Garlett, Cruize									-	2								1	2	1	1	1		8
Gibson, Sam											1	1	-	-	-	-	1	1	1	-	1	1	2	9
Goldstein, Todd	-	-	1	1			-	1	1	2	-	-	-	1	1	2	2	-	-	2	1	1	1	17
Greenwood, Levi					-			1	2	1	-													4
Grima, Nathan								-	-	1	1	1	-	-	-	-	1	-	-				-	4
Hansen, Lachlan												2	-	-	-	2	-	-	1	1	-	-	1	7
Harper, Kieran	4	-	-	-	-	1	-	1	2	-	-	-	1	-	-	2	1	1	1	1	2	-	1	18
Harvey, Brent	-	1	1	1	1	-	1	1	2	-	3	-	3	1	-	1	-	1	-	-	2	1	-	20
Macmillan, Jamie	-	1	-	-	1	-	1	-	1	-	-	-	2	-	-	-	-	-	2	-	1	-	1	10
McIntosh, Hamish	1	-	1	2	2	1	-																	7
McKenzie, Brad							-	-																
McMahon, Scott	-	2	-	1							-	2	1	2	1	-	-	2	1	-	-	-	1	13
Mullett, Aaron	1	-			-	-												-				-		1
Pedersen, Cameron						1		1																2
Petrie, Drew	5	3	-	-	4	1	2	1	-	1	1	1	1	2	3	4	1	2	1	1	1	1	1	37
Swallow, Andrew	1	6	1	3	1	2	2	4	1	-	1	1	-	6	3	3	5	2	3	1	6	1	4	57
Tarrant, Robbie	-				2	1					2	-	-	-	2	1	3	-	2	-	4	2	-	19
Thomas, Lindsay	1	-	1	2	2	-	2	1			2	1	-	1	2	2	1			2	-	3	2	25
Thompson, Scott	3	2	-	2	1	-	1	-	1	-	-	-			-	2	-	1	1	1	-	3	2	20
Warren, Ben								-																
Wells, Daniel	-	-	-	2	-	1	-	1	-	1	-	1	-	2	1	-	2	-	-				-	11
Wright, Sam	-	-	-	-	-	-	2		2	2	-	2	-	-	-	-	1	-	-	2	-		1	12
Ziebell, Jack			1	2	-	1	2	-	-	-	1	2	-	2	3					1	2	-	2	19
Totals	26	23	16	22	21	15	14	14	18	15	14	16	14	22	16	22	22	16	18	14	24	21	21	424
Opponent	ES	GW	GE	SY	GC	WC	WB	PA	BL	HW	GC	AD	SK	WC	CA	RI	ME	WB	ES	CW	FR	GW	WC	
