Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Blee, Nathan																			-	-	-	1	1
Boak, Travis	2	-	-	3	-	1	2	1	1	1				2	2	1	1	1	1		1	3	23
Broadbent, Matthew	1	5	2	1	4	3	-	3	-	2	1	1	2	1	3	2	1	2	2	-	2	4	42
Butcher, John	-			-	-	-	-	-					-	-									
Carlile, Alipate	2	-	3	1	3	3	3	2	1	3	4		5	4	6	4	2	1		4	5	3	59
Cassisi, Domenic	1	2	-	1	3	2	4	4	1	1	4	4				2	2	2	1	1	5	1	41
Chaplin, Troy	-	4	5	-	10	7	7	3	2	6	2	6	6	5	2	4	1		1				71
Cornes, Kane	1	3	2	3	2	2	1	-	3	3	4	2	3	1	2	3	1	3	4	3	-	4	50
Ebert, Brad	2	5	3	1	-	5	1	3	1	1	1	2	2	-	1	2	1	5	2	-	5	2	45
Ebert, Brett							-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1
Gray, Robbie			1	-																			1
Hartlett, Hamish	2	2	3	3	4	6	1	5	3	2	1	1						2	6			2	43
Hitchcock, Cameron						-					-												
Jacobs, Ben	1	4	3	-	-	-	-	1	4	2	1	-	1	-									17
Jonas, Tom													2	4	-	4	-	-		-	2	3	15
Lobbe, Matthew													1	1	1	1	-	-	-	-	-		4
Logan, Tom						2	2					1	3	1	3	1	-	1	3		1	2	20
McCarthy, John	2	1	1	1	3	1	4	2	1		3	5	3	1	-	5	2	-	-	3	1	-	39
Moore, Andrew										-	2	-	-	1	-	-	2	1	-	1			7
OShea, Cameron	3	1	-										2										6
Pearce, Danyle	1	7	-	6	2			12	5	5	2	9	5	2	6	5	7	4	5	4	-	-	87
Pfeiffer, Darren				-	2	1		1	3	1	3	4	1	7	2		3		2	1	2	2	35
Phillips, Simon							-																
Pittard, Jasper																-							
Redden, Jarrad	1	-	1							-	-	-			-				3			-	5
Renouf, Brent				-	-	-	-	1	-	-	1	1	-										3
Rodan, David	-	4			-	-	-						3						1	2	-	-	10
Schulz, Jay	-	-	-	-	-			-	-	-	-	-						-	-	-	-	-	
Stewart, Daniel	-	-	1	-		-	2		-						-	2	-	-		-			5
Stewart, Paul	3	-	1	3	-	1	1	-	-	1	1	3	-	1	-	-	-	-	-	-	-		15
Surjan, Jacob	3	-	2	4	4	1	1	2	-	1	2	-		1									21
Thomas, Matt	2	1	-					2	-	-		-			-	1	-	2	1	1	-	1	11
Trengove, Jackson		3	6	-	-	1	4	2	4	3	-	1		1	3	4	1	2	2	5	1	-	43
Westhoff, Justin	-	-	1	-	2	2	1	-	-	-	1	1	-	-	-	2	-	1	-	3	1	-	15
Wingard, Chad	-	-	-	1	-			-	3	-	-	-	-	-	1	2	2	-		1	4	1	15
Young, Aaron					-	-	2						-	-	-	-	-	-		-	-	1	3
Totals	27	42	35	28	39	38	36	44	32	32	33	41	39	33	32	46	26	27	34	29	30	30	753
Opponent	SK	ES	SY	CW	AD	RI	FR	NM	GC	CA	HW	WB	GE	AD	ES	ME	FR	GW	HW	WC	BL	RI	
