Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Blee, Nathan																			4	5	2	7	18
Boak, Travis	7	14	13	18	15	17	12	7	15	11				11	17	15	11	11	17		4	14	229
Broadbent, Matthew	11	11	14	12	10	11	7	10	12	13	15	17	12	7	18	9	11	16	9	14	12	15	266
Butcher, John	4			4	6	4	3	-					4	-									25
Carlile, Alipate	6	5	11	9	8	2	11	5	6	3	3		6	6	11	12	11	10		6	7	6	144
Cassisi, Domenic	13	12	10	10	6	10	10	13	8	5	9	7				14	10	12	9	15	12	13	198
Chaplin, Troy	6	3	14	6	16	10	16	8	10	11	4	11	10	17	6	10	7		4				169
Cornes, Kane	21	22	15	31	20	10	20	9	15	21	21	17	13	11	18	17	24	23	17	20	17	27	409
Ebert, Brad	13	10	16	15	13	15	17	9	22	9	16	13	13	10	18	15	11	10	18	13	13	16	305
Ebert, Brett							2	8	6	9	8	6	3	4	10	7	5	4	7	7	5	12	103
Gray, Robbie			7	10																			17
Hartlett, Hamish	16	9	13	14	7	16	6	12	13	12	6	8						14	8			9	163
Hitchcock, Cameron						1					3												4
Jacobs, Ben	6	12	12	11	9	12	14	11	13	15	8	13	11	2									149
Jonas, Tom													5	8	2	9	9	13		6	5	5	62
Lobbe, Matthew													1	6	3	7	5	5	2	5	3		37
Logan, Tom						9	15					4	7	5	13	10	8	7	14		7	15	114
McCarthy, John	16	15	15	25	13	12	26	15	13		11	15	20	9	14	5	9	14	4	14	6	6	277
Moore, Andrew										-	12	6	8	10	10	6	11	9	6	8			86
OShea, Cameron	10	5	3										7										25
Pearce, Danyle	6	17	10	17	14			20	18	7	6	9	18	10	17	21	14	13	14	22	6	14	273
Pfeiffer, Darren				14	11	8		10	4	4	8	13	2	7	16		12		5	8	7	3	132
Phillips, Simon							3																3
Pittard, Jasper																2							2
Redden, Jarrad	4	6	11							6	4	5			7				3			1	47
Renouf, Brent				3	3	8	6	4	6	2	2	3	2										39
Rodan, David	2	11			7	6	6						9						11	10	5	8	75
Schulz, Jay	4	5	6	5	3			10	8	8	7	8						1	8	6	7	10	96
Stewart, Daniel	4	1	8	6		2	3		1						8	2	4	5		4			48
Stewart, Paul	5	11	13	11	5	7	11	5	7	10	3	10	5	8	11	8	6	9	9	4	10		168
Surjan, Jacob	9	7	6	13	5	8	10	10	9	2	4	5		5									93
Thomas, Matt	4	3	7					9	8	8		3			8	5	9	15	9	8	3	9	108
Trengove, Jackson		8	17	11	9	6	13	4	11	11	5	4		5	14	7	7	10	7	10	1	6	166
Westhoff, Justin	5	9	15	11	9	13	7	5	7	6	9	11	3	8	11	14	12	12	11	17	4	10	209
Wingard, Chad	7	3	7	5	7			3	7	8	4	4	6	5	4	11	13	9		9	15	7	134
Young, Aaron					3	5	6						4	4	7	2	3	-		11	6	9	60
Totals	179	199	243	261	199	192	224	187	219	181	168	192	169	158	243	208	212	222	196	222	157	222	4453
Opponent	SK	ES	SY	CW	AD	RI	FR	NM	GC	CA	HW	WB	GE	AD	ES	ME	FR	GW	HW	WC	BL	RI	
