Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Astbury, David																					84	94	89.2/209:10
Batchelor, Jake		96	96	95	87	93	68	97		89	87	70		82	62						85	81	84.9/1419:10
Conca, Reece	37	77	84	77	75	78	77	81	80	82	75	74		81	86	81	87	76	68				76.5/1671:40
Connors, Daniel												86	43										64.6/159:54
Cotchin, Trent	85	84	84	84	90	90	86	84	81	84	88	86	81	86	72	82	84	81	84	86	81	83	83.9/2234:47
Dea, Matt					75	78	80	78	91		84	90	80	89	84	83	82				78	77	82.1/1392:15
Deledio, Brett	84	89	86	85	81	84	89	92	88	90	91	89	92	83	92	86	92	89	89	87	86	86	87.7/2336:55
Derickx, Tom														85	88								86.5/209:34
Edwards, Shane	84	89	84			28	79	82	83	78	89	80	85	82	82	82	79	73	80	85	82	82	79.5/1924:26
Ellis, Brandon	69	73	72	66	50	78	15	51	59	68	69	76	72	74	75	73	78	81	79	78		84	68.7/1753:43
Elton, Todd													82										82.0/100:20
Foley, Nathan	73	74	73	72	77	79	72	71	75	57													72.3/865:19
Graham, Angus															93								93.0/110:41
Griffiths, Ben									73	87	66	94	91	59				64	88	30			72.4/798:17
Grigg, Shaun	87	87	84	83	86	91	82	81	87	85	85	87	79	83	87	81	80	79	83	81	80	84	83.7/2228:10
Grimes, Dylan	91	96	98	100	99	97	89	32					76										86.3/926:12
Helbig, Brad																		25	19	73	78	12	40.9/246:39
Houli, Bachar	85	87	84	83	83	83	89	84	86	75	88	85	77	91	87	76	82	88	83	89	89	88	84.6/2252:48
Jackson, Daniel	85	78	84	86	86		81	79	84	89	88	85	84			79	57	87	83	82	84	86	82.4/1898:11
King, Jake		49				77	88	91	79	86		84	44				85	85	81	82			77.8/1133:37
Maric, Addam	91		18	55					21	23	73			25	81	55	25						46.2/568:33
Maric, Ivan	82	86	81	97	92	97	91	94	93	88	99	91	89	91		87	94	94	88	89	97	95	91.2/2320:33
Martin, Dustin	89	73	80	72	91	84	87	85	86	87	79	80	79			86	80	82	84	75	80	48	80.4/1946:35
McGuane, Luke														98	99	91	91	97	94	89	97	91	94.0/1034:50
Miller, Brad	88	94	97	98	82	98	91	94				89	89										92.0/1101:58
Moore, Kelvin															90	82	81						84.2/315:28
Morris, Steven	79	89	80	87	80	82	90	83	89	94	87		91	72	92	87	79	80	82	80	90	83	84.5/2145:55
Nahas, Robin	84	39	94	92	96	88	92	93	97	92	89	88	98	98	94	91	90	92	88	95	93	94	90.0/2397:58
Newman, Chris	82	88	81	80	82	70	86	79	84	84	86	78	87	82	68	88	83	85	86	87	77	83	82.1/2187:31
OHanlon, Brett											24	18		72	53	32				61	49	67	46.9/454:35
Post, Jayden	100															96	93	79	69	91	86	99	89.2/873:01
Rance, Alex	98	96	100	100	94	100	100	98	96	93	97	93	94	98	95	98	97	98	97	96	94	100	96.9/2580:59
Riewoldt, Jack	96	93	94	100	92	97	92	97	96	96	89	94	96	96	100	98	96	98	97	100	98	100	96.2/2560:46
Tuck, Shane	49	78	79	71	84	77	77	77	84	85	86	82	91	83	83	86	83	82	90	86	84	83	81.0/2155:17
Vickery, Ty	83	84	67	82	83	52			89	88	82												78.9/853:20
Webberley, Jeromey															35								35.0/41:17
White, Matt				35	36									89				85	88	77	27		63.0/531:58
Totals																							
Opponent	CA	CW	ME	GE	WC	PA	SY	ES	HW	SK	FR	GW	AD	ME	GC	NM	CA	BL	WB	FR	ES	PA	
