Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Astbury, David																					2	3	5
Batchelor, Jake		9	6	6	8	5	3	9		5	3	1		4	1						6	4	70
Conca, Reece	2	9	8	5	1	5	4	7	3	3	1	3		1	3	2	4	7	5				73
Connors, Daniel												6	1										7
Cotchin, Trent	1	4	5	3	6	2	2	7	5	1	6	1	3	2	10	3	4	3	7	1	10	6	92
Dea, Matt					-	4	3	3	6		5	4	8	4	4	4	3				4	1	53
Deledio, Brett	5	5	7	4	8	3	5	7	7	6	1	3	7	5	8	6	3	6	4	1	4	5	110
Derickx, Tom														-	2								2
Edwards, Shane	-	2	-			-	4	4	5	2	-	1	1	4	2	7	1	4	4	2	3	3	49
Ellis, Brandon	2	5	5	3	2	3	-	2	2	3	3	4	3	2	12	5	1	5	5	5		8	80
Elton, Todd													2										2
Foley, Nathan	3	3	6	4	7	1	1	6	4	3													38
Graham, Angus															3								3
Griffiths, Ben									-	2	2	1	7	1				4	2	2			21
Grigg, Shaun	2	8	12	5	8	4	7	9	3	9	2	2	5	6	8	6	2	9	11	6	4	5	133
Grimes, Dylan	2	12	9	6	7	5	13	3					10										67
Helbig, Brad																		1	3	4	4	-	12
Houli, Bachar	5	9	7	5	5	1	5	4	6	4	5	3	3	6	10	3	3	7	7	3	5	4	110
Jackson, Daniel	4	4	7	1	6		10	3	1	3	1	2	7			4	3	4	7	3	1	3	74
King, Jake		1				3	4	2	3	5		3	4				2	7	6	6			46
Maric, Addam	2		-	-					2	1	2			2	3	3	-						15
Maric, Ivan	5	4	3	1	6	5	4	9	5	7	2	4	8	4		2	2	3	6	4	7	1	92
Martin, Dustin	2	4	2	5	3	7	2	2	3	-	1	2	4			3	1	-	6	2	10	4	63
McGuane, Luke														4	4	2	2	1	5	2	5	6	31
Miller, Brad	5	5	4	3	5	4	8	5				4	4										47
Moore, Kelvin															11	5	2						18
Morris, Steven	1	5	3	1	2	5	6	3	3	4	1		1	4	6	4	2	3	7	6	6	5	78
Nahas, Robin	1	3	4	2	2	3	5	3	4	2	3	1	3	3	1	1	1	3	2	4	4	3	58
Newman, Chris	3	15	4	7	7	6	5	3	7	6	4	1	6	5	4	1	1	2	10	5	7	5	114
OHanlon, Brett											2	-		5	5	1				1	5	2	21
Post, Jayden	3															4	4	3	4	8	6	6	38
Rance, Alex	3	17	9	4	6	4	12	4	7	6	1	2	2	4	10	9	3	7	8	3	7	8	136
Riewoldt, Jack	3	2	6	3	5	6	5	2	7	9	3	1	3	7	6	6	4	8	9	2	10	7	114
Tuck, Shane	3	5	6	5	2	5	6	7	8	3	3	4	6	7	4	4	3	1	7	9	11	8	117
Vickery, Ty	1	2	1	2	6	2			2	3	2												21
Webberley, Jeromey															1								1
White, Matt				-	2									3				5	2	3	1		16
Totals	58	133	114	75	104	83	114	104	93	87	53	53	98	83	118	85	51	93	127	82	122	97	2027
Opponent	CA	CW	ME	GE	WC	PA	SY	ES	HW	SK	FR	GW	AD	ME	GC	NM	CA	BL	WB	FR	ES	PA	
