Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Astbury, David																					2	4	6
Batchelor, Jake		11	10	18	11	12	9	9		16	6	3		5	6						14	10	140
Conca, Reece	3	16	20	12	10	13	9	10	11	12	10	13		11	14	11	12	17	12				216
Connors, Daniel												8	3										11
Cotchin, Trent	15	18	12	11	15	10	16	17	19	18	11	10	16	14	21	9	13	7	22	19	19	16	328
Dea, Matt					1	13	8	6	12		8	8	13	7	9	6	7				9	2	109
Deledio, Brett	14	20	21	23	18	13	17	26	19	18	5	11	11	17	25	18	14	22	22	8	25	13	380
Derickx, Tom														1	3								4
Edwards, Shane	4	10	7			4	12	10	10	10	6	5	12	10	9	9	8	13	12	6	10	7	174
Ellis, Brandon	7	16	11	14	7	13	2	8	12	14	13	12	6	11	21	13	16	12	11	11		15	245
Elton, Todd													2										2
Foley, Nathan	13	10	22	10	13	12	9	11	15	17													132
Graham, Angus															4								4
Griffiths, Ben									9	5	6	2	13	7				4	4	3			53
Grigg, Shaun	15	20	27	22	20	19	21	24	18	21	13	10	19	28	14	18	13	19	22	17	17	14	411
Grimes, Dylan	5	19	12	11	9	14	21	6					14										111
Helbig, Brad																		3	4	9	8	1	25
Houli, Bachar	14	19	23	15	15	15	18	12	14	11	10	17	10	17	19	9	8	15	21	13	21	15	331
Jackson, Daniel	12	14	15	9	9		17	17	12	10	6	5	22			22	11	9	11	10	9	13	233
King, Jake		3				5	8	5	7	7		6	5				6	8	12	8			80
Maric, Addam	7		2	5					6	4	10			3	16	6	2						61
Maric, Ivan	8	7	7	5	7	13	11	10	7	12	4	6	6	9		6	3	5	9	7	8	5	155
Martin, Dustin	8	16	15	15	17	17	14	16	17	13	15	11	19			14	9	15	22	12	18	8	291
McGuane, Luke														5	6	7	2	3	7	7	6	3	46
Miller, Brad	5	6	7	3	5	6	6	8				6	6										58
Moore, Kelvin															16	8	3						27
Morris, Steven	7	18	13	8	4	13	14	4	8	16	7		12	11	10	16	4	9	8	9	13	15	219
Nahas, Robin	5	11	16	12	7	12	9	8	9	7	4	5	11	10	6	6	3	8	6	11	11	10	187
Newman, Chris	9	21	14	13	14	8	16	5	15	11	11	1	4	12	6	8	2	5	17	14	14	8	228
OHanlon, Brett											7	1		8	10	1				6	12	6	51
Post, Jayden	5															6	3	8	4	11	11	11	59
Rance, Alex	8	22	13	11	8	14	20	9	15	13	6	6	3	8	13	19	5	11	12	7	10	13	246
Riewoldt, Jack	4	10	8	3	5	7	5	1	8	10	5	3	2	7	6	8	5	5	12	7	11	5	137
Tuck, Shane	9	13	16	14	10	13	11	14	15	15	13	7	13	10	11	10	9	11	15	18	22	16	285
Vickery, Ty	3	4	2	4	8	4			2	11	6												44
Webberley, Jeromey															1								1
White, Matt				-	3									10				8	7	14	3		45
Totals	180	304	293	238	216	250	273	236	260	271	182	156	222	221	246	230	158	217	272	227	273	210	5135
Opponent	CA	CW	ME	GE	WC	PA	SY	ES	HW	SK	FR	GW	AD	ME	GC	NM	CA	BL	WB	FR	ES	PA	
