Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	Tot
Brennan, Jacob						-	-	-	-	1	-	1	1	-	1	-			-	-		-	-	-	4
Brown, Mitch			-		-		-					-	-		-			-				-			
Butler, Sam					-	-	-	-	-					1	-	-	-	-			2	-	-	-	3
Cox, Dean	-	2	1	1	1	-	1	-	1	-	1	-	-	1	1	-	1	1	-	-	-	1	1	-	14
Dalziell, Bradd			-																	1					1
Darling, Jack	2	2	-	2	-	2	-	1	1	2	2	-	-	-	1	2	1	-	-	2	2	1	2	-	25
Embley, Andrew	-	-																	-	-	-	2	-	-	2
Gaff, Andrew	1	-	-	-	1	1	-	-	2	-	-	-	3	-	-	-	2	1	1	-	-	-	-	1	13
Glass, Darren	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	
Hams, Ashton	-	-	2	1	-	2				-	3	1	1	-		1	1	-	1	-					13
Hill, Josh	-	2	1	1	-	1	-	2	4	1	3	-	1	1			1	1	-	1	-	-	1	2	23
Hurn, Shannon	-	-	-	-	-	-	2	1	1	-	1	-	-	-	-	-	-	1	-	1	-	-	-	-	7
Kennedy, Josh	1	4	1	3	1																1	1	2	-	14
Kerr, Daniel	-	-	-	2	-	-	-	-	1	-	-	-	-	2	-	-	-	-	-	-	1	-	1	1	8
Lycett, Scott						-	1																		1
Lynch, Quinten	1	-	1	2	1	2	-	1	3	-	-	1	2	3		-	1	-	-	2			-	-	20
Mackenzie, Eric	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
Masten, Chris	-	1	-	-	-	2	1	1	1	-	-	-	-	-	-	-	-	1	-	-	1	-	1	-	9
McGinnity, Patrick			-	-		2	-	-	1	1	-	-	-	-	-	2	-	1	-	-	-	-	-	-	7
Naitanui, Nic	-	1	-	-	-			-	1	-	2	2	1	1	-	1	-	-	1	-	3	-	1	-	14
Neates, Ryan							-																		
Newman, Murray													2	-	1	1									4
Priddis, Matt	-	-		-	-	1	-		-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	3
Rosa, Matt	-	-		-	-	1	-	-	-	-	2	-	-	1	-	1	-				1			-	6
Schofield, Will	-	-	1	-	-			-	-	-	-			1	2	1	-	-	-	-	-	-	1	1	7
Selwood, Adam	-	-	-	-	-	-		1	-	-	-				-	-	-	-	-	-	-	-	-	-	1
Selwood, Scott	-	-	2	1	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	1	-	-	-	1	7
Sheppard, Brad						-	-	-	1	-	1	-	1		-	-	-	-							3
Shuey, Luke	1	1	1	1	-	2	1	2	-		1	1	1	1			-	1	-	2	3	-	3	-	22
Smith, Ashley	-	-	-	-	-																				
Stevens, Koby			-					-						-	-										
Strijk, Andrew																					-	1			1
Swift, Tom										-	-	-			1			-	1						2
Waters, Beau	-	-	-	-	-	-	2	1	-	-		-	1			-	-	-	-	-	-	-	-		4
Totals	6	13	10	14	4	16	8	11	17	5	16	6	15	13	7	9	7	7	4	10	14	7	13	6	238
Opponent	WB	ME	GW	HW	RI	NM	ES	SK	FR	BL	CA	CW	GC	NM	SY	AD	BL	FR	GE	PA	CW	HW	NM	CW	
