Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	Tot
Brennan, Jacob						2	2	3	-	2	-	1	2	1	2	3			2	1		1	2	1	25
Brown, Mitch			2		-		1					1	1		1			1				-			7
Butler, Sam					1	2	2	3	3					1	4	3	1	1			3	4	4	3	35
Cox, Dean	-	1	-	-	-	1	4	1	1	-	-	1	-	3	1	2	2	2	2	3	-	1	1	1	27
Dalziell, Bradd			-																	1					1
Darling, Jack	1	-	-	2	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	4
Embley, Andrew	-	-																	-	1	1	1	-	7	10
Gaff, Andrew	2	1	3	5	3	1	4	3	-	3	2	1	1	1	6	3	1	2	3	2	1	1	1	1	51
Glass, Darren	1	1		1	3	-	3	2	1	1	3	-	-	2	2	-	1		5	3	1	-	5	1	36
Hams, Ashton	-	-	-	-	-	1				1	-	-	-	-		-	1	-	-	-					3
Hill, Josh	-	-	1	-	-	-	-	-	-	-	-	-	-	-			-	-	-	1	-	-	-	-	2
Hurn, Shannon	5	4	3	3	4	5	3	-	2	1	4	4	1	3	4	3	1	2	3	-	4	1	6	5	71
Kennedy, Josh	-	-	-	-	-																-	-	-	-	
Kerr, Daniel	-	-	1	3	1	-	3	-	1	1	1	2	2	3	4	2	-	2	2	-	1	2	2	5	38
Lycett, Scott						-	-																		
Lynch, Quinten	-	-	-	-	-	-	1	-	-	1	-	-	-	1		-	-	-	-	2			-	-	5
Mackenzie, Eric	3	1	1	3		3	2	3	2	3	2	2	-	1	4	3	2	1	1	1	2		2	3	45
Masten, Chris	1	-	1	1	-	-	1	1	1	3	-	1	3	1	1	-	-	1	-	2	-	4	1	2	25
McGinnity, Patrick			1	1		-	-	2	-	-	-	-	-	1	-	-	-	2	2	3	1	1	-	-	14
Naitanui, Nic	1	1	-	4	-			1	1	-	2	-	-	-	-	1	1	2	-	-	1	-	-	1	16
Neates, Ryan							1																		1
Newman, Murray													-	-	-	1									1
Priddis, Matt	8	-		2	4	1	-		1	1	5	2	2	1	1	1	-	2	-	1	-	1	3	1	37
Rosa, Matt	2	2		1	-	1	3	-	3	3	1	1	4	2	3	2	1				-			3	32
Schofield, Will	5	1	4	2	2			4	1	2	1			3	2	2	2	3	1	-	1	-	-	3	39
Selwood, Adam	3	3	4	1	-	1		-	1	1	2				3	1	1	5	6	-	2	5	-	2	41
Selwood, Scott	2	3	2	3	-	-	1	2	1	-	3	-	-	2	3	-	1	1	1	1	1	5	1	-	33
Sheppard, Brad						-	3	1	-	3	1	1	2		-	-	-	-							11
Shuey, Luke	-	-	3	4	-	-	4	1	2		3	1	2	2			2	1	2	4	-	3	-	3	37
Smith, Ashley	-	3	2	3	3																				11
Stevens, Koby			1					1						1	1										4
Strijk, Andrew																					-	-			
Swift, Tom										2	-	-			1			-	-						3
Waters, Beau	2	-	1	6	1	5	3	3	3	4		6	1			1	4	2	2	9	4	4	-		61
Totals	36	21	30	45	22	23	41	31	24	32	31	24	21	29	43	28	21	30	32	35	23	34	28	42	726
Opponent	WB	ME	GW	HW	RI	NM	ES	SK	FR	BL	CA	CW	GC	NM	SY	AD	BL	FR	GE	PA	CW	HW	NM	CW	
