Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Addison, Dylan						87	84		90	79	89				97	87	84	95	54	90	84		85.0/1252:59
Austin, Mark					94	92	97												95	92	91	65	89.5/775:03
Boyd, Matthew				78	84	87	89	87	90		81	88	87				79			77	77	79	83.3/1309:09
Campbell, Tom			90															88	86	93	90	86	88.9/662:15
Cooney, Adam	83	92	87	84	85	78	85	81			80	87	92	86	86	89	84	90	79	78		79	84.5/1947:34
Cordy, Ayce	82	82		86									93	87									86.0/531:12
Cross, Daniel	84	88	85	89	90	89	38	95										93	93	89	82	82	84.2/1336:27
Dahlhaus, Luke	80	83	88	83	85	83	73	78	84	87	84	81	82	84	83	75	86	73	85	83	83	86	82.2/2199:10
Dickson, Tory	82	86	74										79	83	83	80	78	82	81	83	77	85	81.0/1299:14
Giansiracusa, Daniel	83	83	87	54			82	81	42	59	45	32	85	80	85	86	74	37	80	79	83	79	71.0/1728:03
Goodes, Brett	89	82	87	90	84			89	92	88	81	81		91	90	64							85.3/1326:51
Grant, Jarrad															81	91	79	85	87	88	91	84	85.8/846:10
Griffen, Ryan	81	84	81	57			81	78	87	83	86	86	87	82	86	91	85	91	85	84	85	85	83.3/2028:28
Higgins, Shaun	84	84	74																				80.7/294:42
Howard, Christian						84																	84.0/104:07
Hrovat, Nathan									77	79		51	72	41	74	52							63.7/542:59
Hunter, Lachie												79	30		35	29	75	80		33	77	80	57.5/633:29
Johannisen, Jason	77	82		89	85	86	76	85	89	79	85	84	81	41									79.6/1250:50
Jones, Liam	88	93	96	98	93	91	95	91	90	86	90	87	61	80	91	87	90		90			83	88.3/2028:30
Liberatore, Tom	86	87	83	80	83	83	84	81	78	86	82	82	84	90	82	83	83	82	84	80	85	82	83.2/2226:46
Lower, Nick	83	79	77	98	78	83	81	90	78	83	92	86	85										84.0/1310:37
Macrae, Jack				67	30	77		72	79	82	74	83	78	78		76	11	35					64.8/1012:17
Markovic, Lukas							93	86			87	82											87.1/409:21
Minson, Will	93	84	94	87	87	93	90	94	90	91	88	92	92	94	89	92	94	82	92	93	85	94	90.4/2419:59
Morris, Dale	95	95	98	96	97	97	94	99	94	96	90	96	97	98	99	93	98	99	94	91	98	93	95.8/2562:45
Murphy, Robert	87	86	91				84	87	90	90	89	88	94	88	88	91	91	91	87	87	82	88	88.3/2046:02
Picken, Liam	91	93	91	88	89	87	82	87	89	92	43	87			87	93	87	91	90	83	72	95	85.9/2079:27
Roughead, Jordan	92	88	99	94	93	87	100	97	91	94	93	94	93	95	88	96	94	98	96	94	93	93	93.7/2507:46
Smith, Clay	24	84	64		85	89	87	27	84	88	83	82	88	85	79								75.2/1272:04
Stevens, Koby	63	29	72	85	74	77		80	67	75	78			80	75	83	75	65	81	78	67	29	70.1/1618:15
Stringer, Jake				39	80	47		76	45	84	87	83	74	79									69.2/829:08
Talia, Michael										93	94	91	92	99	96	96	92	95					94.3/1028:39
Tutt, Jason				88	90	85	43							84	76	78	83	79	30		21		68.4/925:05
Veszpremi, Patrick					52																		52.0/60:00
Wallis, Mitch	81	55	81	78	77	28	76			78			75	75	49	87	89	85	78	90	85	86	75.1/1659:34
Williams, Tom									86	26													56.5/137:04
Wood, Easton			8																70	80	80	77	63.6/394:00
Young, Tom	92	81	92	92	86	90	89	89	88								89	84	84	54	91	90	86.0/1574:52
Totals																							
Opponent	BL	FR	RI	AD	GE	WC	NM	GC	SK	PA	CW	RI	ME	GW	ES	HW	WC	SY	CA	AD	BL	ME	
