Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	Tot
Ball, Luke								-	-	-	-		-	-	-	-		-	-	-	-		-	
Beams, Dayne															-	-	-	-	-	-		-	-	
Blair, Jarryd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	
Brown, Nathan	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	1
Clarke, Martin	-	-	-	-	-	-	-		-	-														
Cloke, Travis	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	1	-	-	-	-	1
Didak, Alan										-	-										-	-	-	
Dwyer, Sam	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	
Elliott, Jamie	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-			-	
Fasolo, Alex			-	-	-																			
Frost, Jack	-		-																					
Goldsack, Tyson	-	-	-		-	-										-	-	-	-	-	-	-	-	
Grundy, Brodie																	12	19	21	28	23	23	25	151
Hudson, Ben			25	20	12								24	25	20	21								147
Johnson, Ben	-	-	-																					
Jolly, Darren	22	-				22	31	26	26	40	14	28												209
Keeffe, Lachlan																-	-	-	-	-	-	-	1	1
Kennedy, Ben						-	-	-	-	-	-	-	-	-			-				-	-		
Krakouer, Andrew						-	-	-	-	-				-	-	-								
Lumumba, Heritier	-	-	-	-	-	-	-	-	-	-	-	-	-				-	1	-	-	-		-	1
Lynch, Quinten	4	19	12	6	8	8	7	1	3	11	6	9	3					7	10	9	4	2		129
Macaffer, Brent	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Martin, Kyle										-	-	-	-											
Maxwell, Nick	-	-					-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2
Mooney, Caolan							-									-								
Oxley, Adam											-	-												
Pendlebury, Scott	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Reid, Ben	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	
Russell, Jordan	-	-	-	-	-			-	-				-									-		
Seedsman, Paul		-		-	-	-	-	-	-	-	-	-	-	-	-	-					-	-	-	
Shaw, Heath		-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Sidebottom, Steele	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	2
Sinclair, Ben	-	-	-	-	-						-	-	-	-	-	-	-	-	-	-				
Swan, Dane	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Thomas, Dale			-	-	-	-	-																	
Thomas, Josh	-			-		-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Toovey, Alan	-	-	-	-	-																			
Williams, Marley								-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Witts, Jarrod						5		7	4					16	8	19	15							74
Young, Clinton														-	-									
Totals	26	21	37	26	21	35	38	34	33	51	20	37	28	41	28	40	27	27	32	37	28	27	26	720
Opponent	NM	CA	HW	RI	ES	SK	FR	GE	SY	BL	ME	WB	PA	CA	AD	GC	GW	ES	SY	HW	WC	NM	PA	
