Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Baguley, Mark	1	2		3	2	2	2	2	1	3	1	-	1	1	2	1	1	-	-	-	1	1	27
Bellchambers, Tom	1	2	1	2	4	2	1	1	1	-			1	1	3	2	1	-	1	2			26
Carlisle, Jake	-	2	-	2	-		1	2	1	-	-	-	-	-	1	2	-	-	-	1	-	1	13
Colyer, Travis			-		-									-	-	-	-	-					
Crameri, Stewart	-	1	-		-	2	1	-	-	1	-	3	-			1				2	-	-	11
Dalgleish, Lauchlan																				-	1	-	1
Daniher, Joe											1	1					-			1	2		5
Davey, Alwyn	1	1	1	-	-	1	-				-	-	-						-	-	-	-	4
DellOlio, Cory																3	-	-					3
Dempsey, Courtenay	1	1	-	2	-	-			2	-			-	3	-	-	-	-					9
Fletcher, Dustin	-	-	-				-	-	-	-	-			-	-	-		-	-				
Goddard, Brendon	1	1	1	2	-	1	-	-	-	-	-	1	1	1	1	1	-	-	-	1	1	-	13
Gumbleton, Scott				2	1	1	-			-								-	-				4
Hams, Will										-	-												
Hardingham, Kyle					-	-	-											-	-	-	-	-	
Heppell, Dyson	2	1	1	-	-		1	-	1	-	-	-	-	1	1	4	-	5	-	1			18
Hibberd, Michael	1	-	2	2	-	1	-	1	2	1	1	-	1	-	-	1	-	-	1	-	1	2	17
Hille, David				2	1	1																2	6
Hocking, Heath	3	1	-	1	-	-	1	2	-	-	-	1					-	1	-	2	2		14
Hooker, Cale	1	1	1	-	-	-	1	-	2	-	-	1	-	1	1	1	2	-	2	-	-	1	15
Howlett, Ben	3	3	-	-	2	1	1	2	-		-	-	1	-	-		-		1	-	-	-	14
Hurley, Michael	3	1	-	1			2	1	-		-	-	-	1	-	1	1				-	-	11
Jetta, Leroy						1			1	-						1	1	-		-		-	4
Kavanagh, Elliott			-					-														1	1
Kommer, Nick	4	-	1			1	2	2	-	1	-	-	2	-	2	2	-	1	-	-	1		19
Lovett-Murray, Nathan							-									-						-	
Melksham, Jake	-	-	-	-		1	-	-	-	-	-	2	-	2	1	1	1	-	1	2	2	-	13
Merrett, Jackson	1	-		1	2	2		-				-	1	-	-	1					1	-	9
Myers, David	1	1	1	1	-	-	-	-	-	1	-	-	1	1	1	-	-	-	-		1		9
OBrien, Nick															1	-				-			1
Pears, Tayte				2		1						1	-	-	1		-		-	-	1	-	6
Ryder, Patrick	1	2	-					1	2	2	1	1	-	3	1	1	1	2	1		1	-	20
Stanton, Brent	1	-	8	2	2	-		-	-	4	1	-	2	-	1	1	-	-	-	2	1	2	27
Watson, Jobe	-	1	1	1	2	-	3	-	-	-	3	1	-	-				1	1	2	1	-	17
Winderlich, Jason				-	1		-	-	1	-	-	-	-	2	-				-				4
Zaharakis, David	-	-	1	2	-	1	-	-	-	-	-	1	-	-	-		-	-	1	-	-	-	6
Totals	26	21	19	28	17	19	16	14	14	13	8	13	11	17	17	24	8	10	9	16	17	10	347
Opponent	AD	ME	FR	SK	CW	GW	GE	BL	RI	SY	CA	GC	WC	PA	WB	GW	HW	CW	WC	NM	CA	RI	
