Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Baguley, Mark	4	7		9	2	6	5	3	2	5	5	5	7	9	4	5	4	2	7	8	6	6	111
Bellchambers, Tom	2	7	2	6	5	4	4	6	3	3			-	10	5	1	6	2	3	3			72
Carlisle, Jake	9	13	6	6	3		9	7	8	5	13	11	8	6	10	4	5	1	2	8	5	2	141
Colyer, Travis			-		2									2	6	5	7	4					26
Crameri, Stewart	2	8	2		6	2	6	6	7	2	6	7	3			1				1	5	7	71
Dalgleish, Lauchlan																				3	5	6	14
Daniher, Joe											5	8					2			6	6		27
Davey, Alwyn	-	1	1	1	1	4	4				1	1	2						3	3	1	2	25
DellOlio, Cory																2	-	2					4
Dempsey, Courtenay	7	7	3	7	5	6			8	3			6	6	7	2	4	-					71
Fletcher, Dustin	5	7	1				5	4	8	3	6			7	7	4		1	5				63
Goddard, Brendon	7	11	4	4	5	5	7	5	11	5	3	12	8	8	3	6	8	6	10	5	8	10	151
Gumbleton, Scott				12	5	5	3			-								7	5				37
Hams, Will										-	-												
Hardingham, Kyle					3	7	5											1	10	7	6	4	43
Heppell, Dyson	3	9	2	8	6		3	4	4	3	10	7	6	7	5	5	2	-	2	2			88
Hibberd, Michael	5	9	5	11	9	9	9	5	8	3	3	6	4	3	5	7	8	3	8	6	2	7	135
Hille, David				3	3	4																3	13
Hocking, Heath	4	3	1	6	5	3	2	5	6	-	2	4					2	1	2	5	2		53
Hooker, Cale	7	7	3	9	7	10	6	8	3	7	6	14	3	13	7	8	6	4	4	5	10	4	151
Howlett, Ben	5	6	-	1	1	4	6	3	4		3	3	2	7	2		-		3	1	1	3	55
Hurley, Michael	4	8	6	8			5	-	3		5	3	2	5	8	3	5				9	7	81
Jetta, Leroy						2			-	2						2	2	3		2		1	14
Kavanagh, Elliott			1					6														2	9
Kommer, Nick	1	2	4			2	1	3	7	2	3	5	4	2	4	1	3	1	2	3	5		55
Lovett-Murray, Nathan							-									2						8	10
Melksham, Jake	2	3	6	6		4	5	3	4	2	7	6	4	9	2	3	5	4	5	4	4	9	97
Merrett, Jackson	4	2		1	2	4		3				2	3	2	1	1					4	7	36
Myers, David	2	6	1	4	6	12	5	3	2	2	5	6	2	8	3	6	2	4	2		5		86
OBrien, Nick															1	1				2			4
Pears, Tayte				5		5						8	2	6	7		6		10	2	9	5	65
Ryder, Patrick	1	3	2					6	7	2	5	6	3	4	5	1	7	4	1		5	5	67
Stanton, Brent	5	11	2	6	6	3		4	6	7	2	7	3	7	5	1	4	2	9	6	2	14	112
Watson, Jobe	3	6	-	2	5	2	2	7	4	2	3	5	5	2				6	8	5	2	5	74
Winderlich, Jason				3	8		4	4	7	5	8	6	10	9	13				2				79
Zaharakis, David	-	8	3	6	4	3	9	2	4	2	2	2	4	3	-		4	1	6	1	4	5	73
Totals	82	144	55	124	99	106	105	97	116	65	103	134	91	135	110	71	92	59	109	88	106	122	2213
Opponent	AD	ME	FR	SK	CW	GW	GE	BL	RI	SY	CA	GC	WC	PA	WB	GW	HW	CW	WC	NM	CA	RI	
