Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	PF	GF	Tot
Ballantyne, Hayden	5		10	5	6	7	4	6	7	6	5	4	3	5	5			10	4	4	8		2	2	8	116
Barlow, Michael	14	11	12	15	12	9	14	12	10	22	14	15		14	17	4	12	14	14	9	12	11	18	10	11	306
Bradley, Kepler	6	6	4	7	4																					27
Clarke, Zac								8	5	8	8	7	10	5	7	9	8	7	11	8	7		4	6	3	121
Crichton, Jesse																						5				5
Crowley, Ryan	6	2	4	5	4	4	7	10	5	4	6	5	2	5	8	3	3	5	10	7	3	12	3	6	4	133
Crozier, Hayden		4				5	2		4	8	2	-	4									4				33
Dawson, Zac	2	4	3	4	2	2	6	2	3	2	2	6	5	6	3	5	7	5	6	6	2		6	3	3	95
Duffield, Paul	5	4	5	5		2	8	9	4	3	4	5	3			4	2	3	4	6	3	3	4	3	2	91
Faulks, Peter																						2				2
Forster, Alex																						5				5
Fyfe, Nat	13	16	14	17	13			17	25	14	10	14	14	11	14	16	6	15	12	7	9		16	15	18	306
Griffin, Jonathon	7	7	8	3	16	7	1																			49
Hannath, Jack					2	5	5	4	2	1	2	5	1			4					3	4				38
Hill, Stephen	8	7	12	9	7					12	7	14	4	8	11	4	7	5		7	5		11	3	9	150
Ibbotson, Garrick					5	8	12	11	7	7	5	10	8	7	6	3	2									91
Johnson, Michael	2	3	8	4	6	5	3	6	6	4	7	4	5	7	7	6	4	5	5	1	6			3	6	113
Mayne, Chris	7	5	9	5	4	6	5	6	9	8	5	7	6	5	8	5	4	8	6	6	7		9	9	4	153
McPharlin, Luke	5	6	-		7	6	4	5	1	2	3	6	5	4									3	3	7	67
Mellington, Josh																						4				4
Michie, Viv													7													7
Moller, Craig																						4				4
Mundy, David	14	8	13	10	8	15	10	8	16	14	11			8	17	9	13	9	10	10	15		7	13	12	250
Mzungu, Tendai	6	6	5	3	5	6	7	4	9	10	7	9	5	8	5	6	4	13	5	5	5	11	5	12	6	167
Neale, Lachie				7	6											9	11	6	13	7	14	6	11	8	4	102
Pavlich, Matthew	5	7	4											7	6				3	5	8	5	10	8	3	71
Pearce, Clancee	3	8	8	8	5	3	2	4	7	12	5	1	5	5	3	1	7	5				-				92
Pearce, Danyle	15	7	12	8	3	8	7	5	3	11	4	4	8	7	3	4	3	3	9	11	11	4	8	9	4	171
Sandilands, Aaron														2	9		8	5	4	1		2	7	11	8	57
Sheridan, Tom													3	1	5	4		1	3	5	3	2	-			27
Silvagni, Alex						4	4	1	6		1				3	4			3	3		7				36
Simpson, Josh																						2				2
Smith, Tanner				5																						5
Spurr, Lee	7	3	9	5	9	3	7	8	4	4	3	7		7	3	6	5	3	3	5	3		9	3	2	118
Suban, Nick	12	5	5	-	6	12	9	6	1	8	5	5	8	8			7	12	7	7	3		4	12	6	148
Sutcliffe, Cameron	-	2	9	5		3	2	4	8	3					3	3	1	3	1		8	8	1	3	3	70
Taberner, Matthew												4	2				4					3				13
Walters, Michael	5	3	9	3	5	8	11	5				5	5	6	8	11	4	6	8	7	7		6	10	5	137
de Boer, Matthew	5	7	10	4	10	9	4	9	8	10	4	9	10	5	5	5	7	10	10	9	7	11	6	3	8	185
Totals	152	131	173	137	145	137	134	150	150	173	120	146	123	141	156	125	129	153	151	136	149	115	150	155	136	3567
Opponent	WC	WB	ES	HW	RI	GC	CW	SY	ME	AD	BL	NM	GE	SK	WC	RI	AD	CA	GW	ME	PA	SK	GE	SY	HW	
