Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	SF	PF	Tot
Bartel, Jimmy	-	4	3	1	3	5	2	2	4	8	1	5	2	-	2	3		2	1	5	2	7	3	1	1	67
Blicavs, Mark	-	2	3	-	-	2	-	1	1	2		2	1	2	3	1		-		1	3	1	3	2	3	33
Brown, Mitch		-							2	1	-						3									6
Burbury, George									3	-																3
Caddy, Josh	-	4	-	1	1			1					1	2	5	7	4	3	1	2	-	9	2		2	45
Chapman, Paul	7	5	4	2																	2	5	1	5		31
Christensen, Allen	4	4	5	9	-	3	1	2	5	1	6	3	6	2					4	3	3	3	3	5	4	76
Corey, Joel		3	1	2	1	4		2	1	3	3	5	1	2		2	4	3	7	2	5	2	1	7	2	63
Duncan, Mitch	6	3	4	6	6	5	2	3	3	6	-	1	4	4	1	3	2	4	-	3	-	-	6	2	3	77
Enright, Corey	3	2	1	-	5	1	3	1	4	4	2	3	5	2		4	5	2	4	3	6	2	2			64
Guthrie, Cameron					2	1	1	-	2	-	1	1	3	1	3	-	-	2	3	-	1		-	1	1	23
Hawkins, Tom	1	3	2	1		1	-	2	1	4	-	2	2	3	1	1	3	2	1		1	-		1	2	34
Horlin-Smith, George	-			4	4	-	1	1							2		3									15
Hunt, Josh								2	-	2	5	2	1	3	6	1		2						1	-	25
Hunt, Taylor	4	2	1	6	4	5	1					2	1	-	2		-	1				4		1		34
Johnson, Steve			4	5	6	6	6		7	3	6	7			5		4	7	3	7	5	2	4	4	4	95
Kelly, James		5			5	4	1			5	3	2	5	5	6	3	5	4	2	2	6	4	4	3	2	76
Lonergan, Tom	-	2	2	1	1	-	-	-	-	-	-	1	-	-	-	-	-	1	1	-	2	1	1	-	-	13
Mackie, Andrew	4	7	2	2	4	3	1	8	-	4	4	7	2	3	1	4	4	4	3	4	6	2	6	3	1	89
Motlop, Steven	8	6	10	4	3	1	4	2	8	3		4	4	6	3	2	3	6	4	3	2	-	6	9	3	104
Murdoch, Jordan	1		-			-					2	2	2	1	1	2				2					2	15
Podsiadly, James	4	1	3	2	4	3	3	2	3		-	-	3	3	5	2	4		4	3	3	2	2	4	1	61
Rivers, Jared	1			-	-														-	1	1	1	1	-	-	5
Schroder, Jordan							1	-	1	-																2
Selwood, Joel	3	6	4	7	1	4	5	4	1	6	4	7	3	3	8	2	5	7	1	4	6	2	3	4	3	103
Simpson, Dawson												1	2	1	-	1	-									5
Smedts, Billie	1	-	1	1	5	1	3	2			4				8	4	2	-								32
Stokes, Mathew	2	7	4	3	6	3	2	5	1	3	4	4	5	3		3	3	3	1	5	5	7	1	4	4	88
Stringer, Jesse											3	1	2	2	5	4			3							20
Taylor, Harry	3	1	2	3	2	2	4	1	1	3		-	4	2	2	1	2	2	1	2	-	2	1	2	1	44
Thurlow, Jackson							3	5	-		4															12
Varcoe, Travis	4	3	-												1	1	2	3	1	2	2	5	3	3	2	32
Vardy, Nathan										1	1						5	-	3	-	1		1	3	1	16
Walker, Josh																			1	4			1			6
West, Trent	1	1	2	1	5	4	3	2	3	2	1							1				-				26
Totals	57	71	58	61	68	58	47	48	51	61	54	62	59	50	70	51	63	59	49	58	62	61	55	65	42	1440
Opponent	HW	NM	CA	SY	WB	RI	ES	CW	PA	GC	GW	BL	FR	HW	ME	AD	SK	NM	PA	WC	SY	BL	FR	PA	HW	
