Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Adams, Taylor	1					1	3	3	4	3	5	2	2	3		4	2	4	4		6	5	52
Brogan, Dean	3	-	-				-	4								4	1	1		2	1		16
Bruce, Josh						1	1	-	1	-	1	-				1	-	1	1				7
Bugg, Tomas	-	1	1	2	-	-		-							1	3	-	3	2	-	1		14
Buntine, Matt									1	1												2	4
Cameron, Jeremy	1	1	1	4	7	2	3	4	4	2	6	3		3	1	2	4	3	-	3	2	6	62
Coniglio, Stephen	2	1	2	-	2	3	2	-	3	5	3	-		-				3	2	7	2	-	37
Corr, Aidan						-	-	-	-	-	-	1	1	-	1								3
Darley, Sam															2	-	2		1				5
Davis, Phil	2	1	-	-	-										-	-	-	2	-	-	1	1	7
Downie, Tom																			-				
Edwards, Shaun															-							1	1
Frost, Sam				1		-																	1
Giles, Jonathan	5	2	1	1	3	3	-	1	2	-	1	2	1	3	-	-	2	2	-	2	4	-	35
Gilham, Stephen	-	-	1	-		-	-	-	-		-		-	-	1					2		-	4
Golds, Tim								1															1
Greene, Toby	3	4	1	8	1	2	4	1	2	3		1	2			4	1	2	3	1	-	-	43
Hampton, Curtly	2	-	2			-			2	2	1	1	-	2	3	1	1	3	1	1	2	3	27
Haynes, Nick				-	-								1	1	-	-	-	1		-	-	-	3
Hoskin-Elliott, Will	-	2	3									4	2	2	-	3	4						20
Jaksch, Kristian																					-	1	1
Kennedy, Adam	2	-	3	-	-		2	3	-	1	-	1	-	1			-	2	1	-	-	2	18
Miles, Anthony				1				2	3														6
Mohr, Tim	3	-	1	-	1	4	-	-	1	-	1	-	-	1	1	1	-	-	-	1	1	1	17
ORourke, Jono															-								
OhAilpin, Setanta				1	2				-	-			2	-	1								6
Palmer, Rhys		1		1	3	4	1	2	2	1	2			1	1								19
Patton, Jonathon	2	3	-																				5
Plowman, Lachie	1	-	-		-						2	1											4
Reid, Sam			2	-	1	7	3				4	1	-	-									18
Scully, Tom	4	3	3	9	3	2	3	2	2	5	2	3	3	5	-		2	3	-	4	4	3	65
Shiel, Dylan	6	3	2	4	7	2	3	1	3	2	-	3	3	3	6	7	8	-		3	2	3	71
Smith, Devon	2	3	11		5	1	3	4	3	1	3	2	5	6	3	1	2	5	6				66
Stewart, James																						-	
Sumner, Liam	2	3	1	1									-							1	1	1	10
Thornton, Bret					1																		1
Tomlinson, Adam					1	1	3	1	2	2	2	6	1	-		3	-	6	-	1	5	2	36
Townsend, Jacob				3		2	3			-	3	4	-	1									16
Treloar, Adam	4	3	3	3	-	-	4		3	5	4	3	-	2	4	3	1	4	2	1	2		51
Tyson, Dom															2						-	2	4
Ugle, Gerald											1					-							1
Ward, Callan	3	5	3	1	6	4	2	5	1	4	4	1	-	-	1	2	2	7	3	3	2		59
Whiley, Mark								-								1	1	1	2	3		1	9
Whitfield, Lachie	2	3	1	5	1		1	-	3	1	1	-	1	2	3	-		2	-	2		2	30
Williams, Zac					3	2	1					2	2			-	1	1	1	2	1		16
Wilson, Nathan										1									-	2	2		5
Totals	50	39	42	45	47	41	42	34	42	39	46	41	26	36	31	40	34	56	29	41	39	36	876
Opponent	SY	PA	SK	ME	GC	ES	AD	HW	WC	CA	GE	PA	NM	WB	SY	ES	CW	ME	FR	BL	RI	GC	
