Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	PF	GF	Tot
Anderson, Jed	-	1	-																		3	-	1			5
Bailey, Max	2	1	1	1	2		2	6	-		-	2		2	2	1	1			3	3		2	-	1	32
Birchall, Grant	3	1	1	2	1	4	2	4		1	1	-								2	3	2	-	1	1	29
Breust, Luke	-	4	2	2	4	2	1	3	1	2	2	4	1	2	3	1	3	1	-	3	2	2	1	-	-	46
Burgoyne, Shaun	1	5	2	1	5	1	3	1	1	4	-	1	1	3	-			4	3	1	3	3	2	2	-	47
Ceglar, Jonathon													2					3								5
Cheney, Kyle									1	1					-	3										5
Duryea, Taylor			4	2		1	5	1	-	2	3	4	1	-	2	-	1	1	2	1		-				30
Ellis, Xavier												-	1													1
Franklin, Lance	4	3	1	3	4	6	-	1	9	4	3	4	2	2			3	4		6	2	3		3	2	69
Gibson, Josh	-	-	1	3	3	2	5		1	2	2	2	1	1	2	1	1	-	3	2	-	2	2	2	4	42
Grimley, Sam									3	1									1							5
Guerra, Brent	2	1	-		6	3		-	3	1	-	2			1	2	-	2	1		1		2	3	3	33
Gunston, Jack	-		-	2	3	1	1	2	1		1	1	1	2	-	2	-	-	-	-	1	2	-	2	1	23
Hale, David	3	-	2	5	2	-	1	2		2	3	4	2	3	3	2	2	1	-	3	2	5	2	1	2	52
Hill, Bradley	3	1	2	2	2	3	5		1	2	2	2	1	4	1	4	4	1	-	-	-	2	3	2	1	48
Hodge, Luke		2	4	3	-	4	4	1	4	2	1	4	2	1	3	2	2	3		1	5	2	3	4	2	59
Lake, Brian					1	2	3	3	2	1	3	2	3	2	3	3	-	2	-	1	-	4	1	2	4	42
Langford, Will																4										4
Lewis, Jordan	2	4	1	-	4	2	1	2	2	1	3	4	3	3	2	2	3	3	1	1		-	2	5	4	55
Mitchell, Sam	2	2	4	3	2	4	3	3	3	3	1	3	-	6	5		2	3	1	3	1	2	4	2	1	63
Osborne, Michael				-	-	2	2	2																		6
Puopolo, Paul	2	4	2	3	1	-	1	1	-	2	-			-	2	3	3	-	1	1		2	2	3	2	35
Rioli, Cyril	2	3	2	1	3									2	1	1	-	1	4	1	1			1	1	24
Roughead, Jarryd	4	2	1	3	2	2	3	2	5	-	3	-	3	1	-	4	4	2	2	2	2	2	-	1	2	52
Savage, Shane	1	-		3	-							1	3	2	2	1	1	2	1	1	4	-				22
Schoenmakers, Ryan	3	1	4	-																						8
Sewell, Brad	6	1				3	1	3	2	2	3	1	2	3		5	-	2	3	4	1	4	3	3	1	53
Shiels, Liam	1	3	1	4	3	-	2	2	2	-	1	3	2								-		1	1	2	28
Simpkin, Jonathan						-	-	-	-	2	-	-	1	2	-	1	2		1						2	11
Smith, Isaac	6	2	2	-	-	2	3	1	5	1	2		1	1	1	1	2	1	1	-	4	4	-	2	3	45
Spangher, Matthew								2											-			2	-			4
Stratton, Ben	3	1	3	4	4	3	2	1	1	-	3	2	-	1	1	1	1	3	4	1	2	2	2	3	1	49
Whitecross, Brendan													1	3	5	2	1	2	1	2	-	2	1	1		21
Totals	50	42	40	47	52	47	50	43	47	36	37	46	34	46	39	46	36	41	30	39	40	47	34	44	40	1053
Opponent	GE	WC	CW	FR	NM	AD	SY	GW	GC	ME	CA	WC	BL	GE	PA	WB	ES	RI	SK	CW	NM	SY	SY	GE	FR	
