Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	PF	GF	Tot
Anderson, Jed	-	-	1																		2	-	-			3
Bailey, Max	-	1	1	-	-		-	-	1		-	-		-	-	1	-			-	-		-	1	-	5
Birchall, Grant	-	-	1	-	-	-	1	-		1	-	-								1	-	2	-	-	-	6
Breust, Luke	1	1	-	-	1	2	6	1	-	2	-	1	3	-	1	-	2	1	2	-	1	1	1	2	2	31
Burgoyne, Shaun	-	-	1	3	1	-	-	1	-	2	-	1	-	-	1			2	-	-	-	1	-	1	-	14
Ceglar, Jonathon													-					-								
Cheney, Kyle									-	-					-	1										1
Duryea, Taylor			-	-		-	-	-	-	1	2	-	1	1	-	-	2	-	-	-		-				7
Ellis, Xavier												-	-													
Franklin, Lance	1	-	2	-	-	-	-	1	2	-	-	2	-	-			-	-		1	1	1		-	-	11
Gibson, Josh	-	-	-	-	-	-	-		-	-	-	-	1	-	-	-	1	-	-	1	-	-	-	-	-	3
Grimley, Sam									-	-									1							1
Guerra, Brent	-	-	-		-	-		-	-	-	-	-			1	-	-	1	-		-		1	-	-	3
Gunston, Jack	-		-	-	2	1	-	1	-		-	-	1	-	-	2	-	-	-	1	1	-	-	3	-	12
Hale, David	1	-	1	2	1	-	-	1		1	-	-	-	-	1	2	-	-	-	-	1	1	1	2	-	15
Hill, Bradley	2	-	-	1	-	-	-		3	-	1	1	-	1	-	1	-	-	-	1	1	1	-	-	1	14
Hodge, Luke		-	1	1	-	1	1	2	1	-	1	-	1	-	-	-	-	-		1	-	-	1	-	-	11
Lake, Brian					-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Langford, Will																-										
Lewis, Jordan	-	2	1	1	-	-	1	-	-	1	2	2	1	1	2	2	-	-	1	1		-	2	-	-	20
Mitchell, Sam	2	-	-	1	1	1	1	2	-	1	1	-	2	1	-		3	-	-	1	2	-	1	1	-	21
Osborne, Michael				-	3	-	1	-																		4
Puopolo, Paul	1	1	-	-	-	1	1	-	1	1	-			-	2	-	3	1	1	-		2	-	-	1	16
Rioli, Cyril	1	-	2	1	-									-	1	1	2	-	2	2	2			-	1	15
Roughead, Jarryd	-	2	-	2	1	2	1	-	2	-	1	1	1	-	2	-	1	-	-	-	1	1	1	-	-	19
Savage, Shane	-	-		1	-							1	1	-	-	-	2	1	1	1	-	2				10
Schoenmakers, Ryan	-	-	-	-																						
Sewell, Brad	1	1				-	-	-	-	2	-	1	-	-		-	1	-	-	-	1	1	-	-	1	9
Shiels, Liam	-	-	-	-	-	-	-	2	1	-	-	3	-								-		1	-	-	7
Simpkin, Jonathan						-	-	2	2	-	2	1	2	-	2	-	-		-						-	11
Smith, Isaac	-	1	-	1	-	-	2	1	-	2	-		-	-	-	-	-	1	-	-	-	-	1	-	-	9
Spangher, Matthew								-											2			-	-			2
Stratton, Ben	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Whitecross, Brendan													-	-	-	-	-	-	-	1	-	-	3	-		4
Totals	10	9	12	14	10	9	15	14	13	14	10	14	14	4	13	10	17	7	10	12	13	13	13	10	6	286
Opponent	GE	WC	CW	FR	NM	AD	SY	GW	GC	ME	CA	WC	BL	GE	PA	WB	ES	RI	SK	CW	NM	SY	SY	GE	FR	
