Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	Tot
Arnot, Matt													81		78	64	25							61.5/289:50
Astbury, David											52	59						85	84	91				74.3/444:46
Batchelor, Jake	83	84			93		84	83	85	91			90	79										85.7/924:32
Chaplin, Troy	70	94	90	56		95	89	89	100	100	100	91	91	97	100	97	100	100	98	100	98	100	100	93.4/2448:22
Conca, Reece	80	79	86	82							76	85	79	77	83	77	82	81	80	79	81	80	8	76.0/1541:57
Cotchin, Trent	83	78	82	88	88	84		84	87	84	88	85	86	82	83	82	78	78	83	84	55	85	86	82.4/2159:30
Dea, Matt								82		75				68										74.9/275:38
Deledio, Brett	86	85	85	81	83	87	89	89	78	91	83	85	85	94	87	90	92	84	86	89	88	87	86	86.6/2372:25
Edwards, Aaron										91	90	93	93	96	70						90	98	96	90.8/974:07
Edwards, Shane	88	92	83	83	82	89	85	79	76	47	82	84	91	86	86	82	79	82			80		84	82.0/1960:30
Ellis, Brandon	63	22	23	40	79	81	84	82			84	84	84	16	79	78	84	86	77	86	86	86	78	70.5/1767:43
Foley, Nathan							40	79	73	79	75	82	79	82	77	24	83	83	83	80	30	78		70.7/1341:41
Griffiths, Ben	97																							97.0/121:43
Grigg, Shaun	80	83	89	91	81	85	79	88	84	93	83	85	89	91	22	84	85	83	91	84	85	90	85	83.1/2277:13
Grimes, Dylan		65	79	84	86	73														46	76	69	77	72.7/781:54
Helbig, Brad					60																			60.0/71:49
Houli, Bachar	90	93	84	89	89	85	89	76	87	89	89	85	76			83	76	80	83	84	78	83	83	84.3/2107:46
Jackson, Daniel	80	83	78	85	82	84	87	81	85	82	84	80	81	70	80	86	83	79	76	82	86	81	82	81.6/2236:48
King, Jake	86	87	87	83		96	98	97	90	82	95	96	71	94	95	89					88	88	94	89.8/1921:16
Knights, Chris			62	80	88	79	39																	69.6/417:46
Lonergan, Sam									77	37														56.4/131:27
Maric, Ivan	92	89	91	92	94	81	95		91	89	79	84			87	91	95	90	81	92	88	91	90	89.1/2117:53
Martin, Dustin	83	78	76	85	80	78	79	81	90	81	88	76	84	86	80	87	88	79	82	86	75	78	75	81.5/2234:21
McDonough, Matt																				75				75.0/92:28
McGuane, Luke	99	99	93	96	100	97	98	58	90									99	97	100				93.8/1346:57
Morris, Steven	91	87	88	89		88	79	85	81	82	77	85	82	86	87	88	83	87	79	80	83	80	83	84.1/2206:52
Nahas, Robin	17				27		86	92	83										63					61.0/434:14
Newman, Chris	75	77	78	84	73	82	76		77	72	82	77	79	79	80	82	79	79	80				74	78.1/1770:49
Petterd, Ricky		82	84	84	86	79									83	80	87			65	78	85	87	81.6/1163:44
Rance, Alex	90	93	97	91	93	93	95	94	98	95	96	95	94	94	100	96	100	95	96	97	99	99	99	95.6/2620:49
Riewoldt, Jack	96	96	95	93	95	98	98	92	95	87	94	95	97	91	94	92	96	97	98	96	93		91	94.5/2484:07
Stephenson, Orren							88	82					75	82				54				91		78.5/563:23
Tuck, Shane	85	84	77	47			61										63	36	25	31		42	70	56.6/746:17
Vickery, Ty	88	71	94	95	91	47		89	55	90	89	85	85	93	87	90	86		90	91	96	92	93	85.6/2141:53
Vlastuin, Nick					69	76	81	87	82	75	80	76		84	76	73	71	75	76	82	82	82	81	78.3/1676:08
White, Matt					81	43		29	34	88	34	33	28	72	86	83	82	86	90		85	36		62.0/1174:09
Totals																								
Opponent	CA	SK	WB	CW	FR	GE	PA	ME	ES	WC	AD	WB	SK	NM	GC	FR	SY	HW	BL	CA	GW	ES	CA	
