Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Armitage, David	10	6	10	7	9	11	8	7		11	9	9	9	10	14	13	8	15	9	11	8	8	202
Blake, Jason	4	1	5																5	4	4	10	33
Curren, Tom																5	1	8	11	9	4	5	43
Dal Santo, Nick	6	14	7	11	9	8	11	8	9	5	9	10	10	12	7	14	8	10	6	3	3	13	193
Dempster, Sean		7			4	2	5	4	4	-	5	3	4	2	6	4	6	6	3	8	7	5	85
Dennis-Lane, Trent	-			6	4						4	6	1	3	3	3							30
Dunell, Sam											5	8	1					2					16
Ferguson, Jackson										3													3
Fisher, Sam		3	4	5	10	2	6	6	6	5													47
Geary, Jarryn	7	3	6	7	8	4	7	5	3	6	4	4	4	6	6		6	-	5	13	3	3	110
Gilbert, Sam	6	12	8	7	10	1														6	6	7	63
Gwilt, James	1						9	5	4	4	3	4	6	4	3	5	1		2				51
Hayes, Lenny	10	15	12	8	16				5					12	11	8	12	12	8		9	10	148
Hickey, Tom	1						11	3	6	5				6	4	5	6			3	10	3	63
Jones, Clinton	14	13	4	10	10	4			4		6	6	8	7	7	8	8	7	8	7	8	10	149
Koschitzke, Justin					3	4						7	2									2	18
Ledger, Tom																					3	3	6
Lee, Tom			6		1									4	9	6	3	10	5	4		4	52
Maister, Beau	5	1	4	3				1	8		4												26
McEvoy, Ben	12	11	11	9	8	5	10	4	6	9	8	4	7	9	3	7	4	7	6	1	4	5	150
Milera, Terry	3	3	4	2			5	4				7	5	2	1								36
Milne, Stephen	5	2	2	7		5	4	4	2	5	4				4	2	5	5		3	7	5	71
Minchington, Darren																			3	4			7
Montagna, Leigh		6	9	14	4	7	6	9	9	8	8	15	8	6	10	9	14	7	9	7	8	7	180
Murdoch, Brodie					4	1						9	6	6	3				2		2		33
Newnes, Jack	2	2	-			9	4	7	3	4	6	3	4	6	3	2	4		2	3	1		65
Ray, Farren	11		6	2			3	4	5	5	7	11	7	6	7	3	8	3	7	7	8	3	113
Riewoldt, Nick	8	7	6	5	14	8	7	3	2	5	7	3	7		4	6	4	6	6	12	8	5	133
Roberton, Dylan	8	6	6	7	6	5	4	8	3	6	4	5	2	6	7	5		6	5	3		4	106
Ross, Sebastian				2	10	6	8	2	8	1	5	7	2							7	6	10	74
Saad, Ahmed	8	3	5	4	6	5	4	4	5	2	4			4				-					54
Saunders, Josh					3	4					-			10	2	6	3	5	2	3			38
Schneider, Adam		3																	5	6	8	6	28
Shenton, Cameron																					-		
Simpkin, Tom				4								2				3	5	2					16
Siposs, Arryn	8	4				5	7	2	3	5							2	6					42
Stanley, Rhys	2	2	5	2	7	3	3	1	2	4	2	4	8	2	2	1	1	5					56
Steven, Jack	8	6	13	10	14	13	19	10	15	13	11	10	9	10	8	10	12	6	7	10	10	15	239
Webster, Jimmy							2	5	1	2	3	1	4			6	7	6	3				40
Wright, Nathan			6	3	6	3	4			4			5	2									33
Totals	139	130	139	135	166	115	147	106	113	112	118	138	119	135	124	131	128	134	119	134	127	143	2852
Opponent	GC	RI	GW	ES	SY	CW	CA	AD	WB	NM	WC	ME	RI	FR	CA	PA	GE	BL	HW	SY	GC	FR	
