Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Adcock, Jed	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Aish, James	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	
Beams, Claye									-	-	1	1	-	-	2	-	-	1		-	-	-	5
Bewick, Rohan		-		-	-		-				-	-	1	-	-	-	-	-	-	-	-	-	1
Bourke, Jordon																						-	
Brown, Jonathan	-	-	-	-	-	-		-	-	-	-	-											
Clarke, Justin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Close, Michael	-	-	-						-			6	-	2	2	4	2	2	-	1	-		19
Crisp, Jack																	-	1	1	-	-	-	2
Cutler, Tom				-	-	-	-	-	-				-										
Freeman, Jonathan																			-	-	-	-	
Gardiner, Darcy					1	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	1
Golby, Mitch	-	-	-	-	-		-		-	-	-	-				-						-	
Green, Josh	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hanley, Pearce	-	-	-	-		-		1	1	-	4	1	-	-	1	2	1	3	2	3	-	-	19
Harwood, Ryan	-			-						-	-	-	-	-	-	-	-	-	-	-	-		
Lester, Ryan	-	-	-		1	3	3	1	1					1	1	1	4	3				1	20
Leuenberger, Matthew	23	18	31	8																		36	116
Lisle, Jordan		-	-	-	4				-														4
Maguire, Matt								-		-	-	-	-	-	-	-	-	-	-	-	-		
Martin, Stefan											32	28	25	36	32	25	37	23	30	27	28	15	338
Mayes, Sam	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	
McGrath, Ashley														-	-	-	-	-			-		
McGuane, Luke					-	-	-																
McStay, Daniel														-	-	-	-	-	-	-	-	-	
Merrett, Daniel	-	-	-			8	3	4	4	3	5		2	-	-	1	2	-	-	1	3	-	36
Moloney, Brent	-	-	-	-	-																		
OBrien, Zac										-	-	-	-									-	
Paine, Jackson				-	-			-	-	-												-	
Paparone, Marco	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-			
Patfull, Joel	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	
Polkinghorne, James						-	-																
Raines, Andrew						-	-	-	-														
Redden, Jack	3	2	1	1	2	-	1	2	-	1	2	2	2	2									21
Rich, Daniel	-	-	-																				
Robertson, Nick				-	-	-	-	-	-				-						1				1
Rockliff, Tom	-		-	-	-	-	2	2		3	2	-	1	1	1		-	1	-	1	-		14
Taylor, Lewis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
West, Trent	15	18	22	22	27	39	29	34	25	9													240
Zorko, Dayne	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		2
Totals	41	38	54	31	38	50	38	44	31	16	46	38	31	42	39	33	46	34	34	33	31	52	840
Opponent	HW	GE	GC	PA	RI	SK	SY	ES	NM	CA	WB	GW	FR	NM	RI	WC	GC	ME	AD	CW	FR	GE	
