Player	R1	R2	R3	R4	R5	R6	R7	R8	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Austin, Mark												11	12	11	2	6	12	10	14	7	10	4	99
Bontempelli, Marcus					14		2		13	16	15	22	24	17	21	16	13	13	15	23	11	19	254
Boyd, Matthew	31	18	29	39	28	33	28	19	30				25	32	20	31	22	19	17	22	28	27	498
Campbell, Tom	7					7												11	8	3	2	8	46
Cooney, Adam	26	23	22	17	15	23	26	25	19	26	25	7					4	7	25	23	21	20	354
Cordy, Ayce																					10		10
Crameri, Stewart	15	10	18	15	16	13	11	14	11	21	16	9	11	10	17	14	12	9	20	12	12	15	301
Dahlhaus, Luke	26	25	17		28	22	32	22	27	20	18	29	16	22	16	24	16	19	17	18	21	18	453
Darley, Sam														16		13		9	17	13			68
Dickson, Tory	11					14	12	2															39
Giansiracusa, Daniel	11	7	4	17	9	11		12	4	11	10	22	6							8	11	20	163
Goodes, Brett	14								7														21
Grant, Jarrad											7	20	9							13			49
Griffen, Ryan		11	12	20	32	22	26	20	28	10	21	27	14		32		28	29	20	30	16	38	436
Higgins, Shaun	23	12	18	29	15	22	36	15	20	29	15	19	27	20	11			14	26	23	17	17	408
Honeychurch, Mitch														8	10	6							24
Howard, Christian										11	4												15
Hrovat, Nathan										18	12	16	20	7	13	27	17	13	16		30	24	213
Hunter, Lachie	24	18	16	14		3	15	11						14	16	15	17	14	3	18			198
Johannisen, Jason	11	11	4				14	17								25	21	17		20	18	20	178
Jones, Liam		7	14	13	10	10	12	8				16	9	1									100
Jong, Lin		12	10	12	10	14															11		69
Liberatore, Tom	27	21	24	20	18	25	25	27	27	31	22	34	19	12	32	28	20	23	19	23	26	19	522
Macrae, Jack	31	22	30	30	30	27	25	15	25	29	35	28	27	15	17	43	32	31	20		30	20	562
Minson, Will	8	11	7	14	13	9	8	15	14	19	14	13	15	11	10	17	11	12	12	8		11	252
Morris, Dale	7	19	11	3			12	13	11	14	8	9	10	10	7	13	14	8	17	11	16	14	227
Murphy, Robert	19	25	19	22	16	23	21	15	16	30	21	17	13	21	17	22	16	32	18	19	26	24	452
Picken, Liam	24	25	18	25	18	17	14	13	15	20	19	15	24	16	22	17	7	12	18	17	25	21	402
Redpath, Jack															5	9	6						20
Roberts, Fletcher								9	6	7				8								5	35
Roughead, Jordan	13	12	3						13	16	12	14	12		5	14	14	13	13	6	11		171
Smith, Clay									13														13
Stevens, Koby	24	24		21	18	17	7		9	23	19	18	21	23	18	20	17	5	17	19	18	9	347
Stringer, Jake	9	7	6	11	13	17	18	14	10					13	13	12	10	12	16	12	13	14	220
Talia, Michael					11	13	12																36
Tutt, Jason				10				18	14	15	16	14	13										100
Wallis, Mitch	20	8	7	16	9					20	14	21	15	18	20	28	18						214
Williams, Tom			13	19	6		9	6		9	12												74
Wood, Easton	14	18	11	22	13	21	13	16	16	19	7	13	16	17	11	20	9		17				273
Young, Tom				15	9	12																11	47
Totals	395	346	313	404	351	375	378	326	348	414	342	394	358	322	335	420	336	332	365	348	383	378	7963
Opponent	WC	NM	RI	GW	CA	AD	ES	ME	GC	FR	BL	CW	PA	ME	GE	GC	ES	HW	SK	NM	SY	GW	
