Player	R1	R2	R3	R4	R5	R6	R7	R8	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Austin, Mark												4	8	6	1	3	9	5	10	4	6	1	57
Bontempelli, Marcus					6		2		2	12	7	11	9	11	13	8	8	5	10	8	8	13	133
Boyd, Matthew	12	13	14	18	18	14	15	13	14				12	20	9	16	9	10	9	9	11	13	249
Campbell, Tom	2					4												6	3	2	1	4	22
Cooney, Adam	15	14	10	11	10	13	15	12	8	12	15	4					1	4	14	12	9	11	190
Cordy, Ayce																					4		4
Crameri, Stewart	9	7	10	9	9	8	5	11	6	11	5	6	5	8	8	8	7	4	12	8	1	11	168
Dahlhaus, Luke	15	15	7		9	12	18	15	11	13	7	12	5	10	13	12	10	10	10	11	13	11	239
Darley, Sam														9		7		7	9	8			40
Dickson, Tory	3					10	5	-															18
Giansiracusa, Daniel	7	4	2	10	8	6		8	3	6	8	10	3							3	9	13	100
Goodes, Brett	9								6														15
Grant, Jarrad											4	10	3							7			24
Griffen, Ryan		4	6	12	14	11	15	12	15	3	7	19	5		17		12	16	9	11	9	22	219
Higgins, Shaun	13	6	11	19	6	8	17	10	14	13	8	6	14	11	10			6	10	14	11	5	212
Honeychurch, Mitch														2	4	3							9
Howard, Christian										6	2												8
Hrovat, Nathan										7	5	7	6	4	7	17	9	10	8		14	11	105
Hunter, Lachie	13	11	10	9		1	8	5						7	12	12	12	11	2	13			126
Johannisen, Jason	8	7	3				6	12								17	14	10		13	12	9	111
Jones, Liam		5	8	7	6	3	8	3				13	6	-									59
Jong, Lin		7	8	5	3	2															3		28
Liberatore, Tom	11	8	17	15	6	10	12	12	10	10	8	12	10	5	16	16	8	14	10	10	14	10	244
Macrae, Jack	15	14	13	20	13	14	8	9	13	16	18	13	12	9	11	29	21	21	9		15	9	302
Minson, Will	5	6	4	5	6	4	4	9	5	11	8	8	11	8	7	10	8	7	5	5		8	144
Morris, Dale	2	5	8	3			9	6	7	3	3	4	2	6	4	8	9	3	14	4	11	8	119
Murphy, Robert	13	15	14	16	10	16	11	8	12	19	17	9	7	16	13	13	11	19	12	13	16	14	294
Picken, Liam	10	10	12	15	10	12	9	4	10	9	9	5	12	10	14	10	4	5	10	8	15	14	217
Redpath, Jack															2	4	3						9
Roberts, Fletcher								3	2	4				6								4	19
Roughead, Jordan	6	6	1						9	7	6	7	7		3	9	8	8	8	-	7		92
Smith, Clay									8														8
Stevens, Koby	8	13		8	6	11	2		5	9	5	6	9	8	8	7	8	1	9	5	10	4	142
Stringer, Jake	4	5	5	7	5	9	6	9	8					10	8	4	7	9	13	7	8	9	133
Talia, Michael					4	9	5																18
Tutt, Jason				7				13	8	11	6	12	10										67
Wallis, Mitch	3	3	5	6	4					6	5	10	6	7	11	8	3						77
Williams, Tom			8	11	3		7	4		7	8												48
Wood, Easton	8	8	4	13	4	10	7	6	8	8	5	4	8	10	7	10	3		8				131
Young, Tom				8	4	7																3	22
Totals	191	186	180	234	164	194	194	184	184	203	166	192	170	183	198	231	184	191	204	175	207	207	4222
Opponent	WC	NM	RI	GW	CA	AD	ES	ME	GC	FR	BL	CW	PA	ME	GE	GC	ES	HW	SK	NM	SY	GW	
