Player	R1	R2	R3	R4	R5	R6	R7	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Adams, Taylor	-	-	-				-			-		-	-	-	-	-	-	-					
Armstrong, Tony																		-	-	-	-	-	
Ball, Luke	1	-	1	1	-	-	-	-	-		-	-	-	-		-				-	-	-	3
Beams, Dayne	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-			
Blair, Jarryd		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Broomhead, Tim												-	-				-	-	-	-	-	-	
Brown, Nathan	-	-							-														
Clarke, Martin	-																						
Cloke, Travis	-	-	-	-	-	-	1	2	-	-	-	-	-	-	-	-	-	-	-	-			3
Dwyer, Sam		-	-				-	-			-	-	-	-	-			-	-		-	-	
Elliott, Jamie	-	-	-	-	-	-	-	-	1	-	-	-	-	-			-	-	-				1
Fasolo, Alex			-	-	-	-			-	-	-							-	-	-	-	-	
Frost, Jack	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Gault, Corey																						4	4
Goldsack, Tyson	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	
Grundy, Brodie	13	30	24	24	14	25	16	32	9		16	14			10					16	23	6	272
Keeffe, Lachlan			-	-	-	-	-	-		-	-	-	-	-	-		-	-	-	-	-	-	
Kennedy, Ben	-						-							-	-	-	-		-	-			
Langdon, Tom	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-			-	-	
Lumumba, Heritier	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-		1	2
Macaffer, Brent	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-		1
Martin, Kyle																	-	-					
Maxwell, Nick	-	-	-	-	-	-		-	-	-						-							
Pendlebury, Scott	-	-	-	1	-	-	-	-	-	1	1	2	-	-	1	1	1	-	-		-	-	8
Ramsay, Jackson																					-	-	
Reid, Ben																	-	-	-	-			
Seedsman, Paul										-	-	-	-	-	-	-	-					1	1
Sidebottom, Steele	-	-	-	-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	-	
Sinclair, Ben	-	-																		-	-	-	
Swan, Dane	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-				-	-		
Thomas, Josh				-	-	-	-			-	-	-	-	-	-	-					-	-	
Toovey, Alan	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-			-	-			
White, Jesse		7	6	-	1	-	3	5	2	15		6	12	8		13	9	8	11		-	2	108
Williams, Marley							-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	
Witts, Jarrod	11			10	5	16	15	13	9	20	11	19	25	26	33	27	23	28	20	25	20	19	375
Young, Clinton	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-		-	-	-		
Totals	25	37	31	36	20	41	35	52	21	36	28	42	37	34	44	41	33	37	31	41	43	33	778
Opponent	FR	SY	GE	RI	NM	ES	CA	AD	WC	SK	ME	WB	HW	CA	GC	ES	AD	PA	WC	BL	GW	HW	
