Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	SF	Tot
Apeness, Michael															-	1									1
Ballantyne, Hayden	-	1	-	1	-		-	1	1	-	-	-	1	-	1	1		-	-		-	1	1		9
Barlow, Michael	1	-					3	2	1	1	-	1	-	-	1	1	-	1	1	2		-	1	1	17
Clarke, Zac				-	-	2	2	-	-	-	1	2	1	1	1	-	1	-	-	-	-	1	-	1	13
Crowley, Ryan	-	2	-	-	1	1	-	-	1	-	-	1	2	1	-	-	-	1	-	1	-	-	-	-	11
Crozier, Hayden			-	1		-	-	-											1	2	2	-	-	2	8
Dawson, Zac	1	1		-	1	2	1		-	-	-	-	-	1	1	-	1	-	-	-	1	1	-	-	11
Duffield, Paul	-	-	-	-	-	1	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	1	5
Duffy, Max																			-	-					
Fyfe, Nat	1	-			2	1	1	-	1	-	-	-	2	1	3	2	3	1	1	2			-	-	21
Griffin, Jonathon																	-								
Hannath, Jack	-	-	1																						1
Hill, Stephen	-	1	-	-	2	1		1	-	-	-	-	-	1				-	-	-	1	-	-	-	7
Ibbotson, Garrick			-							-	1	1	1	1	1			1			1	-	2	2	11
Johnson, Michael	-	1	-	2	-	2	-	-	-	-	-					-	-	-	-	2	-	1			8
Mayne, Chris	2	3	1		1	-	-	-	1	-	1	1	4	-	1	1	1	-	1	1	1	1	-	-	21
McPharlin, Luke	1	-	1	1	-	-	-			-	1				-		-	1	-						5
Morabito, Anthony															1	-	-								1
Mundy, David	1	-	-	-	2	1	-	-	1	-	2	1	3	-	-	2	-	2	-	1	-	1	-	-	17
Mzungu, Tendai	1	-	-	1	-	-	-	-	1	-	1	-	3	-	1	-	-	-		1	-	-	2	1	12
Neale, Lachie	-		1	-	1	2	3	-	-	1	-	-	1	1	1	1	-	1	1	2	-	-	2	3	21
Pavlich, Matthew	1	1	2	2	1	1	2	-	1	-	1	1	1	1		2	1	-	1	1		-	1	-	21
Pearce, Clancee				-	1	-	-	-					-	-	1	-									2
Pearce, Danyle	-	1	-	1	-	-	-	-	1	-	-	2	1	-	1	1	1	-	1	2	1	-	-	3	16
Sandilands, Aaron	-	-	1	2	4	2	1	2	-	-	1	-	-	-	1	1		2	2	-	1	1	2	-	23
Sheridan, Tom	2	2	-			-			1	-	-	-													5
Silvagni, Alex								3	-			1	1							-	-		1		6
Simpson, Josh				2																					2
Spurr, Lee	-	-	-	-	2	3	1	-	1	1	3	1	-	-	2	2	-	-	2	2	1	-	-	-	21
Suban, Nick		2	-	3	-	1	1	1	1	1	-	1	1	1	2	-	-	3	2		-	1		1	22
Sutcliffe, Cameron	1	-	1	1	1	-	-	1	-	-	-	-	1	-	-	2	-	1	1	1	-	-	-	1	12
Sylvia, Colin												-	1	-	-	-	-								1
Taberner, Matthew				-	-									-			3			1	1	1	-	-	6
Walters, Michael	1	3	2																	2	1	1	-	1	11
de Boer, Matthew	1	-	-	1	1	1	1	-	1								-	-	-		1			1	8
Totals	14	18	10	18	20	21	17	11	13	4	12	13	25	9	19	17	11	14	14	23	12	11	12	18	356
Opponent	CW	GC	HW	ES	SY	NM	WC	PA	GE	WB	AD	RI	BL	WC	ME	GW	SK	CA	GE	HW	BL	PA	SY	PA	
