Player	R1	R2	R3	R4	R5	R6	R7	R8	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Addison, Dylan	89	89	58						84	35													70.3/439:56
Boyd, Tom					87	49							82				86	91	85	88	84	82	81.3/890:55
Bugg, Tomas	87	85	80	87	85	33						83	89	86	91	81	84	83	89	94	85	88	82.8/1729:11
Buntine, Matt							93	93								86			86	98	87	91	90.5/785:56
Cameron, Jeremy	88	91	91	90	88	93	89		88	90		90		91	90	89	94						90.1/1573:57
Coniglio, Stephen	79	77	82	79	87	85	84	77	74		43	18	75	77	79								72.5/1259:03
Corr, Aidan								93	90	54	81												79.1/393:44
Davis, Phil	96											83	87	90	88	91	92	95	99	17		90	84.8/1145:22
Frost, Sam	88	88	94	92	89	88	91	93		84	88	84	92	90	80			84			87		88.3/1752:18
Giles, Jonathan	93	92	86	90	89	91	92	90	93														90.7/1012:33
Gilham, Stephen									64														64.0/78:12
Golds, Tim																		35	28		71		45.2/163:27
Greene, Toby	81	84	83	85	89		77	82							90	86	83	84	82	90	83	88	84.4/1554:03
Hampton, Curtly	87	82	84	88	85	82	87		85	80	46											82	80.9/1105:32
Haynes, Nick	93	89	90	89	88	86	88	1															77.8/773:46
Hoskin-Elliott, Will			33	18	88	90	90	87	85	83	86	75	83	82	84	63	88	86	85	87	89	83	78.2/1933:49
Hunt, Josh	82	80	79	74	79	79		80				85	78	83			74	49			79	77	77.2/1338:09
Jaksch, Kristian										82	77		62	83	57								72.2/448:27
Kelly, Josh		31	83	84	87		84	80	6			83	77	80	27	87	32	86	81	89	86	84	70.4/1561:58
Kennedy, Adam	81	83	85	91	84	88	78	84	87	83	82		81	87	84	87	85	87	83	91	80		84.5/2075:14
Lamb, Jed				65	78	77	32	75		75	75								52				65.9/653:52
Lobb, Rory											86					81							83.4/199:36
McCarthy, Cam																						29	29.0/37:15
Mohr, Tim										96	91	96	93	92	89	86	91						91.8/915:05
Mumford, Shane	86	87	92						90	92	92	91	93	93	92	90	90	84	89	98	87	94	90.6/1895:08
ORourke, Jono						79	53									26	71	74	79	88	15		60.1/586:02
Palmer, Rhys	29						80	86	88	94	92	92	91	88	87	88	89	91	87	97	90	93	85.9/1807:07
Patton, Jonathon	84	85	88	89	88	90	92	94	90	82	92	89	89	88	86		84	92	88	25			85.3/1994:31
Phillips, Andrew								81															81.0/103:38
Plowman, Lachie		83	83	80	91	89										87	61	91	91	92	83	91	85.1/1241:10
Scully, Tom	87	94	92	88	83	93	86	91	90	95	93	91			92	95	92						90.8/1693:48
Shaw, Heath	88	93	86	88		88	88	92	96	87	88	92	89	12				85	90	94	91	92	85.5/1902:26
Shiel, Dylan	49						77	80	79	77	77	74	78	80	79	77	76	77	80	85	80	82	76.8/1616:06
Smith, Devon	83	76	83		81	87	84	87	84	87	87	92	87	86	86	88	81	90	86	92	86	93	86.0/2230:22
Stewart, James																				69	90	76	78.7/289:54
Sumner, Liam				80																		59	69.2/173:58
Tomlinson, Adam				91	57	91	90	92	92	89	94	85	92	88	86	88	93	89	93	99	94	94	89.3/2094:52
Townsend, Jacob		59	77	82					80	82	71	66				76							74.2/734:51
Treloar, Adam	84	86	85	82	85	76	80		84	85	81	83	80	82	76		84	82	86	92	85	87	83.2/2052:50
Ward, Callan	86	87	85	86	31	89	84	88	90	88	91	90	85	89	88	84	87	87	86	42			82.4/2028:07
Whiley, Mark																				88	88		88.0/210:09
Whitfield, Lachie	80	79						74	81	81	86	86	95	89	83	84							83.4/1139:55
Williams, Zac					81	77									84	80	84	77	73			66	77.7/760:15
Wilson, Nathan												72	22	65						86	81	78	67.2/501:32
Totals																							
Opponent	SY	SK	ME	WB	AD	GC	PA	WC	RI	HW	ES	BL	CA	SY	AD	FR	GE	RI	NM	ME	CW	WB	
