Player	R1	R2	R3	R4	R5	R6	R7	R8	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Addison, Dylan	5	2	4						2	1													14
Boyd, Tom					-	-							2				-	-	-	2	4	1	9
Bugg, Tomas	7	5	7	4	1	3						3	2	6	3	1	1	2	-	4	9	5	63
Buntine, Matt							2	2								1			-	3	1	1	10
Cameron, Jeremy	-	6	2	-	-	1	-		2	3		1		3	-	-	-						18
Coniglio, Stephen	11	5	6	2	8	4	3	4	5		3	2	8	4	3								68
Corr, Aidan								3	3	-	5												11
Davis, Phil	1											2	2	6	1	2	-	1	1	-		2	18
Frost, Sam	2	-	2	-	1	2	2	4		3	1	1	2	3	3			-			-		26
Giles, Jonathan	1	4	4	1	3	2	4	3	2														24
Gilham, Stephen									1														1
Golds, Tim																		1	-		1		2
Greene, Toby	3	2	5	3	3		4	3							2	3	2	10	5	7	5	5	62
Hampton, Curtly	2	1	7	5	1	4	6		2	3	2											6	39
Haynes, Nick	3	2	2	2	-	-	2	-															11
Hoskin-Elliott, Will			2	-	3	-	1	1	3	3	4	4	5	4	4	1	4	1	1	3	5	1	50
Hunt, Josh	7	1	2	2	1	4		-				1	1	3			1	1			3	2	29
Jaksch, Kristian										5	-		-	1	1								7
Kelly, Josh		3	4	5	2		3	3	-			5	4	1	-	4	2	3	2	7	6	4	58
Kennedy, Adam	3	5	3	-	2	2	4	1	3	3	-		-	1	2	1	1	3	2	2	1		39
Lamb, Jed				7	4	3	3	3		4	2								-				26
Lobb, Rory											5					-							5
McCarthy, Cam																						2	2
Mohr, Tim										1	-	3	2	4	5	1	1						17
Mumford, Shane	7	8	9						4	6	4	5	9	3	5	5	9	4	1	5	9	6	99
ORourke, Jono						2	1									-	2	3	1	2	-		11
Palmer, Rhys	-						-	2	4	5	3	5	3	4	3	5	-	4	6	2	2	1	49
Patton, Jonathon	3	1	4	-	2	1	-	1	1	3	2	4	1	4	-		1	-	-	-			28
Phillips, Andrew								-															
Plowman, Lachie		2	3	4	3	-										2	1	-	1	4	8	1	29
Scully, Tom	6	5	6	3	3	7	6	4	4	5	2	4			3	5	5						68
Shaw, Heath	3	-	2	1		3	3	1	1	6	3	1	-	-				1	3	1	1	1	31
Shiel, Dylan	4						3	4	8	7	2	5	10	4	1	2	4	5	4	7	7	5	82
Smith, Devon	4	3	8		1	2	5	2	4	10	3	4	6	6	3	4	3	8	4	5	8	2	95
Stewart, James																				-	-	3	3
Sumner, Liam				3																		-	3
Tomlinson, Adam				3	3	4	4	1	2	1	4	3	4	2	2	6	-	1	1	-	2	4	47
Townsend, Jacob		6	8	10					8	11	4	4				9							60
Treloar, Adam	8	2	14	9	4	7	6		3	6	5	7	5	6	4		2	4	4	6	5	4	111
Ward, Callan	5	6	11	3	1	5	8	6	5	13	6	7	8	5	6	10	5	2	2	1			115
Whiley, Mark																				2	9		11
Whitfield, Lachie	3	-						1	2	4	2	1	3	2	-	1							19
Williams, Zac					3	2									5	2	4	-	-			5	21
Wilson, Nathan												1	-	3						-	2	2	8
Totals	88	69	115	67	49	58	70	49	69	103	62	73	77	75	56	65	48	54	38	63	88	63	1499
Opponent	SY	SK	ME	WB	AD	GC	PA	WC	RI	HW	ES	BL	CA	SY	AD	FR	GE	RI	NM	ME	CW	WB	
