Player	R1	R2	R3	R4	R5	R6	R7	R8	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	PF	Tot
Boak, Travis	1	-	-	-	-	-	-	-	1	1		-	-	1	1	1	-	-	-	-	-	-	-	-	-	6
Broadbent, Matthew	-	1	-	1	-	-	1	1	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	8
Butcher, John	-	-	1																							1
Carlile, Alipate		-	-	-	2	-		1	2	-	-	-	1	-				-	-	-	-	1	-	-	1	8
Cassisi, Domenic	-	-	-	-	-	1	-	-	-		-	-			1		-									2
Clurey, Tom	-																									
Cornes, Kane	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Ebert, Brad	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	2	2	7
Gray, Robbie	-	-	-	1	2	-	-	-	-	-	-	-	1	-	1	1	-	1	-	2	1	1	-	1	-	12
Gray, Sam				-	-	-					-		-	1		-										1
Hartlett, Hamish	-	-	1	-	1	-		-	-		1	-		-	-	-	-	-	1	-	-	1	1	1	-	7
Hombsch, Jack	2	-	1	-		1	-	2	3	2	-	3	-	-	-	1	-	-	2	2	1	-	-	-	1	21
Impey, Jarman	1	-	-	-	1	-	-	1	2	-	1	1		-	-	-	-	1				-				8
Jonas, Tom	-	1	-	2	-	-	-				1	-	-	-	-	1	-	-	-	1	3	2	-	-	3	14
Lobbe, Matthew	1	-	-	-	-	1	-		-	-	2	1	1	-	1	-	-	3	-	-	1	-	-	-	1	12
Logan, Tom													-			1				1						2
Mitchell, Kane								-	1	-	-	-	-	-	-	-			-							1
Monfries, Angus	-	1	1				-	-	-			1	-	1	-			-	-		1	-	-	1	1	7
Moore, Andrew										-								-	-	-	-	-	-	-	-	
Neade, Jake										-									-	-	-	-	1	-	-	1
Newton, Ben							-				-						-	-								
OShea, Cameron				-	1										1	-	-	2	1	-	-		-	1	-	6
Pittard, Jasper	-	-	-	-	-	-	-	-	-	1	2	1	-	2	-	-	-	-	-	-	1	-	-	-	-	7
Polec, Jared	1	-	-	-	-	-	-	-	1	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	2
Renouf, Brent								-																		
Schulz, Jay	2	2	1	4	1	1	4	2	-	-	3	3	6	1	-	2	1	1	2	2	-	1	-	2	1	42
Stewart, Paul							1			-							1	-								2
Trengove, Jackson	1	1	-	1	2	1	1	2	1	1	1	1	-	-					-		1	1	1	2	-	18
Westhoff, Justin	4	-	-	5	1	-	-	1	1	1	-	2	4	2	1	-	3	1	1	-	-	2	-	2	4	35
White, Matt	-	-	-	-	-	-	-	-	-	-		1	-	-	-	-	-			2	-	-	-	-	-	3
Wines, Ollie	2	-	-	-	-	-	-	2	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	1	7
Wingard, Chad	-	2	-		2	1	1	1	1	-	3	-	-	-	-	-	2	-	-	-	1	3	2	-	1	20
Young, Aaron				1	-	-	-	-	-	1	1	-	-		-	-	-			-						3
Totals	15	8	5	17	13	6	8	13	13	7	15	14	13	9	6	7	9	11	7	10	11	13	5	12	16	263
Opponent	CA	AD	NM	BL	WC	GE	GW	FR	HW	ME	SK	SY	WB	AD	ES	RI	ME	CW	SY	GC	CA	FR	RI	FR	HW	
