Player	R1	R2	R3	R4	R5	R6	R7	R8	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	PF	Tot
Boak, Travis	-	1	1	1	-	2	-	-	1	1		-	2	1	1	1	1	1	2	-	1	-	1	-	1	19
Broadbent, Matthew	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	3
Butcher, John	1	1	-																							2
Carlile, Alipate		-	-	-	-	-		-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	
Cassisi, Domenic	-	-	-	-	-	-	-	-	-		1	-			-		-									1
Clurey, Tom	-																									
Cornes, Kane	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1
Ebert, Brad	1	1	-	1	2	-	-	-	-	1	1	1	1	1	-	-	-	-	-	-	1	-	2	-	-	13
Gray, Robbie	4	2	-	2	2	2	1	-	2	2	4	-	-	-	1	4	-	1	-	1	4	2	1	4	3	42
Gray, Sam				3	-	1					-		1	-		1										6
Hartlett, Hamish	2	1	2	-	1	2		-	2		1	-		1	-	1	-	4	-	1	1	2	-	-	-	21
Hombsch, Jack	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Impey, Jarman	-	-	-	1	-	-	1	-	-	-	1	-		-	-	-	-	-				-				3
Jonas, Tom	-	-	-	-	-	-	-				-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1
Lobbe, Matthew	-	1	-	-	1	2	-		-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	6
Logan, Tom													-			-				-						
Mitchell, Kane								2	1	1	-	-	1	-	1	-			-							6
Monfries, Angus	-	-	2				3	-	4			3	-	-	-			1	-		1	-	2	1	4	21
Moore, Andrew										-								1	-	1	-	-	-	-	-	2
Neade, Jake										1									2	-	3	-	3	-	1	10
Newton, Ben							-				-						-	-								
OShea, Cameron				-	-										-	-	-	-	-	-	-		-	-	-	
Pittard, Jasper	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	3
Polec, Jared	1	-	-	1	-	-	3	-	1	1	1		1	3	-	1	-	-	-	-	-	-	2	1	1	17
Renouf, Brent								-																		
Schulz, Jay	2	3	3	7	2	1	6	1	1	2	3	4	8	2	3	2	2	1	-	1	2	6	2	1	1	66
Stewart, Paul							-			-							2	-								2
Trengove, Jackson	-	-	-	-	-	-	-	-	-	-	1	-	-	-					-		-	-	-	-	-	1
Westhoff, Justin	5	1	1	3	-	-	-	-	-	2	1	1	3	1	-	-	2	-	1	1	3	1	2	-	1	29
White, Matt	-	2	-	3	1	2	3	2	-	1		2	-	1	1	2	-			1	1	1	1	1	-	25
Wines, Ollie	2	2	1	1	-	-	-	1	-	1	-	-	-	-	-	1	-	-	-	-	-	-	2	3	-	14
Wingard, Chad	-	4	2		1	3	3	5	3	-	3	2	-	-	-	1	1	1	1	1	3	2	2	4	1	43
Young, Aaron				1	-	1	-	1	-	1	-	-	-		-	-	1			-						5
Totals	18	19	13	24	10	16	20	13	15	14	19	13	19	10	7	16	10	10	7	7	20	14	20	15	13	362
Opponent	CA	AD	NM	BL	WC	GE	GW	FR	HW	ME	SK	SY	WB	AD	ES	RI	ME	CW	SY	GC	CA	FR	RI	FR	HW	
