Player	R1	R2	R3	R4	R5	R6	R7	R8	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	PF	Tot
Boak, Travis	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Broadbent, Matthew	On	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1/0
Butcher, John	-	-	-																							
Carlile, Alipate		Off	-	-	-	-		-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	0/1
Cassisi, Domenic	Off	-	-	-	-	-	-	-	-		-	-			Off		-									0/2
Clurey, Tom	-																									
Cornes, Kane	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Ebert, Brad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Gray, Robbie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Gray, Sam				-	Off	Off					-		-	-		Off										0/3
Hartlett, Hamish	-	-	-	-	-	-		-	-		-	Off		-	-	-	-	-	-	-	-	-	-	-	-	0/1
Hombsch, Jack	-	-	-	Off		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/1
Impey, Jarman	-	-	-	-	-	On	On	-	-	-	-	-		-	-	-	-	-				-				2/0
Jonas, Tom	-	-	-	-	-	-	Off				-	-	-	-	-	-	-	-	-	-	-	-	-	Off	-	0/2
Lobbe, Matthew	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Logan, Tom													-			-				-						
Mitchell, Kane								-	-	-	-	-	Off	On	-	On			-							2/1
Monfries, Angus	-	-	Off				-	-	Off			-	-	-	-			-	-		-	On	-	-	-	1/2
Moore, Andrew										On								-	-	-	On	-	On	On	On	5/0
Neade, Jake										-									-	-	-	-	-	-	-	
Newton, Ben							-				On						On	On								3/0
OShea, Cameron				-	-										-	-	-	-	-	-	-		-	-	-	
Pittard, Jasper	-	-	On	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	On	-	-	-	-	-	-	2/0
Polec, Jared	-	-	-	-	-	-	-	-	-	-	Off		-	-	-	-	-	-	-	Off	-	-	-	-	-	0/2
Renouf, Brent								Off																		0/1
Schulz, Jay	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Stewart, Paul							-			-							-	Off								0/1
Trengove, Jackson	-	-	-	-	-	-	-	-	-	-	-	-	-	Off					Off		-	-	-	-	Off	0/3
Westhoff, Justin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
White, Matt	-	On	-	-	-	-	-	-	-	-		-	-	-	-	-	Off			-	Off	Off	Off	-	-	1/4
Wines, Ollie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Wingard, Chad	-	-	-		-	-	-	-	-	Off	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/1
Young, Aaron				On	On	-	-	On	On	-	-	On	On		On	-	-			On						8/0
Totals																										
Opponent	CA	AD	NM	BL	WC	GE	GW	FR	HW	ME	SK	SY	WB	AD	ES	RI	ME	CW	SY	GC	CA	FR	RI	FR	HW	
