Player	R1	R2	R3	R4	R5	R6	R7	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	Tot
Arnot, Matt				-	-	-									-									
Astbury, David	-	-	-	-	-	-	-	-																
Batchelor, Jake											-	-	-	-	-	-	-	-	-	-	-	-	-	
Chaplin, Troy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1
Conca, Reece	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-			-	-	-	
Cotchin, Trent	-	1	-	-	-	-	1	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	4
Dea, Matt									-	-	-	-	-	-	-									
Deledio, Brett	1	-					-	-	-	-	-	-	1	1	-	1	1	-	-	-	-	-	-	5
Edwards, Aaron							-					-	-											
Edwards, Shane	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Ellis, Brandon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Foley, Nathan	-	-						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Gordon, Nathan			-	-	-	-	-										-	-	-	-	-	-	-	
Griffiths, Ben	2	7	19	6	14	12		6	2	3	1							4	5	7	12	15	5	120
Grigg, Shaun	-	-	1	-	-	-	-	-	1	-									-	-	-	-	-	2
Grimes, Dylan		-	-	-	-	-			-	-		-	-	-	-	-	-	-	-	-	-	-	-	
Hampson, Shaun	37	26		31	52	30	37	21	30	18		19	17											318
Houli, Bachar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Jackson, Daniel			-	-	-	-	-	1	-	-					-	-								1
King, Jake		-	-																					
Lennon, Ben								-	-	-	-	-								-	-			
Lloyd, Sam				-	-	-	-	-								-	-	-						
Maric, Ivan										11	24	10	17	27	34	40	29	26	22	26	25	45	20	356
Martin, Dustin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
McDonough, Matt	-					-	-	-	-	-	-													
Miles, Anthony											-	-	-	-	-	-	-	-	-	-	-	-	-	
Morris, Steven	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-		-	-	-	-	-	
Newman, Chris	-	-	-	-	-	-	-					-		-	-	-	-	-	-	-	-	-	-	
OHanlon, Brett															-									
Petterd, Ricky	-	-	-		-	-					-	-	1	-	1	1		-	1	-	-	-	1	5
Rance, Alex	-						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Riewoldt, Jack	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	3
Stephenson, Orren			24																					24
Thomas, Matt	-	1	-	-	-				-	-	-		-	-			-	-	-					1
Vickery, Ty	2	-	8	3			8	8	11		9			10	8	5	9							81
Vlastuin, Nick	-	-	-	-	-	-	-	-			-	-	-	-		-	-	-	-	1	1	-	-	2
Totals	42	35	52	40	66	43	46	36	44	32	35	30	36	38	43	49	39	30	28	34	38	60	27	923
Opponent	GC	CA	WB	CW	BL	HW	GE	ME	GW	ES	NM	FR	SY	SK	BL	PA	WC	GW	ES	AD	SK	SY	PA	
