Player	R1	R2	R3	R4	R5	R6	R7	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	Tot
Arnot, Matt				6	4	5									6									21
Astbury, David	11	13	6	6	11	13	13	7																80
Batchelor, Jake											7	12	9	6	14	6	-	3	6	3	16	12	1	95
Chaplin, Troy	6	7	10	10	9	9	12	10	7	12	4	13	17	10	13	7	5	7	4	10	24	17	8	231
Conca, Reece	10	15	10	13	11	10	17	8	13	7			12	16	12	8	5	14			11	8	12	212
Cotchin, Trent	28	13	9	3	18	11	10	20	20	17	18	19	21	21	22	8	5	12	13	6	13	8	5	320
Dea, Matt									11	9	4	11	5	5	10									55
Deledio, Brett	19	8					14	20	28	9	8	15	12	22	19	9	12	22	11	13	17	17	19	294
Edwards, Aaron							7					10	1											18
Edwards, Shane	6	7	9	5	8	14	7	9	5	13	8	10	4	11	13	9	6	10	9	6	13	12	3	197
Ellis, Brandon	12	16	12	14	16	23	17	19	22	21	16	21	24	26	28	18	13	23	21	13	16	16	14	421
Foley, Nathan	5	7						6	16	5	12	19	15	15	9	5	12	15	7	16	10	6	8	188
Gordon, Nathan			9	8	3	14	2										4	5	4	11	8	7	9	84
Griffiths, Ben	5	4	2	4	6	2		3	5	3	-							6	11	5	4	4	7	71
Grigg, Shaun	20	12	4	11	21	20	14	14	9	10									10	10	13	18	16	202
Grimes, Dylan		4	7	4	5	7			9	8		3	8	13	5	2	6	4	3	2	13	7	13	123
Hampson, Shaun	8	7		2	4	2	2	2	6	5		4	7											49
Houli, Bachar	19	12	12	14	18	18	14	18	22	23	21	20	23	13	11	16	7	13	12	8	22	9	20	365
Jackson, Daniel			12	10	14	19	15	22	1	11					19	2								125
King, Jake		5	4																					9
Lennon, Ben								4	13	13	3	5								1	4			43
Lloyd, Sam				13	8	8	10	4								6	3	5						57
Maric, Ivan										7	13	5	11	8	10	1	3	2	6	4	10	7	3	90
Martin, Dustin	18	12	11	14	12	18	19	21	27	22	21	19	27	19	30	13	8	11	17	8		12	21	380
McDonough, Matt	8					3	7	9	14	9	10													60
Miles, Anthony											9	15	16	18	16	15	6	8	16	17	12	12	13	173
Morris, Steven	10	4	11	6	10	10	9	6	2	6	8	18	9	18		4	4		4	5	11	8	7	170
Newman, Chris	9	8	9	6	9	15	5					11		8	13	5	4	9	9	6	14	7	11	158
OHanlon, Brett															8									8
Petterd, Ricky	11	16	5		16	11					13	15	6	8	16	14		12	12	10	19	3	8	195
Rance, Alex	10						8	7	13	9	12	22	11	11	6	9	1	14	7	12	19	7	13	191
Riewoldt, Jack	4	4	6	4	8	8	8	4	12	9	7	5	4	6	6	9	2	9	11	6	8	7	7	154
Stephenson, Orren			6																					6
Thomas, Matt	16	15	10	12	8				16	18	16		4	10			8	13	8					154
Vickery, Ty	6	3	4	1			9	8	10		6			8	10	8	1							74
Vlastuin, Nick	15	10	4	10	10	8	12	11			13	14	9	16		7	5	9	5	11	7	11	9	196
Totals	256	202	172	176	229	248	231	232	281	246	229	286	255	288	296	181	120	226	206	183	284	215	227	5269
Opponent	GC	CA	WB	CW	BL	HW	GE	ME	GW	ES	NM	FR	SY	SK	BL	PA	WC	GW	ES	AD	SK	SY	PA	
