Player	R1	R2	R3	R4	R5	R6	R7	R8	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Bennell, Jamie	1	1	1	1	1	1	-	-	2	3	1	1	-	1				-	-	2	1	5	22
Brennan, Jacob															1	-							1
Brown, Mitch	-	1	-	-	1	2	1	2	-	-	-	-	-	-			-	2	1	1	1		12
Butler, Sam				-								-	2	-	2	-	3	3	-	3	1	4	18
Carter, Adam																					-	-	
Colledge, Brant			3	3																			6
Cox, Dean	4	1	3	2	2	2	1	2	3	1	1			1	2		-		2	4	1		32
Cripps, Jamie	4	3	1	1	-	2	3	3	4	3	-	-	3		3			4	3	3	1	4	45
Darling, Jack	3	4	1	2	8	4	2	2	4	3	2	2	2	5	3	3	-	2	4	4	2	2	64
Ellis, Xavier	3	2	2	1	-			1	6	4	2	2	-	6	2	3	2	1	1				38
Gaff, Andrew	3	3	1	-	3	3	1	2	1	3	4	6	1	3	3	3	2	8	6	3	1	6	66
Glass, Darren	2	-	-		-		-	2	-		1												5
Hill, Josh				1	3				4	-								3	4	1	6	1	23
Hurn, Shannon	2	-					3	8	3	4	2	2	6	1	3	3	5	5	3	5	8	3	66
Hutchings, Mark					3	3	3	1	-		5	3	5	1	5	2	3	-	5	3	-		42
Kennedy, Josh	1	3	2	-	1	1	1	2	2	2		1	3	4	1		1	2	2	1	3	-	33
LeCras, Mark	2	4	2					5		3	4	1	1	6	3	3	2	3			4	5	48
Lycett, Scott				1		-	1					3	3		5	2		1	2	-	1	1	20
Mackenzie, Eric	4	1	2	1	1	2	2	-	-	-	1	-	-	-	-	-	2	1	2	1	1	-	21
Masten, Chris	2	1	1		1	5	-	10	8	3	2	5	4	3	1	1	2	4	2	3	7	4	69
McGinnity, Patrick				-										2	2	4	1	2	2	3	2	2	20
McGovern, Jeremy						-					3	3	3	2	-	4	3	3	-	1	2	2	26
Naitanui, Nic	2	4	2	-	1	3	1	2	2	3	2	1	2	1		-	2	2	1	2		2	35
Priddis, Matt	4	1	2	1	3	7	-	1	3	2	4	3	3	5	2	3	8	5	4	5	1	3	70
Rosa, Matt	4	9	3		1	2	4	2	4	2	-	4	4	3	3								45
Schofield, Will			3	1		1	2			2	-	2	1	1	1	1	1	2	1	2	2	1	24
Selwood, Scott	4	5	2	5	2	5	2	8	6	2	6											3	50
Sheed, Dom	1			3	1	1										2	-	-	4	3	4		19
Sheppard, Brad		2	2	2	1	3	3	3	1	2		1	2	-	3		1						26
Shuey, Luke	4	2	6		5	7	1	7	3	3	3		4	1	5	7	4	5	6	4	4	7	88
Sinclair, Callum	5	2	1													-							8
Smith, Ashley																1	1						2
Tunbridge, Simon							4									3	1			-			8
Wellingham, Sharrod	3	1		4	2	2		2	5	2	2	5	3	1	1								33
Wilson, Blayne																-						2	2
Yeo, Elliot	1	3	3	3	1	3	2	2	4	5	2	1										1	31
Totals	59	53	43	32	41	59	37	67	65	52	47	46	52	47	51	45	44	58	55	54	53	58	1118
Opponent	WB	ME	SK	GE	PA	CA	FR	GW	CW	NM	HW	GC	SK	FR	SY	BL	RI	AD	CW	ES	ME	GC	
